Districts ,0,1,2,3,4
公共教学,(41.96;27.255;49.78;33.105);18298.8;27750;5550;5,(41.365;27.25;50.935;32.03);18297.84;27750;5550;5,(41.365;27.25;50.935;32.03);18297.84;27750;5550;5,(41.365;27.25;50.935;32.03);18297.84;27750;5550;5,(41.365;27.25;50.935;32.03);18297.84;27750;5550;5
专业教学实训,(24.41;43.075;30.95;48.485);14152.56;21568.98;3965.56;5;348.23;5,(24.655;43.79;32.145;48.95);15459.36;23431.18;4307.94;5;378.3;5,(24.655;43.79;32.145;48.95);15459.36;23431.18;4307.94;5;378.3;5,(24.655;43.79;32.145;48.95);15459.36;23431.18;4307.94;5;378.3;5,(24.655;43.79;32.145;48.95);15459.36;23431.18;4307.94;5;378.3;5
专业教学实训,(35.325;49.08;39.535;57.5);14179.28;21609.7;3973.05;5;348.89;5,(35.92;49.54;40.22;57.78);14172.8;21481.19;3949.42;5;346.81;5,(35.92;49.54;40.22;57.78);14172.8;21481.19;3949.42;5;346.81;5,(35.92;49.54;40.22;57.78);14172.8;21481.19;3949.42;5;346.81;5,(35.92;49.54;40.22;57.78);14172.8;21481.19;3949.42;5;346.81;5
专业教学实训,(51.775;26.75;59.845;42.65);51325.2;78221.32;14381.38;5;1262.88;5,(51.935;26.75;60.085;42.23);50464.79;76487.63;14062.63;5;1234.89;5,(51.935;26.75;60.085;42.23);50464.79;76487.63;14062.63;5;1234.89;5,(51.935;26.75;60.085;42.23);50464.79;76487.63;14062.63;5;1234.89;5,(51.935;26.75;60.085;42.23);50464.79;76487.63;14062.63;5;1234.89;5
院系办公,(24.415;49.08;27.785;55.82);9085.52;18150;3630;5,(24.655;51.04;28.025;57.78);9085.52;18150;3630;5,(24.655;51.04;28.025;57.78);9085.52;18150;3630;5,(24.655;51.04;28.025;57.78);9085.52;18150;3630;5,(24.655;51.04;28.025;57.78);9085.52;18150;3630;5
图书馆,(41.95;37.35;49.69;42.25);15170.4;23000;3900;5;700;5,(42.125;36.075;47.775;42.785);15164.6;23000;3900;5;700;5,(42.125;36.07;47.775;42.79);15187.2;23000;3900;5;700;5,(42.125;36.07;47.775;42.79);15187.2;23000;3900;5;700;5,(42.125;36.07;47.775;42.79);15187.2;23000;3900;5;700;5
室内体育用房,(27.51;38.11;36.23;42.47);15207.68;10650;5325;2,(26.91;38.83;35.63;43.19);15207.68;10650;5325;2,(26.91;38.83;35.63;43.19);15207.68;10650;5325;2,(26.91;38.83;35.63;43.19);15207.68;10650;5325;2,(26.91;38.83;35.63;43.19);15207.68;10650;5325;2
活动及会堂,(37.23;31.96;41.35;40.2);13579.52;7200;3600;2,(36.635;34.215;40.225;41.385);10296.12;7200;3600;2,(36.635;34.215;40.225;41.385);10296.12;7200;3600;2,(36.635;34.215;40.225;41.385);10296.12;7200;3600;2,(36.635;34.215;40.225;41.385);10296.12;7200;3600;2
学生宿舍,(47.995;59.78;57.245;65.74);22052;44141.13;4356.03;8;1858.57;5,(48.215;59.775;57.485;65.725);22062.6;44360.9;4377.72;8;1867.83;5,(48.215;59.775;57.485;65.725);22062.6;44360.9;4377.72;8;1867.83;5,(48.215;59.775;57.485;65.725);22062.6;44360.9;4377.72;8;1867.83;5,(48.215;59.775;57.485;65.725);22062.6;44360.9;4377.72;8;1867.83;5
学生宿舍,(28.38;49.085;34.72;57.775);22037.84;44112.79;4353.24;8;1857.38;5,(28.62;49.545;35.32;57.775);22056.4;44348.43;4376.49;8;1867.3;5,(28.62;49.545;35.32;57.775);22056.4;44348.43;4376.49;8;1867.3;5,(28.62;49.545;35.32;57.775);22056.4;44348.43;4376.49;8;1867.3;5,(28.62;49.545;35.32;57.775);22056.4;44348.43;4376.49;8;1867.3;5
