Districts ,0,1,2,3,4
公共教学,(35.73;27.485;44.39;32.775);18324.56;27750;5550;5,(34.655;26.82;40.725;34.36);18307.12;27750;5550;5,(34.415;26.75;43.985;31.53);18297.84;27750;5550;5,(37.85;26.745;45.87;32.455);18317.68;27750;5550;5,(37.85;27.325;45.87;33.035);18317.68;27750;5550;5
专业教学实训,(45.04;50.38;59.84;57.78);43808;67984.5;12499.29;5;1097.61;5,(46.905;51.16;60.155;57.78);35086;58636.38;10780.59;5;946.68;5,(46.2;50.795;60.18;57.785);39088.08;69566.67;12790.18;5;1123.15;5,(46.47;50.8;60.43;57.78);38976.32;70271.53;12919.77;5;1134.53;5,(46.47;50.8;60.43;57.78);38976.32;70271.53;12919.77;5;1134.53;5
专业教学实训,(55.635;32.47;59.845;40.89);14179.28;22004.46;4045.63;5;355.26;5,(56.03;32.055;60.43;40.865);15505.6;25913.25;4764.28;5;418.37;5,(55.49;30.7;60.19;38.36);14400.8;25629.7;4712.15;5;413.79;5,(56.225;31.74;60.435;40.16);14179.28;25564.23;4700.11;5;412.73;5,(56.225;31.74;60.435;40.16);14179.28;25564.23;4700.11;5;412.73;5
专业教学实训,(50.005;26.75;55.035;36.81);20240.72;31411.05;5775.08;5;507.13;5,(50.175;26.75;55.425;37.25);22050;36850.37;6775.13;5;594.95;5,(50.595;29.78;54.885;38.36);14723.28;26203.63;4817.67;5;423.06;5,(51.415;26.75;55.625;35.17);14179.28;25564.23;4700.11;5;412.73;5,(51.375;26.75;55.585;35.17);14179.28;25564.23;4700.11;5;412.73;5
院系办公,(24.415;42.41;28.205;49.65);10975.84;18150;3630;5,(25;41.565;31.74;44.935);9085.52;18150;3630;5,(24.755;40.625;32.425;44.455);11750.44;18150;3630;5,(24.995;40.81;28.365;47.55);9085.52;18150;3630;5,(24.995;40.81;28.365;47.55);9085.52;18150;3630;5
图书馆,(45.04;28.105;49.4;36.815);15190.24;23000;3900;5;700;5,(45.785;26.86;49.575;34.44);11491.28;23000;3900;5;700;5,(46.205;26.75;49.995;34.33);11491.28;23000;3900;5;700;5,(47.025;26.75;50.815;34.33);11491.28;23000;3900;5;700;5,(46.475;26.75;50.265;34.33);11491.28;23000;3900;5;700;5
室内体育用房,(28.805;42.41;35.135;49.65);18331.68;10650;5325;2,(25.005;45.525;33.775;49.915);15400.12;10650;5325;2,(24.76;45.055;33.78;49.565);16272.08;10650;5325;2,(28.97;42.875;37.25;47.545);15467.04;10650;5325;2,(28.97;42.875;37.25;47.545);15467.04;10650;5325;2
活动及会堂,(33.995;33.37;39.885;39.13);13570.56;7200;3600;2,(33.995;35.065;39.945;40.775);13589.8;7200;3600;2,(35.755;32.14;41.665;37.88);13569.36;7200;3600;2,(36.81;33.06;42.01;39.58);13561.6;7200;3600;2,(37.45;33.63;42.65;40.15);13561.6;7200;3600;2
学生宿舍,(24.405;50.255;31.995;57.785);22861.08;45951.03;4534.64;8;1934.78;5,(25;50.52;32.6;57.78);22070.4;37766.61;3726.97;8;1590.17;5,(24.755;50.165;33.445;57.775);26452.36;53197.32;5249.74;8;2239.89;5,(25.04;48.14;30.76;57.78);22056.32;44144.82;4356.4;8;1858.73;5,(25.04;48.14;30.76;57.78);22056.32;44339.02;4375.56;8;1866.91;5
学生宿舍,(32.6;50.255;40.08;57.785);22529.76;45285.07;4468.92;8;1906.74;5,(33.205;50.52;41.215;57.78);23261.04;39804.02;3928.03;8;1675.96;5,(34.045;50.165;41.355;57.775);22251.64;44749.41;4416.06;8;1884.19;5,(31.365;52.06;40.995;57.78);22033.44;44099.02;4351.88;8;1856.8;5,(31.365;48.88;40.995;54.6);22033.44;44293.03;4371.02;8;1864.97;5
学生宿舍,(45.04;41.48;59.84;49.78);49136;98763.91;9746.44;8;4158.48;5,(42.355;41.465;60.425;50.555);65702.52;112429.37;11095;8;4733.87;5,(49.995;38.955;60.185;50.185);45773.48;92053.27;9084.2;8;3875.93;5,(46.975;40.755;60.425;50.205);50841;101756.16;10041.73;8;4284.47;5,(46.98;40.755;60.32;50.205);50425.2;101367.95;10003.42;8;4268.12;5
单身教师宿舍,(42.315;59.775;44.445;64.045);3638.04;6000;750;8,(42.31;59.78;46.31;61.78);3200;6000;750;8,(42.31;59.78;44.31;63.78);3200;6000;750;8,(42.31;60.79;44.31;64.79);3200;6000;750;8,(42.31;59.78;44.31;63.78);3200;6000;750;8
食堂,(35.735;41.485;42.565;49.655);22320.44;11841.68;5920.84;2,(34.66;41.465;41.7;49.915);23795.2;12981.6;6490.8;2,(34.415;44.97;42.485;49.57);14848.8;10391.39;5195.69;2,(37.845;40.75;46.375;45.41);15899.92;11133.86;5566.93;2,(37.845;42.88;46.375;47.54);15899.92;11133.86;5566.93;2
食堂,(40.68;50.255;44.44;57.785);11325.12;6008.32;3004.16;2,(41.815;51.16;45.185;57.78);8923.76;4868.4;2434.2;2,(41.955;50.48;45.605;57.78);10658;7458.61;3729.31;2,(41.59;50.855;45.05;57.785);9591.12;6716.14;3358.07;2,(41.59;50.855;45.05;57.785);9591.12;6716.14;3358.07;2
办公及服务,(45.05;37.415;49.73;40.845);6420.96;9750;1950;5,(46.7;35.04;49.58;40.64);6451.2;9750;1950;5,(45.785;34.925;49.995;38.355);5776.12;9750;1950;5,(46.98;34.935;50.22;39.905);6441.12;9750;1950;5,(46.98;34.935;49.46;39.905);4930.24;9750;1950;5
后勤,(42.315;66.325;52.085;73.035);26222.68;15900;7950;2,(42.315;62.375;47.645;73.02499);22705.8;15900;7950;2,(42.315;66.775;51.425;73.025);22775;15900;7950;2,(42.31;65.39;52.13;73.03);30009.92;15900;7950;2,(42.31;65.39;49.81;73.03);22920;15900;7950;2
