Districts ,0,1,2,3,4
公共教学,(44.355;36.86;50.985;43.76);18298.8;27750;5550;5,(44.355;36.55;50.985;43.45);18298.8;27750;5550;5,(44.355;37.9;50.985;44.8);18298.8;27750;5550;5,(44.355;37.9;50.985;44.8);18298.8;27750;5550;5,(46.065;36.2;50.895;45.68);18315.36;27750;5550;5
专业教学实训,(45.32;50.54;51.12;57.78);16796.8;27675.81;5088.34;5;446.83;5,(45.32;50.54;51.12;57.78);16796.8;27675.81;5088.34;5;446.83;5,(45.32;50.54;51.12;57.78);16796.8;27675.81;5088.34;5;446.83;5,(45.32;50.54;51.12;57.78);16796.8;27675.81;5088.34;5;446.83;5,(45.85;50.28;50.59;57.78);14220;23721.3;4361.28;5;382.98;5
专业教学实训,(46.015;26.75;59.965;34.03);40622.4;66932.86;12305.94;5;1080.63;5,(46.015;26.75;59.965;34.03);40622.4;66932.86;12305.94;5;1080.63;5,(46.015;26.75;59.965;34.03);40622.4;66932.86;12305.94;5;1080.63;5,(46.015;26.75;59.965;34.03);40622.4;66932.86;12305.94;5;1080.63;5,(45.455;26.755;60.005;34.025);42311.4;70582.37;12976.92;5;1139.55;5
专业教学实训,(24.53;26.75;32.03;32.17);16260;26791.33;4925.72;5;432.55;5,(24.53;26.75;32.03;32.17);16260;26791.33;4925.72;5;432.55;5,(24.53;26.75;32.03;32.17);16260;26791.33;4925.72;5;432.55;5,(24.53;26.75;32.03;32.17);16260;26791.33;4925.72;5;432.55;5,(24.58;34.62;32.1;40.02);16243.2;27096.33;4981.8;5;437.47;5
院系办公,(41.77;26.75;45.41;34.03);10599.68;18150;3630;5,(41.77;26.75;45.41;34.03);10599.68;18150;3630;5,(41.77;26.75;45.41;34.03);10599.68;18150;3630;5,(41.77;26.75;45.41;34.03);10599.68;18150;3630;5,(39.525;26.755;43.655;34.005);11977;18150;3630;5
图书馆,(33.04;43.875;39.82;49.465);15160.08;23000;3900;5;700;5,(33.04;43.875;39.82;49.465);15160.08;23000;3900;5;700;5,(33.54;43.955;40.32;49.545);15160.08;23000;3900;5;700;5,(33.54;43.955;40.32;49.545);15160.08;23000;3900;5;700;5,(33.1;43.915;40.56;49.005);15188.56;23000;3900;5;700;5
室内体育用房,(24.545;32.77;32.035;37.85);15219.68;10650;5325;2,(24.545;32.77;32.035;37.85);15219.68;10650;5325;2,(24.545;32.77;32.035;37.85);15219.68;10650;5325;2,(24.545;32.77;32.035;37.85);15219.68;10650;5325;2,(24.58;40.62;32.1;45.68);15220.48;10650;5325;2
活动及会堂,(39.64;35.03;43.76;43.27);13579.52;7200;3600;2,(39.55;35.03;43.67;43.27);13579.52;7200;3600;2,(39.64;35.03;43.76;43.27);13579.52;7200;3600;2,(39.64;35.03;43.76;43.27);13579.52;7200;3600;2,(39.19;35.07;43.31;43.31);13579.52;7200;3600;2
学生宿舍,(30.245;50.54;44.715;57.78);41905.12;84217.32;8310.92;8;3545.99;5,(30.245;50.54;44.715;57.78);41905.12;84217.32;8310.92;8;3545.99;5,(30.245;50.54;44.715;57.78);41905.12;84217.32;8310.92;8;3545.99;5,(30.245;50.54;44.715;57.78);41905.12;84217.32;8310.92;8;3545.99;5,(32.675;50.28;45.245;57.78);37710;75792.87;7479.56;8;3191.28;5
学生宿舍,(51.72;50.54;59.96;57.78);23863.04;47957.89;4732.69;8;2019.28;5,(51.72;50.54;59.96;57.78);23863.04;47957.89;4732.69;8;2019.28;5,(51.72;50.54;59.96;57.78);23863.04;47957.89;4732.69;8;2019.28;5,(51.72;50.54;59.96;57.78);23863.04;47957.89;4732.69;8;2019.28;5,(51.19;50.28;60.01;57.78);26460;53181.63;5248.19;8;2239.23;5
