Districts ,0,1,2,3,4
公共教学,(37.675;26.755;44.085;33.285);16742.92;27750;5550;5,(37.32;26.75;42.22;36.09);18306.4;27750;5550;5,(37.32;26.75;42.22;36.09);18306.4;27750;5550;5,(37.32;26.75;42.22;36.09);18306.4;27750;5550;5,(37.32;26.76;42.22;36.1);18306.4;27750;5550;5
专业教学实训,(32.51;32.385;37.07;41.515);16653.12;26529.34;4877.55;5;428.32;5,(32.505;32.15;36.715;40.57);14179.28;22291.16;4098.34;5;359.89;5,(32.505;36.23;36.715;44.65);14179.28;22291.16;4098.34;5;359.89;5,(32.505;36.23;36.715;44.65);14179.28;22291.16;4098.34;5;359.89;5,(32.505;36.23;36.715;44.65);14179.28;22291.16;4098.34;5;359.89;5
专业教学实训,(51.02;53.375;59.84;57.785);15558.48;24785.52;4556.94;5;400.16;5,(50.88;44.675;59.84;57.785);46986.24;73866.79;13580.78;5;1192.58;5,(50.88;44.675;59.84;57.785);46986.24;73866.79;13580.78;5;1192.58;5,(50.88;44.675;59.84;57.785);46986.24;73866.79;13580.78;5;1192.58;5,(50.88;44.675;59.84;57.785);46986.24;73866.79;13580.78;5;1192.58;5
专业教学实训,(51.02;26.745;59.84;39.215);43994.16;70085.14;12885.5;5;1131.52;5,(50.88;26.75;59.84;31.23);16056.32;25242.05;4640.88;5;407.53;5,(50.88;26.75;59.84;31.23);16056.32;25242.05;4640.88;5;407.53;5,(50.88;26.75;59.84;31.23);16056.32;25242.05;4640.88;5;407.53;5,(50.88;26.75;59.84;31.23);16056.32;25242.05;4640.88;5;407.53;5
院系办公,(42.31;69.165;50.05;73.035);11981.52;18150;3630;5,(42.31;69.21;49.95;73.03001);11673.92;18150;3630;5,(42.31;69.21;49.95;73.03001);11673.92;18150;3630;5,(42.31;69.21;49.95;73.03001);11673.92;18150;3630;5,(42.31;69.21;49.95;73.03001);11673.92;18150;3630;5
图书馆,(44.68;26.755;50.42;33.365);15176.56;23000;3900;5;700;5,(43.18;28.28;50.28;33.62);15165.6;23000;3900;5;700;5,(43.18;28.28;50.28;33.62);15165.6;23000;3900;5;700;5,(43.18;31.14;50.28;36.48);15165.6;23000;3900;5;700;5,(43.18;28.28;50.28;33.62);15165.6;23000;3900;5;700;5
室内体育用房,(24.41;45.235;31.91;51.245);18030;10650;5325;2,(24.41;45.795;31.91;51.925);18390;10650;5325;2,(24.41;45.795;31.91;51.925);18390;10650;5325;2,(24.41;45.795;31.91;51.925);18390;10650;5325;2,(24.41;45.795;31.91;51.925);18390;10650;5325;2
活动及会堂,(37.67;37.4;45.91;41.52);13579.52;7200;3600;2,(37.32;40.52;45.56;44.64);13579.52;7200;3600;2,(37.32;40.52;45.56;44.64);13579.52;7200;3600;2,(37.32;40.52;45.56;44.64);13579.52;7200;3600;2,(37.32;40.53;45.56;44.65);13579.52;7200;3600;2
学生宿舍,(42.305;59.78;50.255;68.56);27920.4;46632.56;4601.9;8;1963.48;5,(42.305;59.785;50.275;68.615);28150.04;52410.92;5172.13;8;2206.78;5,(42.305;59.785;50.275;68.615);28150.04;52410.92;5172.13;8;2206.78;5,(42.305;59.785;50.275;68.615);28150.04;52410.92;5172.13;8;2206.78;5,(42.305;59.785;50.275;68.615);28150.04;52410.92;5172.13;8;2206.78;5
学生宿舍,(27.805;51.845;37.095;57.775);22035.88;36804.26;3632;8;1549.65;5,(28.36;52.525;38.86;57.775);22050;41053.62;4051.34;8;1728.57;5,(28.36;52.525;38.86;57.775);22050;41053.62;4051.34;8;1728.57;5,(28.36;52.525;38.86;57.775);22050;41053.62;4051.34;8;1728.57;5,(28.36;52.525;38.86;57.775);22050;41053.62;4051.34;8;1728.57;5
学生宿舍,(37.695;45.245;50.425;57.775);63802.76;106563.18;10516.1;8;4486.87;5,(39.46;45.8;50.28;57.78);51849.44;96535.46;9526.53;8;4064.65;5,(39.46;45.8;50.28;57.78);51849.44;96535.46;9526.53;8;4064.65;5,(39.46;45.8;50.28;57.78);51849.44;96535.46;9526.53;8;4064.65;5,(39.46;45.8;50.28;57.78);51849.44;96535.46;9526.53;8;4064.65;5
单身教师宿舍,(51.02;66.7;53.02;70.7);3200;6000;750;8,(50.88;69.03;52.88;73.03);3200;6000;750;8,(50.88;66.72;52.88;70.72);3200;6000;750;8,(50.88;69.03;52.88;73.03);3200;6000;750;8,(50.88;66.72;52.88;70.72);3200;6000;750;8
