Districts ,0,1,2,3,4
公共教学,(35.635;26.745;41.605;34.415);18315.96;27750;5550;5,(36.055;26.75;45.625;31.53);18297.84;27750;5550;5,(36.4;26.78;43.64;33.1);18302.72;27750;5550;5,(37.615;26.75;46.185;32.09);18305.52;27750;5550;5,(37.62;26.745;46.18;32.095);18318.4;27750;5550;5
专业教学实训,(51.035;31.09;60.165;37.07);21838.96;37075.91;6816.59;5;598.59;5,(51.305;32;60.155;37.2);18408;35060.37;6446.03;5;566.05;5,(51.36;32.005;60.16;37.735);20169.6;39123.85;7193.12;5;631.65;5,(51.52;32.145;60.1;36.435);14723.28;26783.08;4924.2;5;432.41;5,(51.52;32.145;60.1;36.435);14723.28;26783.08;4924.2;5;432.41;5
专业教学实训,(55.075;62.855;60.165;73.025);20706.12;35152.7;6463;5;567.54;5,(54.76;62.23;60.16;73.03);23328;44431.14;8168.89;5;717.34;5,(55.52;63.745;60.16;73.035);17242.24;33445.52;6149.13;5;539.98;5,(54.97;59.78;60.15;70.14);21465.92;39048.59;7179.28;5;630.44;5,(54.97;59.78;60.15;70.14);21465.92;39048.59;7179.28;5;630.44;5
专业教学实训,(24.74;31.035;35.04;38.065);28963.6;49171.39;9040.41;5;793.87;5,(30.13;26.75;35.45;37.09);22003.52;41908.5;7705.09;5;676.61;5,(30.12;26.75;35.8;37.83);25173.76;48830.63;8977.76;5;788.37;5,(30.025;26.75;36.475;38.59);30547.2;55568.33;10216.52;5;897.15;5,(30.025;26.75;36.475;38.59);30547.2;55568.33;10216.52;5;897.15;5
院系办公,(54.095;26.75;60.165;30.49);9080.72;18150;3630;5,(53.665;26.75;60.155;31.37);11993.52;18150;3630;5,(54.555;26.755;60.165;31.405);10434.6;18150;3630;5,(54.345;26.75;60.155;31.55);11155.2;18150;3630;5,(54.345;26.75;60.155;31.55);11155.2;18150;3630;5
图书馆,(42.21;26.745;46.93;34.795);15198.4;23000;3900;5;700;5,(36.055;32.13;44.765;36.49);15190.24;23000;3900;5;700;5,(40.045;33.7;48.755;38.06);15190.24;23000;3900;5;700;5,(37.475;32.69;46.185;37.05);15190.24;23000;3900;5;700;5,(37.475;32.7;46.185;37.06);15190.24;23000;3900;5;700;5
室内体育用房,(32.84;49.06;37.2;57.78);15207.68;10650;5325;2,(32.83;49.06;37.19;57.78);15207.68;10650;5325;2,(32.83;49.05;37.19;57.77);15207.68;10650;5325;2,(32.83;48.54;37.19;57.26);15207.68;10650;5325;2,(32.83;48.54;37.19;57.26);15207.68;10650;5325;2
活动及会堂,(37.8;35.395;42.98;41.945);13571.6;7200;3600;2,(37.79;37.09;43.13;43.45);13584.96;7200;3600;2,(37.785;38.65;45.995;42.79);13595.76;7200;3600;2,(37.79;37.645;43.63;43.275);13151.68;7200;3600;2,(37.79;37.66;43.63;43.28);13128.32;7200;3600;2
学生宿舍,(54.095;48.44;60.165;57.78);22677.52;45613.92;4501.37;8;1920.59;5,(53.665;49.055;60.155;57.785);22663.08;45558.25;4495.88;8;1918.24;5,(54.555;47.945;60.165;57.775);22058.52;44342.09;4375.86;8;1867.04;5,(54.345;46.935;60.155;57.785);25215.4;50688.3;5002.13;8;2134.24;5,(54.345;46.935;60.155;57.785);25215.4;50688.3;5002.13;8;2134.24;5
学生宿舍,(24.74;38.665;35.04;45.635);28716.4;57760.61;5700.06;8;2432.03;5,(24.73;37.695;35.45;45.685);34261.12;68873.1;6796.69;8;2899.92;5,(24.735;38.425;35.805;45.475);31217.4;62753.3;6192.76;8;2642.24;5,(24.72;39.2;36.42;45.68);30326.4;60962.49;6016.04;8;2566.84;5,(24.72;39.2;36.42;45.68);30326.4;60962.49;6016.04;8;2566.84;5
