Districts ,0,1,2,3,4
公共教学,(37.975;40.58;43.465;48.92);18314.64;27750;5550;5,(37.87;41.72;44.49;48.64);18324.16;27750;5550;5,(37.87;41.58;44.49;48.5);18324.16;27750;5550;5,(37.87;41.58;44.49;48.5);18324.16;27750;5550;5,(37.87;42.09;44.49;49.01);18324.16;27750;5550;5
专业教学实训,(32.51;26.755;38.41;34.085);17298.8;32720.88;6015.9;5;528.28;5,(32.515;26.75;37.405;33.99);14161.44;27119.51;4986.06;5;437.84;5,(32.515;26.75;37.405;33.99);14161.44;27119.51;4986.06;5;437.84;5,(32.515;26.75;37.405;33.99);14161.44;27119.51;4986.06;5;437.84;5,(32.505;26.75;42.435;33.99);28757.28;55020.63;10115.82;5;888.31;5
专业教学实训,(45.995;26.755;55.605;34.085);28176.52;53296.21;9798.78;5;860.47;5,(50.715;26.75;55.605;33.99);14161.44;27119.51;4986.06;5;437.84;5,(50.715;26.75;55.605;33.99);14161.44;27119.51;4986.06;5;437.84;5,(50.715;26.75;55.605;33.99);14161.44;27119.51;4986.06;5;437.84;5,(50.725;26.75;55.615;33.99);14161.44;27094.75;4981.51;5;437.44;5
专业教学实训,(39.02;26.755;45.4;34.085);18706.16;35382.91;6505.33;5;571.26;5,(38.005;26.75;50.115;33.99);35070.56;67160.98;12347.88;5;1084.31;5,(37.995;26.75;50.105;33.99);35070.56;67160.98;12347.88;5;1084.31;5,(37.995;26.75;50.105;33.99);35070.56;67160.98;12347.88;5;1084.31;5,(43.035;26.75;50.125;33.99);20532.64;39284.62;7222.67;5;634.25;5
院系办公,(56.205;26.75;59.835;34.01);10541.52;18150;3630;5,(56.2;26.75;59.84;33.99);10541.44;18150;3630;5,(56.2;26.75;59.84;33.99);10541.44;18150;3630;5,(56.2;26.75;59.84;33.99);10541.44;18150;3630;5,(56.22;26.75;59.84;33.99);10483.52;18150;3630;5
图书馆,(33.02;38.135;37.38;46.845);15190.24;23000;3900;5;700;5,(32.91;37.815;37.27;46.525);15190.24;23000;3900;5;700;5,(32.91;36.635;37.27;45.345);15190.24;23000;3900;5;700;5,(32.91;37.605;37.27;46.315);15190.24;23000;3900;5;700;5,(32.91;38.055;37.27;46.765);15190.24;23000;3900;5;700;5
室内体育用房,(24.415;40.5;32.025;45.5);15220;10650;5325;2,(24.41;39.955;31.91;45.025);15210;10650;5325;2,(24.41;39.955;31.91;45.025);15210;10650;5325;2,(24.41;39.955;31.91;45.025);15210;10650;5325;2,(24.41;39.955;31.91;45.025);15210;10650;5325;2
活动及会堂,(46.02;40.58;50.14;48.82);13579.52;7200;3600;2,(46.01;40.77;50.13;49.01);13579.52;7200;3600;2,(46.01;40.77;50.13;49.01);13579.52;7200;3600;2,(46.01;40.77;50.13;49.01);13579.52;7200;3600;2,(46.01;40.77;50.13;49.01);13579.52;7200;3600;2
学生宿舍,(28.005;50.155;42.375;57.785);43857.24;88157.53;8699.76;8;3711.9;5,(28.225;50.015;42.435;57.785);44164.68;88754.11;8758.63;8;3737.02;5,(28.225;50.015;42.435;57.785);44164.68;88754.11;8758.63;8;3737.02;5,(28.225;50.015;42.435;57.785);44164.68;88754.11;8758.63;8;3737.02;5,(28.225;50.015;42.435;57.785);44164.68;88754.11;8758.63;8;3737.02;5
学生宿舍,(42.975;50.085;50.145;57.775);22054.92;44332.64;4374.93;8;1866.64;5,(43.03;50.015;50.13;57.785);22066.8;44345.83;4376.23;8;1867.19;5,(43.03;50.015;50.13;57.785);22066.8;44345.83;4376.23;8;1867.19;5,(43.03;50.015;50.13;57.785);22066.8;44345.83;4376.23;8;1867.19;5,(43.03;50.015;50.13;57.785);22066.8;44345.83;4376.23;8;1867.19;5
