Districts ,0,1,2,3,4
公共教学,(32.91;43.76;41.95;48.82);18296.96;27750;5550;5,(32.91;43.76;41.95;48.82);18296.96;27750;5550;5,(32.91;43.76;41.95;48.82);18296.96;27750;5550;5,(32.91;43.76;41.95;48.82);18296.96;27750;5550;5,(32.91;43.76;41.95;48.82);18296.96;27750;5550;5
专业教学实训,(35.065;26.75;42.275;34.17);21399.28;40865.35;7513.3;5;659.77;5,(35.065;26.75;42.275;34.17);21399.28;40865.35;7513.3;5;659.77;5,(35.065;26.75;42.275;34.17);21399.28;40865.35;7513.3;5;659.77;5,(35.065;26.75;42.275;34.17);21399.28;40865.35;7513.3;5;659.77;5,(35.065;26.75;42.275;34.17);21399.28;40865.35;7513.3;5;659.77;5
专业教学实训,(42.875;26.75;47.805;34.17);14632.24;27942.61;5137.39;5;451.13;5,(42.875;26.75;47.805;34.17);14632.24;27942.61;5137.39;5;451.13;5,(42.875;26.75;47.805;34.17);14632.24;27942.61;5137.39;5;451.13;5,(42.875;26.75;47.805;34.17);14632.24;27942.61;5137.39;5;451.13;5,(42.875;26.75;47.805;34.17);14632.24;27942.61;5137.39;5;451.13;5
专业教学实训,(24.41;48.6;31.91;57.78);27540;52592.04;9669.31;5;849.1;5,(24.41;48.6;31.91;57.78);27540;52592.04;9669.31;5;849.1;5,(24.41;48.6;31.91;57.78);27540;52592.04;9669.31;5;849.1;5,(24.41;48.6;31.91;57.78);27540;52592.04;9669.31;5;849.1;5,(24.41;48.6;31.91;57.78);27540;52592.04;9669.31;5;849.1;5
院系办公,(30.745;26.75;34.455;34.17);11011.28;18150;3630;5,(30.745;26.75;34.455;34.17);11011.28;18150;3630;5,(30.745;26.75;34.455;34.17);11011.28;18150;3630;5,(30.745;26.75;34.455;34.17);11011.28;18150;3630;5,(30.745;26.75;34.455;34.17);11011.28;18150;3630;5
图书馆,(42.555;41.595;47.805;48.825);15183;23000;3900;5;700;5,(42.555;41.595;47.805;48.825);15183;23000;3900;5;700;5,(42.555;41.595;47.805;48.825);15183;23000;3900;5;700;5,(42.555;41.595;47.805;48.825);15183;23000;3900;5;700;5,(42.555;41.595;47.805;48.825);15183;23000;3900;5;700;5
室内体育用房,(24.41;26.755;30.15;35.505);20090;10650;5325;2,(24.41;26.755;30.15;35.505);20090;10650;5325;2,(24.41;26.755;30.15;35.505);20090;10650;5325;2,(24.41;26.755;30.15;35.505);20090;10650;5325;2,(24.41;26.755;30.15;35.505);20090;10650;5325;2
活动及会堂,(36.345;35.175;40.635;43.085);13573.56;7200;3600;2,(36.345;35.255;40.635;43.165);13573.56;7200;3600;2,(36.345;35.255;40.635;43.165);13573.56;7200;3600;2,(36.345;35.255;40.635;43.165);13573.56;7200;3600;2,(36.345;35.255;40.635;43.165);13573.56;7200;3600;2
学生宿舍,(42.305;59.78;53.115;67.02);31305.76;62964.26;6213.58;8;2651.13;5,(42.305;59.78;53.115;67.02);31305.76;62964.26;6213.58;8;2651.13;5,(42.305;59.78;53.115;67.02);31305.76;62964.26;6213.58;8;2651.13;5,(42.305;59.78;53.115;67.02);31305.76;62964.26;6213.58;8;2651.13;5,(42.305;59.78;53.115;67.02);31305.76;62964.26;6213.58;8;2651.13;5
学生宿舍,(52.165;44.5;59.835;57.78);40743.04;81945.14;8086.69;8;3450.32;5,(52.165;44.5;59.835;57.78);40743.04;81945.14;8086.69;8;3450.32;5,(52.165;44.5;59.835;57.78);40743.04;81945.14;8086.69;8;3450.32;5,(52.165;44.5;59.835;57.78);40743.04;81945.14;8086.69;8;3450.32;5,(52.165;44.5;59.835;57.78);40743.04;81945.14;8086.69;8;3450.32;5
学生宿舍,(44.515;49.825;51.565;57.775);22419;45090.6;4449.73;8;1898.55;5,(44.515;49.825;51.565;57.775);22419;45090.6;4449.73;8;1898.55;5,(44.515;49.825;51.565;57.775);22419;45090.6;4449.73;8;1898.55;5,(44.515;49.825;51.565;57.775);22419;45090.6;4449.73;8;1898.55;5,(44.515;49.825;51.565;57.775);22419;45090.6;4449.73;8;1898.55;5
单身教师宿舍,(52.165;41.225;56.595;43.455);3951.56;6000;750;8,(52.165;41.265;56.595;43.495);3951.56;6000;750;8,(52.165;41.265;56.595;43.495);3951.56;6000;750;8,(52.165;41.265;56.595;43.495);3951.56;6000;750;8,(52.165;41.265;56.595;43.495);3951.56;6000;750;8
食堂,(32.53;49.825;39.57;57.775);22387.2;11880.05;5940.02;2,(32.53;49.825;39.57;57.775);22387.2;11880.05;5940.02;2,(32.53;49.825;39.57;57.775);22387.2;11880.05;5940.02;2,(32.53;49.825;39.57;57.775);22387.2;11880.05;5940.02;2,(32.53;49.825;39.57;57.775);22387.2;11880.05;5940.02;2
食堂,(40.165;50.28;43.915;57.78);11250;5969.95;2984.98;2,(40.165;50.28;43.915;57.78);11250;5969.95;2984.98;2,(40.165;50.28;43.915;57.78);11250;5969.95;2984.98;2,(40.165;50.28;43.915;57.78);11250;5969.95;2984.98;2,(40.165;50.28;43.915;57.78);11250;5969.95;2984.98;2
办公及服务,(32.91;35.175;35.75;40.845);6441.12;9750;1950;5,(32.91;37.495;35.75;43.165);6441.12;9750;1950;5,(32.91;37.495;35.75;43.165);6441.12;9750;1950;5,(32.91;37.495;35.75;43.165);6441.12;9750;1950;5,(32.91;37.495;35.75;43.165);6441.12;9750;1950;5
后勤,(53.72;59.78;59.84;72.02);29963.52;15900;7950;2,(53.72;60.79;59.84;73.03001);29963.52;15900;7950;2,(53.72;60.79;59.84;73.03001);29963.52;15900;7950;2,(53.72;60.79;59.84;73.03001);29963.52;15900;7950;2,(53.72;60.79;59.84;73.03001);29963.52;15900;7950;2
会堂,(41.235;35.18;44.145;41);6774.48;3600;1800;2,(48.255;35.18;51.165;41);6774.48;3600;1800;2,(48.255;35.18;51.165;41);6774.48;3600;1800;2,(48.255;35.18;51.165;41);6774.48;3600;1800;2,(48.255;35.18;51.165;41);6774.48;3600;1800;2
留学生及外教生活用房,(48.4;26.75;51.62;33.19);8294.72;9425;1885;5,(48.4;26.75;51.62;33.19);8294.72;9425;1885;5,(48.4;26.75;51.62;33.19);8294.72;9425;1885;5,(48.4;26.75;51.62;33.19);8294.72;9425;1885;5,(48.4;26.75;51.62;33.19);8294.72;9425;1885;5
培训,(56.72;19.585;59.84;23.815);5279.04;6000;1200;5,(56.72;19.585;59.84;23.815);5279.04;6000;1200;5,(56.72;19.585;59.84;23.815);5279.04;6000;1200;5,(56.72;19.585;59.84;23.815);5279.04;6000;1200;5,(56.72;19.585;59.84;23.815);5279.04;6000;1200;5
学术交流中心,(42.36;19.585;47.56;23.815);8798.4;30000;2000;15,(42.36;19.585;47.56;23.815);8798.4;30000;2000;15,(42.36;19.585;47.56;23.815);8798.4;30000;2000;15,(42.36;19.585;47.56;23.815);8798.4;30000;2000;15,(42.36;19.585;47.56;23.815);8798.4;30000;2000;15
重点实验室,(39.81;78.28;44.59;87.84);18278.72;30924.32;6184.86;5,(39.81;78.28;44.59;87.84);18278.72;30924.32;6184.86;5,(39.81;78.28;44.59;87.84);18278.72;30924.32;6184.86;5,(39.81;78.28;44.59;87.84);18278.72;30924.32;6184.86;5,(39.81;78.28;44.59;87.84);18278.72;30924.32;6184.86;5
重点实验室,(32.17;78.28001;39.21;90.68);34918.4;59075.68;11815.14;5,(32.17;78.28001;39.21;90.68);34918.4;59075.68;11815.14;5,(32.17;78.28001;39.21;90.68);34918.4;59075.68;11815.14;5,(32.17;78.28001;39.21;90.68);34918.4;59075.68;11815.14;5,(32.17;78.28001;39.21;90.68);34918.4;59075.68;11815.14;5
对外继续教育,(33.475;19.585;41.225;23.815);13113;20000;4000;5,(33.475;19.585;41.225;23.815);13113;20000;4000;5,(33.475;19.585;41.225;23.815);13113;20000;4000;5,(33.475;19.585;41.225;23.815);13113;20000;4000;5,(33.475;19.585;41.225;23.815);13113;20000;4000;5
创研中心,(24.41;19.585;32.87;23.815);14314.32;30913.52;3864.19;8,(24.41;19.585;32.87;23.815);14314.32;30913.52;3864.19;8,(24.41;19.585;32.87;23.815);14314.32;30913.52;3864.19;8,(24.41;19.585;32.87;23.815);14314.32;30913.52;3864.19;8,(24.41;19.585;32.87;23.815);14314.32;30913.52;3864.19;8
创研中心,(48.16;19.585;56.12;23.815);13468.32;29086.48;3635.81;8,(48.16;19.585;56.12;23.815);13468.32;29086.48;3635.81;8,(48.16;19.585;56.12;23.815);13468.32;29086.48;3635.81;8,(48.16;19.585;56.12;23.815);13468.32;29086.48;3635.81;8,(48.16;19.585;56.12;23.815);13468.32;29086.48;3635.81;8
科研区,(25.81;78.28;31.57;85.7);17095.68;54339.54;6792.44;8,(25.81;78.28;31.57;85.7);17095.68;54339.54;6792.44;8,(25.81;78.28;31.57;85.7);17095.68;54339.54;6792.44;8,(25.81;78.28;31.57;85.7);17095.68;54339.54;6792.44;8,(25.81;78.28;31.57;85.7);17095.68;54339.54;6792.44;8
科研区,(50.6;78.22;59.84;87.84);35555.52;113015.14;14126.89;8,(50.6;78.22;59.84;87.84);35555.52;113015.14;14126.89;8,(50.6;78.22;59.84;87.84);35555.52;113015.14;14126.89;8,(50.6;78.22;59.84;87.84);35555.52;113015.14;14126.89;8,(50.6;78.22;59.84;87.84);35555.52;113015.14;14126.89;8
科研区,(45.185;78.225;49.995;87.835);18489.64;58770.32;7346.29;8,(45.185;78.225;49.995;87.835);18489.64;58770.32;7346.29;8,(45.185;78.225;49.995;87.835);18489.64;58770.32;7346.29;8,(45.185;78.225;49.995;87.835);18489.64;58770.32;7346.29;8,(45.185;78.225;49.995;87.835);18489.64;58770.32;7346.29;8
户外体育区,(24.41;36.5;31.91;48);34500;0,(24.41;36.5;31.91;48);34500;0,(24.41;36.5;31.91;48);34500;0,(24.41;36.5;31.91;48);34500;0,(24.41;36.5;31.91;48);34500;0
户外体育区,(42.315;67.625;53.045;73.035);23219.72;0,(42.315;67.625;53.045;73.035);23219.72;0,(42.315;67.625;53.045;73.035);23219.72;0,(42.315;67.625;53.045;73.035);23219.72;0,(42.315;67.625;53.045;73.035);23219.72;0
户外体育区,(52.22;26.75;59.84;40.63);42306.24;0,(52.22;26.75;59.84;40.63);42306.24;0,(52.22;26.75;59.84;40.63);42306.24;0,(52.22;26.75;59.84;40.63);42306.24;0,(52.22;26.75;59.84;40.63);42306.24;0
Rectangle
Rectangle,(32.41;34.675;51.67;49.325),(32.41;34.675;51.67;49.325),(32.41;34.675;51.67;49.325),(32.41;34.675;51.67;49.325),(32.41;34.675;51.67;49.325)
Roads
0.5,(52;44;60;44),(52;44;60;44),(52;44;60;44),(52;44;60;44),(52;44;60;44)
0.5,(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36)
Axis
