Districts ,0,1,2,3,4
公共教学,(41.64;35.505;47.94;42.775);18320.4;27750;5550;5,(41.24;34.495;48.64;40.685);18322.4;27750;5550;5,(41.24;34.495;48.64;40.685);18322.4;27750;5550;5,(41.24;34.495;48.64;40.685);18322.4;27750;5550;5,(41.24;34.495;48.64;40.685);18322.4;27750;5550;5
专业教学实训,(55.28;30.56;59.84;38.32);14154.24;27234.47;5007.19;5;439.7;5,(54.395;30.565;59.845;38.355);16982.2;28370.03;5215.97;5;458.03;5,(54.395;30.565;59.845;38.355);16982.2;28370.03;5215.97;5;458.03;5,(54.395;30.565;59.845;38.355);16982.2;28370.03;5215.97;5;458.03;5,(54.395;30.565;59.845;38.355);16982.2;28370.03;5215.97;5;458.03;5
专业教学实训,(49.92;38.925;59.84;47.535);34164.48;65736.57;12086;5;1061.32;5,(49.24;38.955;59.84;48.745);41509.6;69344.89;12749.41;5;1119.57;5,(49.24;38.955;59.84;48.745);41509.6;69344.89;12749.41;5;1119.57;5,(49.24;38.955;59.84;48.745);41509.6;69344.89;12749.41;5;1119.57;5,(49.24;38.955;59.84;48.745);41509.6;69344.89;12749.41;5;1119.57;5
专业教学实训,(49.92;30.56;54.68;38.32);14775.04;28428.96;5226.81;5;458.98;5,(49.245;30.565;53.795;38.355);14177.8;23685.07;4354.62;5;382.39;5,(49.245;30.565;53.795;38.355);14177.8;23685.07;4354.62;5;382.39;5,(49.245;30.565;53.795;38.355);14177.8;23685.07;4354.62;5;382.39;5,(49.245;30.565;53.795;38.355);14177.8;23685.07;4354.62;5;382.39;5
院系办公,(25.64;26.745;33.38;30.615);11981.52;18150;3630;5,(24.41;26.745;32.15;30.615);11981.52;18150;3630;5,(27.02;26.745;34.76;30.615);11981.52;18150;3630;5,(24.41;26.745;32.15;30.615);11981.52;18150;3630;5,(24.41;26.745;32.15;30.615);11981.52;18150;3630;5
图书馆,(35.24;33.955;39.6;42.665);15190.24;23000;3900;5;700;5,(35.355;33.53;40.645;40.71);15192.88;23000;3900;5;700;5,(35.355;32.38;40.645;39.56);15192.88;23000;3900;5;700;5,(35.355;33.53;40.645;40.71);15192.88;23000;3900;5;700;5,(35.355;33.53;40.645;40.71);15192.88;23000;3900;5;700;5
室内体育用房,(29.715;31.295;34.085;40.025);15260.04;10650;5325;2,(30.005;31.215;34.755;40.705);18031;10650;5325;2,(30.005;31.215;34.755;40.705);18031;10650;5325;2,(30.005;31.215;34.755;40.705);18031;10650;5325;2,(30.005;31.215;34.755;40.705);18031;10650;5325;2
活动及会堂,(44.68;26.755;48.84;34.905);13561.6;7200;3600;2,(43.895;26.755;48.645;33.905);13585;7200;3600;2,(43.835;26.745;48.585;33.895);13585;7200;3600;2,(43.895;26.755;48.645;33.905);13585;7200;3600;2,(43.895;26.755;48.645;33.905);13585;7200;3600;2
学生宿舍,(42.31;59.785;52.77;65.055);22049.68;44326.72;4374.35;8;1866.39;5,(42.305;59.775;52.315;65.285);22062.04;41516.94;4097.07;8;1748.08;5,(42.305;59.775;52.315;65.285);22062.04;41516.94;4097.07;8;1748.08;5,(42.305;59.775;52.315;65.285);22062.04;41516.94;4097.07;8;1748.08;5,(42.305;59.775;52.315;65.285);22062.04;41516.94;4097.07;8;1748.08;5
学生宿舍,(40.195;44.6;46.165;53.84);22065.12;44357.76;4377.41;8;1867.7;5,(41.255;41.29;48.645;48.75);22051.76;41497.59;4095.16;8;1747.27;5,(41.255;41.29;48.645;48.75);22051.76;41497.59;4095.16;8;1747.27;5,(41.255;41.29;48.645;48.75);22051.76;41497.59;4095.16;8;1747.27;5,(41.255;41.29;48.645;48.75);22051.76;41497.59;4095.16;8;1747.27;5
学生宿舍,(46.765;48.14;59.835;57.78);50397.92;101315.52;9998.24;8;4265.92;5,(42.91;49.355;59.77;57.785);56851.92;106985.47;10557.78;8;4504.65;5,(42.91;49.355;59.77;57.785);56851.92;106985.47;10557.78;8;4504.65;5,(42.91;49.355;59.77;57.785);56851.92;106985.47;10557.78;8;4504.65;5,(42.91;49.355;59.77;57.785);56851.92;106985.47;10557.78;8;4504.65;5
单身教师宿舍,(25.645;55.58;30.035;57.78);3863.2;6000;750;8,(30.01;54.44;32.97;57.78);3954.56;6000;750;8,(30.01;54.44;32.97;57.78);3954.56;6000;750;8,(30.01;54.44;32.97;57.78);3954.56;6000;750;8,(30.01;54.44;32.97;57.78);3954.56;6000;750;8
食堂,(35.63;54.44;42.31;57.78);8924.48;6250.25;3125.13;2,(35.63;54.44;42.31;57.78);8924.48;6246.04;3123.02;2,(35.63;54.44;42.31;57.78);8924.48;6246.04;3123.02;2,(35.63;54.44;42.31;57.78);8924.48;6246.04;3123.02;2,(35.63;54.44;42.31;57.78);8924.48;6246.04;3123.02;2
食堂,(24.41;31.215;29.11;40.025);16562.8;11599.75;5799.87;2,(24.41;31.215;29.41;39.505);16580;11603.96;5801.98;2,(24.41;31.215;29.41;39.505);16580;11603.96;5801.98;2,(24.41;31.215;29.41;39.505);16580;11603.96;5801.98;2,(24.41;31.215;29.41;39.505);16580;11603.96;5801.98;2
办公及服务,(34.68;27.545;37.56;33.135);6439.68;9750;1950;5,(35.36;27.905;38.56;32.935);6438.4;9750;1950;5,(35.4;26.755;38.6;31.785);6438.4;9750;1950;5,(35.36;27.905;38.56;32.935);6438.4;9750;1950;5,(35.36;27.905;38.56;32.935);6438.4;9750;1950;5
后勤,(52.14;65.64999;59.84;73.03);22730.4;15900;7950;2,(50.495;65.89;59.845;73.03);26703.6;15900;7950;2,(50.495;65.89;59.845;73.03);26703.6;15900;7950;2,(50.495;65.89;59.845;73.03);26703.6;15900;7950;2,(50.495;65.89;59.845;73.03);26703.6;15900;7950;2
会堂,(41.165;27.315;44.075;33.145);6786.12;3600;1800;2,(39.16;27.29;43.2;31.49);6787.2;3600;1800;2,(39.2;26.75;43.24;30.95);6787.2;3600;1800;2,(39.16;27.29;43.2;31.49);6787.2;3600;1800;2,(39.16;27.29;43.2;31.49);6787.2;3600;1800;2
留学生及外教生活用房,(49.92;26.745;56.34;29.955);8243.28;9425;1885;5,(53.4;26.75;59.84;29.97);8294.72;9425;1885;5,(50.14;26.75;56.58;29.97);8294.72;9425;1885;5,(53.4;26.75;59.84;29.97);8294.72;9425;1885;5,(53.4;26.75;59.84;29.97);8294.72;9425;1885;5
培训,(24.41;19.585;27.51;23.815);5245.2;6000;1200;5,(24.41;19.585;27.21;23.815);4737.6;6000;1200;5,(24.41;19.585;27.21;23.815);4737.6;6000;1200;5,(24.41;19.585;27.21;23.815);4737.6;6000;1200;5,(24.41;19.585;27.21;23.815);4737.6;6000;1200;5
学术交流中心,(28.11;19.585;33.31;23.815);8798.4;30000;2000;15,(27.81;19.585;33.01;23.815);8798.4;30000;2000;15,(27.81;19.585;32.35;23.815);7681.68;30000;2000;15,(27.81;19.585;32.35;23.815);7681.68;30000;2000;15,(27.81;19.585;32.35;23.815);7681.68;30000;2000;15
重点实验室,(52.14;78.22;59.84;87.84);29629.6;58347.68;11669.54;5,(50.595;78.22;59.845;87.84);35594;62269.85;12453.97;5,(50.595;78.22;59.845;87.84);35594;62269.85;12453.97;5,(50.595;78.22;59.845;87.84);35594;62269.85;12453.97;5,(50.595;78.22;59.845;87.84);35594;62269.85;12453.97;5
重点实验室,(33.215;78.275;39.665;84.505);16073.4;31652.32;6330.46;5,(33.6;78.285;39.9;84.575);15850.8;27730.15;5546.03;5,(33.6;78.285;39.9;84.575);15850.8;27730.15;5546.03;5,(33.6;78.285;39.9;84.575);15850.8;27730.15;5546.03;5,(33.6;78.285;39.9;84.575);15850.8;27730.15;5546.03;5
对外继续教育,(42.91;19.585;50.71;23.815);13197.6;20000;4000;5,(42.91;19.585;50.71;23.815);13197.6;20000;4000;5,(42.91;19.585;50.71;23.815);13197.6;20000;4000;5,(42.91;19.585;50.71;23.815);13197.6;20000;4000;5,(42.91;19.585;50.71;23.815);13197.6;20000;4000;5
创研中心,(51.31;19.585;59.77;23.815);14314.32;32187.7;4023.46;8,(51.31;19.585;59.77;23.815);14314.32;31586.81;3948.35;8,(51.31;19.585;59.77;23.815);14314.32;30340.71;3792.59;8,(51.31;19.585;59.77;23.815);14314.32;30340.71;3792.59;8,(51.31;19.585;59.77;23.815);14314.32;30340.71;3792.59;8
创研中心,(33.905;19.585;41.215;23.815);12368.52;27812.3;3476.54;8,(33.615;19.585;41.225;23.815);12876.12;28413.19;3551.65;8,(32.945;19.585;41.215;23.815);13992.84;29659.29;3707.41;8,(32.945;19.585;41.215;23.815);13992.84;29659.29;3707.41;8,(32.945;19.585;41.215;23.815);13992.84;29659.29;3707.41;8
科研区,(25.805;78.275;32.615;84.505);16970.52;50104.94;6263.12;8,(25.805;78.285;32.995;84.575);18090.04;57711.02;7213.88;8,(25.805;78.285;32.995;84.575);18090.04;57711.02;7213.88;8,(25.805;78.285;32.995;84.575);18090.04;57711.02;7213.88;8,(25.805;78.285;32.995;84.575);18090.04;57711.02;7213.88;8
科研区,(40.27;78.28;51.55;87.84);43134.72;127353.93;15919.24;8,(40.505;78.28;49.995;87.84);36289.76;115771.95;14471.49;8,(40.505;78.28;49.995;87.84);36289.76;115771.95;14471.49;8,(40.505;78.28;49.995;87.84);36289.76;115771.95;14471.49;8,(40.505;78.28;49.995;87.84);36289.76;115771.95;14471.49;8
科研区,(31.51;85.105;39.67;90.155);16483.2;48666.14;6083.27;8,(31.16;85.17;39.9;89.89);16501.12;52642.03;6580.25;8,(31.16;85.17;39.9;89.89);16501.12;52642.03;6580.25;8,(31.16;85.17;39.9;89.89);16501.12;52642.03;6580.25;8,(31.16;85.17;39.9;89.89);16501.12;52642.03;6580.25;8
户外体育区,(24.415;40.635;31.925;54.985);43107.4;0,(24.41;41.31;31.91;53.81);37500;0,(24.41;41.31;31.91;53.81);37500;0,(24.41;41.31;31.91;53.81);37500;0,(24.41;41.31;31.91;53.81);37500;0
