Districts ,0,1,2,3,4
公共教学,(43.495;27.29;49.985;32.63);13862.64;27750;5550;5,(43.505;27.29;49.995;32.63);13862.64;27750;5550;5,(43.505;27.29;49.995;32.63);13862.64;27750;5550;5,(43.505;27.29;49.995;32.63);13862.64;27750;5550;5,(43.505;27.29;49.995;32.63);13862.64;27750;5550;5
专业教学实训,(25.425;46.945;32.255;52.135);14179.08;21485.13;3950.15;5;346.88;5,(24.955;46.945;31.785;52.135);14179.08;21485.13;3950.15;5;346.88;5,(24.955;46.945;31.785;52.135);14179.08;21485.13;3950.15;5;346.88;5,(24.955;46.945;31.785;52.135);14179.08;21485.13;3950.15;5;346.88;5,(24.995;46.945;31.825;52.135);14179.08;28357.11;5213.6;5;457.82;5
专业教学实训,(25.47;52.74;32.49;57.78);14152.32;21444.58;3942.69;5;346.22;5,(24.96;52.74;31.98;57.78);14152.32;21444.58;3942.69;5;346.22;5,(24.96;52.74;31.98;57.78);14152.32;21444.58;3942.69;5;346.22;5,(24.96;52.74;31.98;57.78);14152.32;21444.58;3942.69;5;346.22;5,(25;52.74;32.02;57.78);14152.32;28303.59;5203.76;5;456.96;5
专业教学实训,(51.265;26.755;59.995;41.585);51786.36;78470.29;14427.16;5;1266.9;5,(51.665;26.755;60.395;41.585);51786.36;78470.29;14427.16;5;1266.9;5,(51.665;26.755;60.395;41.585);51786.36;78470.29;14427.16;5;1266.9;5,(51.665;26.755;60.395;41.585);51786.36;78470.29;14427.16;5;1266.9;5,(51.695;33.415;60.425;42.685);32370.84;64739.29;11902.64;5;1045.21;5
院系办公,(33.09;50.525;39.83;53.895);9085.52;18150;3630;5,(33.09;50.525;39.83;53.895);9085.52;18150;3630;5,(33.09;50.525;39.83;53.895);9085.52;18150;3630;5,(33.09;50.525;39.83;53.895);9085.52;18150;3630;5,(33.09;50.525;39.83;53.895);9085.52;18150;3630;5
图书馆,(42.7;33.235;48.16;38.505);11509.68;23000;3900;5;700;5,(42.7;33.235;48.16;38.505);11509.68;23000;3900;5;700;5,(42.7;33.235;48.16;38.505);11509.68;23000;3900;5;700;5,(42.7;33.235;48.16;38.505);11509.68;23000;3900;5;700;5,(42.7;33.235;48.16;38.505);11509.68;23000;3900;5;700;5
室内体育用房,(25.005;41.095;32.255;46.345);15225;10650;5325;2,(25.005;41.095;32.255;46.345);15225;10650;5325;2,(25.005;41.095;32.255;46.345);15225;10650;5325;2,(25.005;41.095;32.255;46.345);15225;10650;5325;2,(25.005;41.095;32.255;46.345);15225;10650;5325;2
活动及会堂,(38;32.825;42.1;39.095);10282.8;7200;3600;2,(38;32.825;42.1;39.095);10282.8;7200;3600;2,(38;32.825;42.1;39.095);10282.8;7200;3600;2,(38;32.825;42.1;39.095);10282.8;7200;3600;2,(38;32.825;42.1;39.095);10282.8;7200;3600;2
学生宿舍,(42.36;59.785;49.46;67.615);22237.2;44721.77;4413.33;8;1883.02;5,(42.36;59.785;49.46;67.615);22237.2;44721.77;4413.33;8;1883.02;5,(42.45;59.785;49.55;67.615);22237.2;44721.77;4413.33;8;1883.02;5,(42.45;59.785;49.55;67.615);22237.2;44721.77;4413.33;8;1883.02;5,(42.31;59.785;49.41;67.615);22237.2;44723.57;4413.51;8;1883.1;5
学生宿舍,(40.425;43.285;52.635;52.615);45567.72;91642.35;9043.65;8;3858.63;5,(40.425;43.285;52.635;52.615);45567.72;91642.35;9043.65;8;3858.63;5,(40.425;43.285;52.635;52.615);45567.72;91642.35;9043.65;8;3858.63;5,(40.425;43.285;52.635;52.615);45567.72;91642.35;9043.65;8;3858.63;5,(40.43;43.285;53.03;52.615);47023.2;94573.3;9332.89;8;3982.03;5
