Districts ,0,1,2,3,4
公共教学,(41.75;35.785;46.53;45.355);18297.84;27750;5550;5,(41.85;35.785;46.63;45.355);18297.84;27750;5550;5,(41.85;35.785;46.63;45.355);18297.84;27750;5550;5,(41.85;35.785;46.63;45.355);18297.84;27750;5550;5,(41.85;35.785;46.63;45.355);18297.84;27750;5550;5
专业教学实训,(42.325;50.985;47.535;57.775);14150.36;21437.63;3941.42;5;346.11;5,(42.325;50.985;47.535;57.775);14150.36;21437.63;3941.42;5;346.11;5,(42.325;50.985;47.535;57.775);14150.36;21437.63;3941.42;5;346.11;5,(42.325;50.985;47.535;57.775);14150.36;21437.63;3941.42;5;346.11;5,(42.325;50.985;47.535;57.775);14150.36;21437.63;3941.42;5;346.11;5
专业教学实训,(43.76;26.75;59.84;34.79);51713.28;78345.01;14404.12;5;1264.88;5,(43.76;26.75;59.84;34.79);51713.28;78345.01;14404.12;5;1264.88;5,(43.76;26.75;59.84;34.79);51713.28;78345.01;14404.12;5;1264.88;5,(43.76;26.75;59.84;34.79);51713.28;78345.01;14404.12;5;1264.88;5,(43.76;26.75;59.84;34.79);51713.28;78345.01;14404.12;5;1264.88;5
专业教学实训,(24.415;26.745;31.925;31.495);14269;21617.37;3974.46;5;349.01;5,(24.415;26.745;31.925;31.495);14269;21617.37;3974.46;5;349.01;5,(24.415;26.745;31.925;31.495);14269;21617.37;3974.46;5;349.01;5,(24.415;26.745;31.925;31.495);14269;21617.37;3974.46;5;349.01;5,(24.415;26.745;31.925;31.495);14269;21617.37;3974.46;5;349.01;5
院系办公,(39.295;26.75;43.165;34.49);11981.52;18150;3630;5,(39.295;26.75;43.165;34.49);11981.52;18150;3630;5,(39.295;26.75;43.165;34.49);11981.52;18150;3630;5,(39.295;26.75;43.165;34.49);11981.52;18150;3630;5,(39.295;26.75;43.165;34.49);11981.52;18150;3630;5
图书馆,(32.91;40.505;37.27;49.215);15190.24;23000;3900;5;700;5,(33.46;41.275;37.82;49.985);15190.24;23000;3900;5;700;5,(33.46;41.275;37.82;49.985);15190.24;23000;3900;5;700;5,(33.46;41.275;37.82;49.985);15190.24;23000;3900;5;700;5,(33.46;41.275;37.82;49.985);15190.24;23000;3900;5;700;5
室内体育用房,(24.41;32.1;31.91;38.3);18600;10650;5325;2,(24.41;32.1;31.91;38.3);18600;10650;5325;2,(24.41;32.1;31.91;38.3);18600;10650;5325;2,(24.41;32.1;31.91;38.3);18600;10650;5325;2,(24.41;32.1;31.91;38.3);18600;10650;5325;2
活动及会堂,(32.91;35.79;41.15;39.91);13579.52;7200;3600;2,(33.01;35.79;41.25;39.91);13579.52;7200;3600;2,(33.01;35.79;41.25;39.91);13579.52;7200;3600;2,(33.01;35.79;41.25;39.91);13579.52;7200;3600;2,(33.01;35.79;41.25;39.91);13579.52;7200;3600;2
学生宿舍,(28.155;50.995;41.725;57.785);36856.12;74071.93;7309.73;8;3118.82;5,(28.155;50.995;41.725;57.785);36856.12;74071.93;7309.73;8;3118.82;5,(28.155;50.995;41.725;57.785);36856.12;74071.93;7309.73;8;3118.82;5,(28.155;50.995;41.725;57.785);36856.12;74071.93;7309.73;8;3118.82;5,(28.155;50.995;41.725;57.785);36856.12;74071.93;7309.73;8;3118.82;5
学生宿舍,(48.14;50.995;59.84;57.785);31777.2;63864.53;6302.42;8;2689.03;5,(48.14;50.995;59.84;57.785);31777.2;63864.53;6302.42;8;2689.03;5,(48.14;50.995;59.84;57.785);31777.2;63864.53;6302.42;8;2689.03;5,(48.14;50.995;59.84;57.785);31777.2;63864.53;6302.42;8;2689.03;5,(48.14;50.995;59.84;57.785);31777.2;63864.53;6302.42;8;2689.03;5
学生宿舍,(42.305;59.78;51.275;67);25905.36;52063.54;5137.85;8;2192.15;5,(42.305;59.78;51.275;67);25905.36;52063.54;5137.85;8;2192.15;5,(42.305;59.78;51.275;67);25905.36;52063.54;5137.85;8;2192.15;5,(42.305;59.78;51.275;67);25905.36;52063.54;5137.85;8;2192.15;5,(42.305;59.78;51.275;67);25905.36;52063.54;5137.85;8;2192.15;5
单身教师宿舍,(32.525;78.28;36.975;80.5);3951.6;6000;750;8,(32.525;78.28;36.975;80.5);3951.6;6000;750;8,(32.525;78.28;36.975;80.5);3951.6;6000;750;8,(32.525;78.28;36.975;80.5);3951.6;6000;750;8,(32.525;78.28;36.975;80.5);3951.6;6000;750;8
食堂,(32.525;26.75;38.015;30.81);8915.76;6247.75;3123.88;2,(32.525;26.75;38.015;30.81);8915.76;6247.75;3123.88;2,(32.525;26.75;38.015;30.81);8915.76;6247.75;3123.88;2,(32.525;26.75;38.015;30.81);8915.76;6247.75;3123.88;2,(32.525;26.75;38.015;30.81);8915.76;6247.75;3123.88;2
食堂,(51.88;67.83;59.84;73.03);16556.8;11602.25;5801.12;2,(51.88;67.83;59.84;73.03);16556.8;11602.25;5801.12;2,(51.88;67.83;59.84;73.03);16556.8;11602.25;5801.12;2,(51.88;67.83;59.84;73.03);16556.8;11602.25;5801.12;2,(51.88;67.83;59.84;73.03);16556.8;11602.25;5801.12;2
办公及服务,(37.86;40.505;40.7;46.175);6441.12;9750;1950;5,(38.41;44.315;41.25;49.985);6441.12;9750;1950;5,(38.41;44.315;41.25;49.985);6441.12;9750;1950;5,(38.41;44.315;41.25;49.985);6441.12;9750;1950;5,(38.41;44.315;41.25;49.985);6441.12;9750;1950;5
后勤,(51.88;59.775;59.84;67.225);23720.8;15900;7950;2,(51.88;59.775;59.84;67.225);23720.8;15900;7950;2,(51.88;59.775;59.84;67.225);23720.8;15900;7950;2,(51.88;59.775;59.84;67.225);23720.8;15900;7950;2,(51.88;59.775;59.84;67.225);23720.8;15900;7950;2
会堂,(42.325;46.73;47.535;49.99);6793.84;3600;1800;2,(42.325;45.96;47.535;49.22);6793.84;3600;1800;2,(42.325;45.96;47.535;49.22);6793.84;3600;1800;2,(42.325;45.96;47.535;49.22);6793.84;3600;1800;2,(42.325;45.96;47.535;49.22);6793.84;3600;1800;2
留学生及外教生活用房,(32.525;31.41;38.695;34.77);8292.48;9425;1885;5,(32.525;31.43;38.695;34.79);8292.48;9425;1885;5,(32.525;31.41;38.695;34.77);8292.48;9425;1885;5,(32.525;31.43;38.695;34.79);8292.48;9425;1885;5,(32.525;31.43;38.695;34.79);8292.48;9425;1885;5
培训,(24.41;19.585;27.53;23.815);5279.04;6000;1200;5,(29.04;19.585;32.16;23.815);5279.04;6000;1200;5,(29.04;19.585;32.16;23.815);5279.04;6000;1200;5,(29.04;19.585;32.16;23.815);5279.04;6000;1200;5,(29.04;19.585;32.16;23.815);5279.04;6000;1200;5
学术交流中心,(42.36;19.585;46.64;23.815);7241.76;30000;2000;15,(42.36;19.585;46.64;23.815);7241.76;30000;2000;15,(42.36;19.585;46.64;23.815);7241.76;30000;2000;15,(42.36;19.585;46.64;23.815);7241.76;30000;2000;15,(42.36;19.585;46.64;23.815);7241.76;30000;2000;15
重点实验室,(52.6;78.22;59.84;87.84);27859.52;54344.44;10868.89;5,(52.6;78.22;59.84;87.84);27859.52;54344.44;10868.89;5,(52.6;78.22;59.84;87.84);27859.52;54344.44;10868.89;5,(52.6;78.22;59.84;87.84);27859.52;54344.44;10868.89;5,(52.6;78.22;59.84;87.84);27859.52;54344.44;10868.89;5
重点实验室,(39.57;78.28;44.35;87.84);18278.72;35655.56;7131.11;5,(39.57;78.28;44.35;87.84);18278.72;35655.56;7131.11;5,(39.57;78.28;44.35;87.84);18278.72;35655.56;7131.11;5,(39.57;78.28;44.35;87.84);18278.72;35655.56;7131.11;5,(39.57;78.28;44.35;87.84);18278.72;35655.56;7131.11;5
对外继续教育,(53.925;19.585;59.835;23.815);9999.72;20000;4000;5,(53.925;19.585;59.835;23.815);9999.72;20000;4000;5,(53.925;19.585;59.835;23.815);9999.72;20000;4000;5,(53.925;19.585;59.835;23.815);9999.72;20000;4000;5,(53.925;19.585;59.835;23.815);9999.72;20000;4000;5
创研中心,(47.235;19.585;53.325;23.815);10304.28;25113.4;3139.18;8,(47.235;19.585;53.325;23.815);10304.28;25113.4;3139.18;8,(47.235;19.585;53.325;23.815);10304.28;25113.4;3139.18;8,(47.235;19.585;53.325;23.815);10304.28;25113.4;3139.18;8,(47.235;19.585;53.325;23.815);10304.28;25113.4;3139.18;8
创研中心,(28.13;19.585;36.59;23.815);14314.32;34886.6;4360.82;8,(32.76;19.585;41.22;23.815);14314.32;34886.6;4360.82;8,(32.76;19.585;41.22;23.815);14314.32;34886.6;4360.82;8,(32.76;19.585;41.22;23.815);14314.32;34886.6;4360.82;8,(32.76;19.585;41.22;23.815);14314.32;34886.6;4360.82;8
科研区,(32.515;81.105;38.965;90.955);25413;81340.46;10167.56;8,(32.515;81.105;38.965;90.955);25413;81340.46;10167.56;8,(32.515;81.105;38.965;90.955);25413;81340.46;10167.56;8,(32.515;81.105;38.965;90.955);25413;81340.46;10167.56;8,(32.515;81.105;38.965;90.955);25413;81340.46;10167.56;8
科研区,(44.945;78.225;51.995;87.835);27100.2;86740.75;10842.59;8,(44.945;78.225;51.995;87.835);27100.2;86740.75;10842.59;8,(44.945;78.225;51.995;87.835);27100.2;86740.75;10842.59;8,(44.945;78.225;51.995;87.835);27100.2;86740.75;10842.59;8,(44.945;78.225;51.995;87.835);27100.2;86740.75;10842.59;8
科研区,(25.815;78.28;31.925;85.7);18134.48;58043.79;7255.47;8,(25.815;78.28;31.925;85.7);18134.48;58043.79;7255.47;8,(25.815;78.28;31.925;85.7);18134.48;58043.79;7255.47;8,(25.815;78.28;31.925;85.7);18134.48;58043.79;7255.47;8,(25.815;78.28;31.925;85.7);18134.48;58043.79;7255.47;8
户外体育区,(24.41;38.89;31.91;50.39);34500;0,(24.41;38.89;31.91;50.39);34500;0,(24.41;38.89;31.91;50.39);34500;0,(24.41;38.89;31.91;50.39);34500;0,(24.41;38.89;31.91;50.39);34500;0
户外体育区,(52.175;35.385;59.845;50.395);46050.68;0,(52.175;35.385;59.845;50.395);46050.68;0,(52.175;35.385;59.845;50.395);46050.68;0,(52.175;35.385;59.845;50.395);46050.68;0,(52.175;35.385;59.845;50.395);46050.68;0
户外体育区,(42.305;67.595;51.275;73.02499);19482.84;0,(42.305;67.595;51.275;73.02499);19482.84;0,(42.305;67.595;51.275;73.02499);19482.84;0,(42.305;67.595;51.275;73.02499);19482.84;0,(42.305;67.595;51.275;73.02499);19482.84;0
Rectangle
