Districts ,0,1,2,3,4
公共教学,(43.525;35.59;48.495;44.81);18329.36;27750;5550;5,(43.525;35.59;48.495;44.81);18329.36;27750;5550;5,(43.525;35.59;48.495;44.81);18329.36;27750;5550;5,(42.825;35.59;47.795;44.81);18329.36;27750;5550;5,(45.495;35.59;50.465;44.81);18329.36;27750;5550;5
专业教学实训,(32.51;45.25;41.71;49.93);17222.4;26100.56;4798.72;5;421.39;5,(32.51;45.25;41.71;49.93);17222.4;26100.56;4798.72;5;421.39;5,(32.51;45.25;41.71;49.93);17222.4;26100.56;4798.72;5;421.39;5,(32.51;45.25;41.71;49.93);17222.4;26100.56;4798.72;5;421.39;5,(32.51;45.25;41.71;49.93);17222.4;26100.56;4798.72;5;421.39;5
专业教学实训,(24.41;46.94;31.55;57.78);30959.04;46918.46;8626.19;5;757.5;5,(24.41;46.94;31.55;57.78);30959.04;46918.46;8626.19;5;757.5;5,(24.41;46.94;31.55;57.78);30959.04;46918.46;8626.19;5;757.5;5,(24.41;46.94;31.55;57.78);30959.04;46918.46;8626.19;5;757.5;5,(24.41;46.94;31.55;57.78);30959.04;46918.46;8626.19;5;757.5;5
专业教学实训,(51.06;37.045;59.84;46.135);31924.08;48380.98;8895.09;5;781.11;5,(51.06;37.045;59.84;46.135);31924.08;48380.98;8895.09;5;781.11;5,(51.06;37.045;59.84;46.135);31924.08;48380.98;8895.09;5;781.11;5,(51.06;37.045;59.84;46.135);31924.08;48380.98;8895.09;5;781.11;5,(51.06;37.045;59.84;46.135);31924.08;48380.98;8895.09;5;781.11;5
院系办公,(24.41;42.355;31.91;46.345);11970;18150;3630;5,(24.41;42.355;31.91;46.345);11970;18150;3630;5,(24.41;42.355;31.91;46.345);11970;18150;3630;5,(24.41;42.355;31.91;46.345);11970;18150;3630;5,(24.41;42.355;31.91;46.345);11970;18150;3630;5
图书馆,(36.935;26.745;42.225;33.915);15171.72;23000;3900;5;700;5,(36.935;26.745;42.225;33.915);15171.72;23000;3900;5;700;5,(36.935;26.745;42.225;33.915);15171.72;23000;3900;5;700;5,(36.935;26.745;42.225;33.915);15171.72;23000;3900;5;700;5,(36.935;26.745;42.225;33.915);15171.72;23000;3900;5;700;5
室内体育用房,(32.52;34.52;36.94;43.36);15629.12;10650;5325;2,(32.52;34.52;36.94;43.36);15629.12;10650;5325;2,(32.52;34.52;36.94;43.36);15629.12;10650;5325;2,(32.52;34.52;36.94;43.36);15629.12;10650;5325;2,(32.52;34.52;36.94;43.36);15629.12;10650;5325;2
活动及会堂,(46.34;26.75;50.46;34.99);13579.52;7200;3600;2,(42.83;26.75;46.95;34.99);13579.52;7200;3600;2,(46.34;26.75;50.46;34.99);13579.52;7200;3600;2,(46.34;26.75;50.46;34.99);13579.52;7200;3600;2,(46.34;26.75;50.46;34.99);13579.52;7200;3600;2
学生宿舍,(42.305;45.4;48.495;57.78);30652.88;58156.08;5739.09;8;2448.68;5,(42.305;45.4;48.495;57.78);30652.88;58156.08;5739.09;8;2448.68;5,(42.305;45.4;48.495;57.78);30652.88;58156.08;5739.09;8;2448.68;5,(42.305;45.4;48.495;57.78);30652.88;58156.08;5739.09;8;2448.68;5,(42.305;45.4;48.495;57.78);30652.88;58156.08;5739.09;8;2448.68;5
学生宿舍,(42.31;59.785;50.41;66.595);22064.4;41861.61;4131.08;8;1762.59;5,(42.31;59.785;50.41;66.595);22064.4;41861.61;4131.08;8;1762.59;5,(42.31;59.785;50.41;66.595);22064.4;41861.61;4131.08;8;1762.59;5,(42.31;59.785;50.41;66.595);22064.4;41861.61;4131.08;8;1762.59;5,(42.31;59.785;50.41;66.595);22064.4;41861.61;4131.08;8;1762.59;5
学生宿舍,(49.1;46.74;59.84;57.78);47427.84;89982.31;8879.83;8;3788.73;5,(49.1;46.74;59.84;57.78);47427.84;89982.31;8879.83;8;3788.73;5,(49.1;46.74;59.84;57.78);47427.84;89982.31;8879.83;8;3788.73;5,(49.1;46.74;59.84;57.78);47427.84;89982.31;8879.83;8;3788.73;5,(49.1;46.74;59.84;57.78);47427.84;89982.31;8879.83;8;3788.73;5
单身教师宿舍,(32.51;29.465;34.73;33.915);3951.6;6000;750;8,(32.51;29.465;34.73;33.915);3951.6;6000;750;8,(34.11;29.465;36.33;33.915);3951.6;6000;750;8,(32.51;29.465;34.73;33.915);3951.6;6000;750;8,(32.51;29.465;34.73;33.915);3951.6;6000;750;8
食堂,(37.545;50.535;41.715;57.785);12093;8316.7;4158.35;2,(37.545;50.535;41.715;57.785);12093;8316.7;4158.35;2,(37.545;50.535;41.715;57.785);12093;8316.7;4158.35;2,(37.545;50.535;41.715;57.785);12093;8316.7;4158.35;2,(37.545;50.535;41.715;57.785);12093;8316.7;4158.35;2
食堂,(32.16;50.535;36.94;57.785);13862;9533.3;4766.65;2,(32.16;50.535;36.94;57.785);13862;9533.3;4766.65;2,(32.16;50.535;36.94;57.785);13862;9533.3;4766.65;2,(32.16;50.535;36.94;57.785);13862;9533.3;4766.65;2,(32.16;50.535;36.94;57.785);13862;9533.3;4766.65;2
办公及服务,(38.87;35.425;41.71;41.095);6441.12;9750;1950;5,(37.54;35.425;40.38;41.095);6441.12;9750;1950;5,(38.87;34.525;41.71;40.195);6441.12;9750;1950;5,(37.54;34.525;40.38;40.195);6441.12;9750;1950;5,(37.54;35.425;40.38;41.095);6441.12;9750;1950;5
后勤,(51.895;63.595;59.845;73.02499);29987.4;15900;7950;2,(51.895;63.595;59.845;73.02499);29987.4;15900;7950;2,(51.895;63.595;59.845;73.02499);29987.4;15900;7950;2,(51.895;63.595;59.845;73.02499);29987.4;15900;7950;2,(51.895;63.595;59.845;73.02499);29987.4;15900;7950;2
