Districts ,0,1,2,3,4
公共教学,(47.84;37.265;52;45.595);13861.12;27750;5550;5,(47.84;37.265;52;45.595);13861.12;27750;5550;5,(47.84;38.335;52;46.665);13861.12;27750;5550;5,(47.84;37.265;52;45.595);13861.12;27750;5550;5,(47.84;37.265;52;45.595);13861.12;27750;5550;5
专业教学实训,(24.405;26.755;32.435;31.165);14164.92;28328.08;5208.26;5;457.36;5,(24.405;26.755;32.435;31.165);14164.92;28328.08;5208.26;5;457.36;5,(24.405;26.755;32.435;31.165);14164.92;28328.08;5208.26;5;457.36;5,(24.405;26.755;32.435;31.165);14164.92;28328.08;5208.26;5;457.36;5,(24.405;26.755;32.435;31.165);14164.92;28317.73;5206.36;5;457.19;5
专业教学实训,(51.475;26.755;59.845;36.265);31839.48;63675.02;11706.97;5;1028.03;5,(51.475;26.755;59.845;36.265);31839.48;63675.02;11706.97;5;1028.03;5,(51.475;26.755;59.845;36.265);31839.48;63675.02;11706.97;5;1028.03;5,(51.475;26.755;59.845;36.265);31839.48;63675.02;11706.97;5;1028.03;5,(51.34;26.745;59.84;35.935);31246;62465.29;11484.56;5;1008.5;5
专业教学实训,(55.035;36.86;59.845;44.5);14699.36;29396.9;5404.77;5;474.61;5,(55.035;36.86;59.845;44.5);14699.36;29396.9;5404.77;5;474.61;5,(55.035;36.86;59.845;44.5);14699.36;29396.9;5404.77;5;474.61;5,(55.035;36.86;59.845;44.5);14699.36;29396.9;5404.77;5;474.61;5,(55.035;36.54;59.845;44.5);15315.04;30616.99;5629.09;5;494.31;5
院系办公,(55.345;48.05;58.715;54.79);9085.52;18150;3630;5,(55.575;51.04;58.945;57.78);9085.52;18150;3630;5,(56.475;51.04;59.845;57.78);9085.52;18150;3630;5,(55.575;48.05;58.945;54.79);9085.52;18150;3630;5,(56.475;48.05;59.845;54.79);9085.52;18150;3630;5
图书馆,(39.255;42.6;43.045;50.18);11491.28;23000;3900;5;700;5,(33.975;42.68;37.765;50.26);11491.28;23000;3900;5;700;5,(39.255;42.68;43.045;50.26);11491.28;23000;3900;5;700;5,(39.255;39.23;43.045;46.81);11491.28;23000;3900;5;700;5,(39.255;42.17;43.045;49.75);11491.28;23000;3900;5;700;5
室内体育用房,(24.405;31.76;32.435;36.5);15224.88;10650;5325;2,(24.405;31.76;32.435;36.5);15224.88;10650;5325;2,(24.405;31.76;32.435;36.5);15224.88;10650;5325;2,(24.405;31.76;32.435;36.5);15224.88;10650;5325;2,(24.405;31.76;32.435;36.5);15224.88;10650;5325;2
活动及会堂,(43.645;37.265;47.235;44.435);10296.12;7200;3600;2,(43.645;37.265;47.235;44.435);10296.12;7200;3600;2,(43.645;38.145;47.235;45.315);10296.12;7200;3600;2,(43.645;37.265;47.235;44.435);10296.12;7200;3600;2,(43.645;37.265;47.235;44.435);10296.12;7200;3600;2
学生宿舍,(32.51;51.26;45.55;57.78);34008.32;68384.42;6748.46;8;2879.34;5,(32.74;51.26;45.78;57.78);34008.32;68384.42;6748.46;8;2879.34;5,(32.74;51.26;45.78;57.78);34008.32;68384.42;6748.46;8;2879.34;5,(32.74;51.26;45.78;57.78);34008.32;68384.42;6748.46;8;2879.34;5,(32.74;51.26;45.78;57.78);34008.32;68384.42;6748.46;8;2879.34;5
学生宿舍,(46.145;51.26;54.735;57.78);22402.72;45047.71;4445.5;8;1896.75;5,(46.385;51.26;54.975;57.78);22402.72;45047.71;4445.5;8;1896.75;5,(46.385;51.26;54.975;57.78);22402.72;45047.71;4445.5;8;1896.75;5,(46.385;51.26;54.975;57.78);22402.72;45047.71;4445.5;8;1896.75;5,(46.385;51.26;54.975;57.78);22402.72;45047.71;4445.5;8;1896.75;5
学生宿舍,(33.035;26.755;43.045;36.265);38078.04;76567.87;7556.04;8;3223.91;5,(33.035;26.755;43.045;36.265);38078.04;76567.87;7556.04;8;3223.91;5,(33.035;26.755;43.045;36.265);38078.04;76567.87;7556.04;8;3223.91;5,(33.035;26.755;43.045;36.265);38078.04;76567.87;7556.04;8;3223.91;5,(33.035;26.755;43.045;36.265);38078.04;76567.87;7556.04;8;3223.91;5
单身教师宿舍,(29.97;37.5;32.97;40.5);3600;6000;750;8,(29.97;37.5;32.97;40.5);3600;6000;750;8,(29.97;39.08;32.97;42.08);3600;6000;750;8,(29.97;37.5;32.97;40.5);3600;6000;750;8,(29.97;37.5;32.97;40.5);3600;6000;750;8
