Districts ,0,1,2,3,4
公共教学,(39.625;36.605;47.635;40.935);13873.32;27750;5550;5,(43.19;36.785;47.35;45.115);13861.12;27750;5550;5,(41.405;36.76;46.175;44.04);13890.24;27750;5550;5,(41.405;36.76;46.175;44.04);13890.24;27750;5550;5,(41.405;36.76;46.175;44.04);13890.24;27750;5550;5
专业教学实训,(24.415;26.745;31.145;32.015);14186.84;28361.85;5214.47;5;457.9;5,(24.425;26.745;31.275;31.915);14165.8;28323.69;5207.45;5;457.29;5,(24.41;26.755;30.65;32.425);14152.32;28312.25;5205.35;5;457.1;5,(24.41;26.755;30.65;32.425);14152.32;28312.25;5205.35;5;457.1;5,(24.41;26.755;30.65;32.425);14152.32;28312.25;5205.35;5;457.1;5
专业教学实训,(52.88;26.755;59.84;36.005);25752;51482.52;9465.32;5;831.18;5,(53.7;26.745;59.86;35.515);21609.28;43206.49;7943.73;5;697.57;5,(52.315;26.755;59.845;35.985);27800.76;55616.48;10225.37;5;897.93;5,(52.315;26.755;59.845;35.985);27800.76;55616.48;10225.37;5;897.93;5,(52.315;26.755;59.845;35.985);27800.76;55616.48;10225.37;5;897.93;5
专业教学实训,(31.74;26.755;37.72;35.445);20786.48;41555.63;7640.21;5;670.91;5,(31.875;26.745;38.985;35.515);24941.88;49869.83;9168.82;5;805.15;5,(31.255;26.755;37.205;34.625);18730.6;37471.27;6889.28;5;604.97;5,(31.255;26.755;37.205;34.625);18730.6;37471.27;6889.28;5;604.97;5,(31.255;26.755;37.205;34.625);18730.6;37471.27;6889.28;5;604.97;5
院系办公,(53.1;40.195;59.84;43.565);9085.52;18150;3630;5,(53.7;39.82;59.86;43.5);9067.52;18150;3630;5,(52.31;40.175;59.05;43.545);9085.52;18150;3630;5,(52.31;40.175;59.05;43.545);9085.52;18150;3630;5,(52.31;40.175;59.05;43.545);9085.52;18150;3630;5
图书馆,(33.105;40.2;39.035;46.6);15180.8;23000;3900;5;700;5,(33.055;41.665;41.705;45.995);14981.8;23000;3900;5;700;5,(32.905;41.595;39.575;45.905);11499.08;23000;3900;5;700;5,(32.905;41.595;39.575;45.905);11499.08;23000;3900;5;700;5,(32.905;41.595;39.575;45.905);11499.08;23000;3900;5;700;5
室内体育用房,(24.415;48.73;32.105;53.67);15195.44;10650;5325;2,(24.425;48.62;32.055;53.6);15198.96;10650;5325;2,(24.405;50.72;29.795;57.78);15221.36;10650;5325;2,(24.405;50.72;29.795;57.78);15221.36;10650;5325;2,(24.405;50.72;29.795;57.78);15221.36;10650;5325;2
活动及会堂,(48.235;42.945;51.825;50.115);10296.12;7200;3600;2,(47.95;41.67;51.99;48.03);10277.76;7200;3600;2,(47.725;41.595;51.315;48.765);10296.12;7200;3600;2,(47.725;41.595;51.315;48.765);10296.12;7200;3600;2,(47.725;41.595;51.315;48.765);10296.12;7200;3600;2
学生宿舍,(32.775;51.12;44.125;57.78);30236.4;60804.65;6000.46;8;2560.2;5,(32.66;51.18;43.86;57.78);29568;59446.17;5866.4;8;2503;5,(34.34;50.765;44.88;57.775);29554.16;59446.53;5866.43;8;2503.01;5,(34.34;50.765;44.88;57.775);29554.16;59446.53;5866.43;8;2503.01;5,(34.34;50.765;44.88;57.775);29554.16;59446.53;5866.43;8;2503.01;5
学生宿舍,(42.315;59.78;56.705;67.1);42133.92;84730.27;8361.54;8;3567.59;5,(42.31;59.78;56.95;67.1);42865.92;86181.51;8504.75;8;3628.7;5,(42.31;59.78;56.95;67.1);42865.92;86222.38;8508.79;8;3630.42;5,(42.31;59.78;56.95;67.1);42865.92;86222.38;8508.79;8;3630.42;5,(42.31;59.78;56.95;67.1);42865.92;86222.38;8508.79;8;3630.42;5
学生宿舍,(51.54;51.12;59.84;57.78);22111.2;44465.07;4388;8;1872.21;5,(51.49;51.18;59.85;57.78);22070.4;44372.32;4378.85;8;1868.31;5,(51.98;50.765;59.84;57.775);22039.44;44331.09;4374.78;8;1866.57;5,(51.98;50.765;59.84;57.775);22039.44;44331.09;4374.78;8;1866.57;5,(51.98;50.765;59.84;57.775);22039.44;44331.09;4374.78;8;1866.57;5
单身教师宿舍,(52.88;36.6;56.18;39.6);3960;6000;750;8,(56.86;36.22;59.86;39.22);3600;6000;750;8,(53.42;36.58;56.42;39.58);3600;6000;750;8,(53.42;36.58;56.42;39.58);3600;6000;750;8,(53.42;36.58;56.42;39.58);3600;6000;750;8
食堂,(25.81;54.265;32.17;57.775);8929.44;6257.26;3128.63;2,(25.815;54.2;32.045;57.78);8921.36;6243.29;3121.64;2,(30.4;50.765;33.74;57.455);8937.84;6261.04;3130.52;2,(30.4;50.765;33.74;57.455);8937.84;6261.04;3130.52;2,(30.4;50.765;33.74;57.455);8937.84;6261.04;3130.52;2
食堂,(44.725;51.12;50.935;57.78);16543.44;11592.74;5796.37;2,(44.55;51.24;50.89;57.78);16585.44;11606.71;5803.36;2,(45.48;50.765;51.38;57.775);16543.6;11588.96;5794.48;2,(45.48;50.765;51.38;57.775);16543.6;11588.96;5794.48;2,(45.48;50.765;51.38;57.775);16543.6;11588.96;5794.48;2
办公及服务,(44.64;44.57;47.64;48.63);4872;9750;1950;5,(43.29;45.71;47.35;48.71);4872;9750;1950;5,(40.18;44.64;43.18;48.7);4872;9750;1950;5,(40.18;44.64;43.18;48.7);4872;9750;1950;5,(40.18;44.64;43.18;48.7);4872;9750;1950;5
后勤,(43.11;67.705;53.77;73.035);22727.12;15900;7950;2,(42.31;67.705;52.97;73.035);22727.12;15900;7950;2,(44.26;67.705;54.92;73.035);22727.12;15900;7950;2,(44.8;67.705;55.46;73.035);22727.12;15900;7950;2,(42.31;67.705;52.97;73.035);22727.12;15900;7950;2
会堂,(33.105;36.6;37.395;39.6);5148;3600;1800;2,(39.59;36.785;42.59;41.075);5148;3600;1800;2,(37.8;36.705;40.8;40.995);5148;3600;1800;2,(37.8;36.705;40.8;40.995);5148;3600;1800;2,(37.8;36.705;40.8;40.995);5148;3600;1800;2
留学生及外教生活用房,(24.41;32.62;30.41;35.62);7200;9425;1885;5,(24.42;32.52;29.66;35.52);6288;9425;1885;5,(24.41;33.02;29.65;36.02);6288;9425;1885;5,(24.41;33.02;29.65;36.02);6288;9425;1885;5,(24.41;33.02;29.65;36.02);6288;9425;1885;5
培训,(56.84;20.485;59.84;23.815);3996;6000;1200;5,(46.9;20.485;49.9;23.815);3996;6000;1200;5,(53.96;20.485;56.98;23.815);4022.64;6000;1200;5,(53.96;20.485;56.98;23.815);4022.64;6000;1200;5,(53.96;20.485;56.98;23.815);4022.64;6000;1200;5
学术交流中心,(43.24;19.585;47.18;23.815);6666.48;30000;2000;15,(42.36;19.585;46.3;23.815);6666.48;30000;2000;15,(42.36;19.585;46.3;23.815);6666.48;30000;2000;15,(42.36;19.585;46.3;23.815);6666.48;30000;2000;15,(42.36;19.585;46.3;23.815);6666.48;30000;2000;15
重点实验室,(34.525;78.28;42.555;83.48);16702.4;33387.23;6677.45;5,(34.885;78.28;42.575;83.8);16979.52;33964.35;6792.87;5,(34.66;78.28;41.96;84);16702.4;33415.79;6683.16;5,(34.66;78.28;41.96;84);16702.4;33415.79;6683.16;5,(34.66;78.28;41.96;84);16702.4;33415.79;6683.16;5
重点实验室,(52.48;78.22;59.84;87.84);28321.28;56612.77;11322.55;5,(52.57;78.22;59.85;87.84);28013.44;56035.65;11207.13;5,(52.485;78.22;59.835;87.84);28282.8;56584.21;11316.84;5,(52.485;78.22;59.835;87.84);28282.8;56584.21;11316.84;5,(52.485;78.22;59.835;87.84);28282.8;56584.21;11316.84;5
对外继续教育,(31.105;19.585;37.015;23.815);9999.72;20000;4000;5,(31.115;19.585;37.025;23.815);9999.72;20000;4000;5,(35.305;19.585;41.215;23.815);9999.72;20000;4000;5,(35.305;19.585;41.215;23.815);9999.72;20000;4000;5,(35.305;19.585;41.215;23.815);9999.72;20000;4000;5
创研中心,(47.78;19.585;56.24;23.815);14314.32;34886.6;4360.82;8,(50.5;19.585;58.96;23.815);14314.32;34886.6;4360.82;8,(46.905;19.585;53.355;23.815);10913.4;26597.94;3324.74;8,(46.905;19.585;53.355;23.815);10913.4;26597.94;3324.74;8,(46.905;19.585;53.355;23.815);10913.4;26597.94;3324.74;8
