Districts ,0,1,2,3,4
公共教学,(37.32;27.105;42.1;36.675);18297.84;27750;5550;5,(37.32;28.105;42.1;37.675);18297.84;27750;5550;5,(37.32;27.585;42.1;37.155);18297.84;27750;5550;5,(37.32;27.585;42.1;37.155);18297.84;27750;5550;5,(37.32;26.755;41.76;35.505);15540;27750;5550;5
专业教学实训,(42.31;65.99001;53.35;73.03);31088.64;51603.96;9487.65;5;833.14;5,(42.31;66.115;53.09;73.025);29795.92;45551.5;8374.87;5;735.43;5,(42.31;65.925;53.39;73.035);31511.52;48474.89;8912.35;5;782.63;5,(42.31;65.925;53.39;73.035);31511.52;48474.89;8912.35;5;782.63;5,(42.315;65.63;52.805;73.03);31050.4;47090.12;8657.75;5;760.27;5
专业教学实训,(51.845;26.75;59.835;35.47);27869.12;46259.89;8505.11;5;746.86;5,(51.635;26.745;59.845;37.535);35434.36;54171.45;9959.69;5;874.6;5,(51.555;26.75;59.845;36.77);33226.32;51112.8;9397.35;5;825.21;5,(51.555;26.75;59.845;36.77);33226.32;51112.8;9397.35;5;825.21;5,(51.745;26.75;59.835;37.51);34819.36;52806.01;9708.65;5;852.55;5
专业教学实训,(32.505;26.75;36.715;35.17);14179.28;23536.15;4327.24;5;379.99;5,(32.505;26.75;36.715;35.17);14179.28;21677.05;3985.43;5;349.98;5,(32.505;26.75;36.715;35.17);14179.28;21812.31;4010.3;5;352.16;5,(32.505;26.75;36.715;35.17);14179.28;21812.31;4010.3;5;352.16;5,(32.505;26.75;36.715;35.17);14179.28;21503.88;3953.6;5;347.18;5
院系办公,(24.415;50.04;28.285;57.78);11981.52;18150;3630;5,(24.41;50.065;28.27;57.775);11904.24;18150;3630;5,(24.405;50.04;28.275;57.78);11981.52;18150;3630;5,(24.405;50.04;28.275;57.78);11981.52;18150;3630;5,(24.405;50.04;28.275;57.78);11981.52;18150;3630;5
图书馆,(46.89;26.755;51.25;35.465);15190.24;23000;3900;5;700;5,(46.885;28.425;51.035;36.715);13761.4;23000;3900;5;700;5,(46.89;27.845;50.95;35.975);13203.12;23000;3900;5;700;5,(46.89;26.905;50.95;35.035);13203.12;23000;3900;5;700;5,(46.79;26.755;51.15;35.465);15190.24;23000;3900;5;700;5
室内体育用房,(24.49;42.28;31.91;49.04);20063.68;10650;5325;2,(24.41;43.725;31.91;49.455);17190;10650;5325;2,(24.405;44.08;31.535;49.42);15229.68;10650;5325;2,(24.405;44.08;31.535;49.42);15229.68;10650;5325;2,(24.41;42.5;30.37;48.88);15209.92;10650;5325;2
活动及会堂,(42.705;29.53;46.295;36.71);10310.48;7200;3600;2,(42.705;29.005;46.295;36.175);10296.12;7200;3600;2,(42.705;28.985;46.295;36.155);10296.12;7200;3600;2,(42.705;29.535;46.295;36.705);10296.12;7200;3600;2,(42.355;29.29;46.185;36.95);11735.12;7200;3600;2
学生宿舍,(28.875;49.685;44.385;57.775);50190.36;89966.16;8878.24;8;3788.05;5,(28.87;50.06;44.25;57.78);47493.44;95479.51;9422.32;8;4020.19;5,(28.88;50.02;44.4;57.78);48174.08;86201.96;8506.77;8;3629.56;5,(28.88;50.02;44.4;57.78);48174.08;86201.96;8506.77;8;3629.56;5,(28.88;49.475;44.22;57.725);50622;101577.43;10024.09;8;4276.94;5
学生宿舍,(51.845;48.075;59.835;57.785);31033.16;55626.9;5489.5;8;2342.19;5,(51.635;51;59.845;57.78);22265.52;44762;4417.3;8;1884.72;5,(51.55;47.635;59.79;57.785);33454.4;59862.78;5907.51;8;2520.54;5,(51.55;47.635;59.79;57.785);33454.4;59862.78;5907.51;8;2520.54;5,(51.745;50.965;59.835;57.775);22037.16;44219.47;4363.76;8;1861.87;5
