Districts ,0,1,2,3,4
公共教学,(32.905;35.955;39.675;42.725);18333.16;27750;5550;5,(32.905;35.955;39.675;42.725);18333.16;27750;5550;5,(32.905;35.955;39.675;42.725);18333.16;27750;5550;5,(32.905;35.955;39.675;42.725);18333.16;27750;5550;5,(32.905;35.955;39.675;42.725);18333.16;27750;5550;5
专业教学实训,(48.265;26.745;52.595;34.935);14185.08;26767.2;4921.28;5;432.16;5,(48.265;26.745;52.595;34.935);14185.08;26767.2;4921.28;5;432.16;5,(48.265;26.745;52.595;34.935);14185.08;26767.2;4921.28;5;432.16;5,(48.265;26.745;52.595;34.935);14185.08;26767.2;4921.28;5;432.16;5,(48.265;26.745;52.595;34.935);14185.08;26767.2;4921.28;5;432.16;5
专业教学实训,(53.195;26.755;59.845;33.465);17848.6;33680.25;6192.28;5;543.77;5,(53.195;26.755;59.845;33.465);17848.6;33680.25;6192.28;5;543.77;5,(53.195;26.755;59.845;33.465);17848.6;33680.25;6192.28;5;543.77;5,(53.195;26.755;59.845;33.465);17848.6;33680.25;6192.28;5;543.77;5,(53.195;26.755;59.845;33.465);17848.6;33680.25;6192.28;5;543.77;5
专业教学实训,(24.41;26.745;34.27;34.935);32301.36;60952.55;11206.43;5;984.08;5,(24.41;26.745;34.27;34.935);32301.36;60952.55;11206.43;5;984.08;5,(24.41;26.745;34.27;34.935);32301.36;60952.55;11206.43;5;984.08;5,(24.41;26.745;34.27;34.935);32301.36;60952.55;11206.43;5;984.08;5,(24.41;26.745;34.27;34.935);32301.36;60952.55;11206.43;5;984.08;5
院系办公,(34.875;26.75;38.745;34.49);11981.52;18150;3630;5,(34.875;26.75;38.745;34.49);11981.52;18150;3630;5,(34.875;26.75;38.745;34.49);11981.52;18150;3630;5,(34.875;26.75;38.745;34.49);11981.52;18150;3630;5,(34.875;26.75;38.745;34.49);11981.52;18150;3630;5
图书馆,(40.28;35.96;45.68;42.98);15163.2;23000;3900;5;700;5,(40.28;35.96;45.68;42.98);15163.2;23000;3900;5;700;5,(40.28;35.96;45.68;42.98);15163.2;23000;3900;5;700;5,(40.28;35.96;45.68;42.98);15163.2;23000;3900;5;700;5,(40.28;35.96;45.68;42.98);15163.2;23000;3900;5;700;5
室内体育用房,(24.41;38.105;31.91;44.795);20070;10650;5325;2,(24.41;38.105;31.91;44.795);20070;10650;5325;2,(24.41;38.105;31.91;44.795);20070;10650;5325;2,(24.41;38.105;31.91;44.795);20070;10650;5325;2,(24.41;38.105;31.91;44.795);20070;10650;5325;2
活动及会堂,(43.16;44.82;51.4;48.94);13579.52;7200;3600;2,(43.16;44.82;51.4;48.94);13579.52;7200;3600;2,(43.16;44.82;51.4;48.94);13579.52;7200;3600;2,(43.16;44.82;51.4;48.94);13579.52;7200;3600;2,(43.16;44.82;51.4;48.94);13579.52;7200;3600;2
学生宿舍,(32.505;49.94;48.195;57.78);49203.84;98936.14;9763.44;8;4165.73;5,(32.505;49.94;48.195;57.78);49203.84;98936.14;9763.44;8;4165.73;5,(32.505;49.94;48.195;57.78);49203.84;98936.14;9763.44;8;4165.73;5,(32.505;49.94;48.195;57.78);49203.84;98936.14;9763.44;8;4165.73;5,(32.505;49.94;48.195;57.78);49203.84;98936.14;9763.44;8;4165.73;5
学生宿舍,(42.31;59.78;52.59;65.14);22040.32;44317.36;4373.42;8;1865.99;5,(42.31;59.78;52.59;65.14);22040.32;44317.36;4373.42;8;1865.99;5,(42.31;59.78;52.59;65.14);22040.32;44317.36;4373.42;8;1865.99;5,(42.31;59.78;52.59;65.14);22040.32;44317.36;4373.42;8;1865.99;5,(42.31;59.78;52.59;65.14);22040.32;44317.36;4373.42;8;1865.99;5
学生宿舍,(53.195;49.04;59.845;57.78);23248.4;46746.49;4613.14;8;1968.27;5,(53.195;49.04;59.845;57.78);23248.4;46746.49;4613.14;8;1968.27;5,(53.195;49.04;59.845;57.78);23248.4;46746.49;4613.14;8;1968.27;5,(53.195;49.04;59.845;57.78);23248.4;46746.49;4613.14;8;1968.27;5,(53.195;49.04;59.845;57.78);23248.4;46746.49;4613.14;8;1968.27;5
单身教师宿舍,(53.19;45.44;56.49;48.44);3960;6000;750;8,(53.71;45.44;57.01;48.44);3960;6000;750;8,(53.19;45.44;56.49;48.44);3960;6000;750;8,(53.19;45.44;56.49;48.44);3960;6000;750;8,(53.19;45.44;56.49;48.44);3960;6000;750;8
食堂,(48.795;50.195;52.585;57.785);11506.44;7824.84;3912.42;2,(48.795;50.195;52.585;57.785);11506.44;7824.84;3912.42;2,(48.795;50.195;52.585;57.785);11506.44;7824.84;3912.42;2,(48.795;50.195;52.585;57.785);11506.44;7824.84;3912.42;2,(48.795;50.195;52.585;57.785);11506.44;7824.84;3912.42;2
食堂,(43.16;26.745;47.66;34.935);14742;10025.16;5012.58;2,(43.16;26.745;47.66;34.935);14742;10025.16;5012.58;2,(43.16;26.745;47.66;34.935);14742;10025.16;5012.58;2,(43.16;26.745;47.66;34.935);14742;10025.16;5012.58;2,(43.16;26.745;47.66;34.935);14742;10025.16;5012.58;2
办公及服务,(46.83;41.22;52.19;44.22);6432;9750;1950;5,(46.83;41.22;52.19;44.22);6432;9750;1950;5,(46.83;41.22;52.19;44.22);6432;9750;1950;5,(46.83;41.22;52.19;44.22);6432;9750;1950;5,(46.83;41.22;52.19;44.22);6432;9750;1950;5
后勤,(42.31;65.745;52.59;73.035);29976.48;15900;7950;2,(42.31;65.745;52.59;73.035);29976.48;15900;7950;2,(42.31;65.745;52.59;73.035);29976.48;15900;7950;2,(42.31;65.745;52.59;73.035);29976.48;15900;7950;2,(42.31;65.745;52.59;73.035);29976.48;15900;7950;2
会堂,(32.91;43.575;36.27;48.625);6787.2;3600;1800;2,(32.91;43.575;36.27;48.625);6787.2;3600;1800;2,(32.91;43.575;36.27;48.625);6787.2;3600;1800;2,(32.91;43.575;36.27;48.625);6787.2;3600;1800;2,(32.91;43.575;36.27;48.625);6787.2;3600;1800;2
留学生及外教生活用房,(39.34;27.02;42.56;33.46);8294.72;9425;1885;5,(39.34;26.75;42.56;33.19);8294.72;9425;1885;5,(39.34;26.75;42.56;33.19);8294.72;9425;1885;5,(39.34;27.02;42.56;33.46);8294.72;9425;1885;5,(39.34;27.02;42.56;33.46);8294.72;9425;1885;5
培训,(38.22;19.585;41.22;23.815);5076;6000;1200;5,(38.22;19.585;41.22;23.815);5076;6000;1200;5,(38.22;19.585;41.22;23.815);5076;6000;1200;5,(38.22;19.585;41.22;23.815);5076;6000;1200;5,(38.22;19.585;41.22;23.815);5076;6000;1200;5
学术交流中心,(42.365;20.04;48.995;23.36);8804.64;30000;2000;15,(42.365;20.5;48.995;23.82);8804.64;30000;2000;15,(42.365;19.59;48.995;22.91);8804.64;30000;2000;15,(42.365;20.04;48.995;23.36);8804.64;30000;2000;15,(42.365;19.59;48.995;22.91);8804.64;30000;2000;15
重点实验室,(31.965;78.27499;39.115;88.265);28571.4;54617.9;10923.58;5,(31.965;78.27499;39.115;88.265);28571.4;54617.9;10923.58;5,(31.965;78.27499;39.115;88.265);28571.4;54617.9;10923.58;5,(31.965;78.27499;39.115;88.265);28571.4;54617.9;10923.58;5,(31.965;78.27499;39.115;88.265);28571.4;54617.9;10923.58;5
重点实验室,(55.035;78.22;59.845;87.84);18508.88;35382.1;7076.42;5,(55.035;78.22;59.845;87.84);18508.88;35382.1;7076.42;5,(55.035;78.22;59.845;87.84);18508.88;35382.1;7076.42;5,(55.035;78.22;59.845;87.84);18508.88;35382.1;7076.42;5,(55.035;78.22;59.845;87.84);18508.88;35382.1;7076.42;5
对外继续教育,(31.1;19.585;37.62;23.815);11031.84;20000;4000;5,(31.1;19.585;37.62;23.815);11031.84;20000;4000;5,(31.1;19.585;37.62;23.815);11031.84;20000;4000;5,(31.1;19.585;37.62;23.815);11031.84;20000;4000;5,(31.1;19.585;37.62;23.815);11031.84;20000;4000;5
创研中心,(51.38;19.585;59.84;23.815);14314.32;34886.6;4360.82;8,(51.38;19.585;59.84;23.815);14314.32;34886.6;4360.82;8,(51.38;19.585;59.84;23.815);14314.32;34886.6;4360.82;8,(51.38;19.585;59.84;23.815);14314.32;34886.6;4360.82;8,(51.38;19.585;59.84;23.815);14314.32;34886.6;4360.82;8
