Districts ,0,1,2,3,4
创研中心,(24.415;19.585;30.505;23.815);10304.28;25113.4;3139.18;8,(24.415;19.585;30.505;23.815);10304.28;25113.4;3139.18;8,(24.415;19.585;30.505;23.815);10304.28;25113.4;3139.18;8,(24.415;19.585;30.505;23.815);10304.28;25113.4;3139.18;8,(24.415;19.585;30.505;23.815);10304.28;25113.4;3139.18;8
科研区,(25.815;78.28;31.365;85.7);16472.4;52749.02;6593.63;8,(25.815;78.28;31.365;85.7);16472.4;52749.02;6593.63;8,(25.815;78.28;31.365;85.7);16472.4;52749.02;6593.63;8,(25.815;78.28;31.365;85.7);16472.4;52749.02;6593.63;8,(25.815;78.28;31.365;85.7);16472.4;52749.02;6593.63;8
科研区,(39.72;78.28;44.58;87.84);18584.64;59512.98;7439.12;8,(39.72;78.28;44.58;87.84);18584.64;59512.98;7439.12;8,(39.72;78.28;44.58;87.84);18584.64;59512.98;7439.12;8,(39.72;78.28;44.58;87.84);18584.64;59512.98;7439.12;8,(39.72;78.28;44.58;87.84);18584.64;59512.98;7439.12;8
科研区,(45.175;78.225;54.425;87.835);35557;113862.99;14232.87;8,(45.175;78.225;54.425;87.835);35557;113862.99;14232.87;8,(45.175;78.225;54.425;87.835);35557;113862.99;14232.87;8,(45.175;78.225;54.425;87.835);35557;113862.99;14232.87;8,(45.175;78.225;54.425;87.835);35557;113862.99;14232.87;8
户外体育区,(24.41;45.4;31.91;57.78);37140;0,(24.41;45.4;31.91;57.78);37140;0,(24.41;45.4;31.91;57.78);37140;0,(24.41;45.4;31.91;57.78);37140;0,(24.41;45.4;31.91;57.78);37140;0
户外体育区,(53.195;34.06;59.845;44.44);27610.8;0,(53.195;34.06;59.845;44.44);27610.8;0,(53.195;34.06;59.845;44.44);27610.8;0,(53.195;34.06;59.845;44.44);27610.8;0,(53.195;34.06;59.845;44.44);27610.8;0
户外体育区,(53.195;59.775;59.845;73.025);35245;0,(53.195;59.775;59.845;73.025);35245;0,(53.195;59.775;59.845;73.025);35245;0,(53.195;59.775;59.845;73.025);35245;0,(53.195;59.775;59.845;73.025);35245;0
Rectangle
Rectangle,(32.41;35.44;52.69;49.44),(32.41;35.44;52.69;49.44),(32.41;35.44;52.69;49.44),(32.41;35.44;52.69;49.44),(32.41;35.44;52.69;49.44)
Roads
0.5,(52;44.94459;60;44.94459),(52;44.94459;60;44.94459),(52;44.94459;60;44.94459),(52;44.94459;60;44.94459),(52;44.94459;60;44.94459)
0.5,(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36),(24.41;36;32;36)
Axis
