Districts ,0,1,2,3,4
公共教学,(37.47;26.745;42.25;36.315);18297.84;27750;5550;5,(37.475;26.75;42.265;36.31);18316.96;27750;5550;5,(37.475;26.75;43.885;33.89);18306.96;27750;5550;5,(37.465;26.745;42.255;36.315);18336.12;27750;5550;5,(37.5;26.865;42.28;36.435);18297.84;27750;5550;5
专业教学实训,(24.41;42.34;31.91;47.06);14160;27737.43;5099.67;5;447.82;5,(24.41;40.955;31.91;47.065);18330;33662.43;6189.01;5;543.48;5,(24.41;39.45;31.91;44.17);14160;28327.58;5208.17;5;457.35;5,(24.41;39.71;31.91;44.43);14160;28326.36;5207.94;5;457.33;5,(24.41;39.39;31.91;44.11);14160;28243.63;5192.73;5;455.99;5
专业教学实训,(50.845;26.75;59.835;34.39);27473.44;53816.57;9894.45;5;868.87;5,(50.035;26.75;59.845;34.07);28723.68;52750.08;9698.37;5;851.65;5,(50.865;26.75;59.835;35.77);32363.76;64744.85;11903.67;5;1045.3;5,(50.555;26.755;59.845;35.465);32366.36;64747.27;11904.11;5;1045.34;5,(50.805;26.745;59.835;35.755);32544.12;64912.73;11934.53;5;1048.01;5
专业教学实训,(24.41;47.695;29.45;57.785);20341.44;39846;7325.89;5;643.31;5,(24.41;47.66;29.29;57.42);19051.52;34987.48;6432.62;5;564.87;5,(24.41;44.77;31.91;49.49);14160;28327.58;5208.17;5;457.35;5,(24.41;45.03;31.91;49.75);14160;28326.36;5207.94;5;457.33;5,(24.41;44.71;31.91;49.43);14160;28243.63;5192.73;5;455.99;5
院系办公,(32.51;26.745;36.87;33.615);11981.28;18150;3630;5,(32.51;26.745;36.87;33.615);11981.28;18150;3630;5,(32.51;26.745;36.87;33.615);11981.28;18150;3630;5,(32.51;26.745;36.87;33.615);11981.28;18150;3630;5,(32.51;26.755;36.89;33.585);11966.16;18150;3630;5
图书馆,(44.235;33.145;50.245;39.455);15169.24;23000;3900;5;700;5,(43.03;38.515;49.43;44.445);15180.8;23000;3900;5;700;5,(45.91;36.705;50.27;45.415);15190.24;23000;3900;5;700;5,(43.99;38.505;49.95;44.875);15186.08;23000;3900;5;700;5,(42.875;38.705;49.105;44.795);15176.28;23000;3900;5;700;5
室内体育用房,(32.51;34.22;36.87;42.94);15207.68;10650;5325;2,(32.51;34.21;36.87;42.93);15207.68;10650;5325;2,(32.51;34.22;36.87;42.94);15207.68;10650;5325;2,(32.51;34.22;36.87;42.94);15207.68;10650;5325;2,(32.51;34.19;36.89;42.95);15347.52;10650;5325;2
活动及会堂,(37.475;36.92;41.825;44.72);13572;7200;3600;2,(37.47;36.91;41.69;44.95);13571.52;7200;3600;2,(37.475;34.49;44.025;39.67);13571.6;7200;3600;2,(37.475;36.925;41.745;44.875);13578.6;7200;3600;2,(37.495;37.03;41.645;45.21);13578.8;7200;3600;2
学生宿舍,(35.67;47.66;45.69;57.78);40560.96;81581.18;8050.77;8;3435;5,(35.345;47.66;45.815;57.78);42382.56;85192.88;8407.19;8;3587.07;5,(35.155;47.075;45.345;57.785);43653.96;87777.33;8662.24;8;3695.89;5,(35.165;47.885;45.315;57.775);40153.4;80741.58;7967.92;8;3399.65;5,(35.215;47.195;44.925;57.785);41131.56;82691.27;8160.32;8;3481.74;5
学生宿舍,(53.62;45.325;59.84;57.775);30975.6;62301.92;6148.22;8;2623.24;5,(53.72;45.545;59.84;57.755);29890.08;60081.83;5929.13;8;2529.76;5,(53.96;46.02;59.84;57.78);27659.52;55616.47;5488.47;8;2341.75;5,(53.66;45.475;59.84;57.785);30430.32;61190.14;6038.5;8;2576.43;5,(53.665;45.88;59.835;57.78);29369.2;59044.11;5826.72;8;2486.07;5
