Districts ,0,1,2,3,4
公共教学,(42.315;35.195;51.385;40.245);18321.4;27750;5550;5,(42.315;35.195;51.385;40.245);18321.4;27750;5550;5,(42.315;35.195;51.385;40.245);18321.4;27750;5550;5,(42.315;35.195;51.385;40.245);18321.4;27750;5550;5,(42.315;35.195;51.385;40.245);18321.4;27750;5550;5
专业教学实训,(50.16;26.745;59.84;34.195);28846.4;48818.86;8975.59;5;788.18;5,(50.16;26.745;59.84;34.195);28846.4;48818.86;8975.59;5;788.18;5,(50.16;26.745;59.84;34.195);28846.4;48818.86;8975.59;5;788.18;5,(50.16;26.745;59.84;34.195);28846.4;48818.86;8975.59;5;788.18;5,(50.16;26.745;59.84;34.195);28846.4;48818.86;8975.59;5;788.18;5
专业教学实训,(30.42;26.745;36.1;34.195);16926.4;28645.78;5266.67;5;462.49;5,(30.42;26.745;36.1;34.195);16926.4;28645.78;5266.67;5;462.49;5,(30.42;26.745;36.1;34.195);16926.4;28645.78;5266.67;5;462.49;5,(30.42;26.745;36.1;34.195);16926.4;28645.78;5266.67;5;462.49;5,(30.42;26.745;36.1;34.195);16926.4;28645.78;5266.67;5;462.49;5
专业教学实训,(52.38;34.8;59.84;43.5);25960.8;43935.36;8077.74;5;709.34;5,(52.38;34.8;59.84;43.5);25960.8;43935.36;8077.74;5;709.34;5,(52.38;34.8;59.84;43.5);25960.8;43935.36;8077.74;5;709.34;5,(52.38;34.8;59.84;43.5);25960.8;43935.36;8077.74;5;709.34;5,(52.38;34.8;59.84;43.5);25960.8;43935.36;8077.74;5;709.34;5
院系办公,(24.415;31.475;29.825;36.505);10884.92;18150;3630;5,(24.415;31.475;29.825;36.505);10884.92;18150;3630;5,(24.415;31.475;29.825;36.505);10884.92;18150;3630;5,(24.415;31.475;29.825;36.505);10884.92;18150;3630;5,(24.415;31.475;29.825;36.505);10884.92;18150;3630;5
图书馆,(42.315;40.85;46.665;49.33);14755.2;23000;3900;5;700;5,(42.315;40.85;46.665;49.33);14755.2;23000;3900;5;700;5,(42.315;40.85;46.665;49.33);14755.2;23000;3900;5;700;5,(42.315;40.85;46.665;49.33);14755.2;23000;3900;5;700;5,(42.315;40.85;46.665;49.33);14755.2;23000;3900;5;700;5
室内体育用房,(32.51;50.32;37.61;57.78);15218.4;10650;5325;2,(32.51;50.32;37.61;57.78);15218.4;10650;5325;2,(32.51;50.32;37.61;57.78);15218.4;10650;5325;2,(32.51;50.32;37.61;57.78);15218.4;10650;5325;2,(32.51;50.32;37.61;57.78);15218.4;10650;5325;2
活动及会堂,(47.26;41.08;51.38;49.32);13579.52;7200;3600;2,(47.26;41.08;51.38;49.32);13579.52;7200;3600;2,(47.26;40.85;51.38;49.09);13579.52;7200;3600;2,(47.26;41.08;51.38;49.32);13579.52;7200;3600;2,(47.26;40.85;51.38;49.09);13579.52;7200;3600;2
学生宿舍,(38.215;50.32;45.605;57.78);22051.76;44349.07;4376.55;8;1867.33;5,(38.215;50.32;45.605;57.78);22051.76;44349.07;4376.55;8;1867.33;5,(38.215;50.32;45.605;57.78);22051.76;44349.07;4376.55;8;1867.33;5,(38.215;50.32;45.605;57.78);22051.76;44349.07;4376.55;8;1867.33;5,(38.215;50.32;45.605;57.78);22051.76;44349.07;4376.55;8;1867.33;5
学生宿舍,(49.04;59.785;59.84;67.595);33739.2;67854.1;6696.13;8;2857.01;5,(49.04;59.785;59.84;67.595);33739.2;67854.1;6696.13;8;2857.01;5,(49.04;59.785;59.84;67.595);33739.2;67854.1;6696.13;8;2857.01;5,(49.04;59.785;59.84;67.595);33739.2;67854.1;6696.13;8;2857.01;5,(49.04;59.785;59.84;67.595);33739.2;67854.1;6696.13;8;2857.01;5
