Districts ,0,1,2,3,4
0创研中心1,(50.465;22.68;53.735;26.5);4996.56;9000,(50.465;22.68;53.735;26.5);4996.56;9000,(50.465;22.68;53.735;26.5);4996.56;9000,(50.465;22.68;53.735;26.5);4996.56;9000,(50.465;22.68;53.735;26.5);4996.56;9000
1创研中心2,(43.47;22.68;46.47;26.5);4584;12037.58,(43.47;22.68;46.47;26.5);4584;12037.58,(43.47;22.68;46.47;26.5);4584;12037.58,(43.47;22.68;46.47;26.5);4584;12037.58,(43.47;22.68;46.47;26.5);4584;12037.58
1创研中心2,(43.465;27.5;49.155;30.84);7601.84;19962.42,(43.465;27.5;49.155;30.84);7601.84;19962.42,(43.465;27.5;49.155;30.84);7601.84;19962.42,(43.465;27.5;49.155;30.84);7601.84;19962.42,(43.465;27.5;49.155;30.84);7601.84;19962.42
2创研中心3,(49.66;27;53.74;30.84);6266.88;10973.37,(49.66;27;53.74;30.84);6266.88;10973.37,(49.66;27;53.74;30.84);6266.88;10973.37,(49.66;27;53.74;30.84);6266.88;10973.37,(49.66;27;53.74;30.84);6266.88;10973.37
2创研中心3,(46.97;22.68;49.97;26.5);4584;8026.63,(46.97;22.68;49.97;26.5);4584;8026.63,(46.97;22.68;49.97;26.5);4584;8026.63,(46.97;22.68;49.97;26.5);4584;8026.63,(46.97;22.68;49.97;26.5);4584;8026.63
3实训中心组团,(30.325;29.505;39.175;33.935);15682.2;19090.36,(30.325;29.505;39.175;33.935);15682.2;19090.36,(30.325;29.505;39.175;33.935);15682.2;19090.36,(30.325;29.505;39.175;33.935);15682.2;19090.36,(30.325;29.505;39.175;33.935);15682.2;19090.36
3实训中心组团,(39.67;30.27;42.67;33.27);3600;4382.38,(39.67;30.27;42.67;33.27);3600;4382.38,(39.67;30.27;42.67;33.27);3600;4382.38,(39.67;30.27;42.67;33.27);3600;4382.38,(39.67;30.27;42.67;33.27);3600;4382.38
3实训中心组团,(7.01;21;17.85;27.12);26536.32;32303.37,(7.01;21;17.85;27.12);26536.32;32303.37,(7.01;21;17.85;27.12);26536.32;32303.37,(7.01;21;17.85;27.12);26536.32;32303.37,(7.01;21;17.85;27.12);26536.32;32303.37
3实训中心组团,(30.065;13.5;39.275;26.26);47007.84;57223.9,(30.065;13.5;39.275;26.26);47007.84;57223.9,(30.065;13.5;39.275;26.26);47007.84;57223.9,(30.065;13.5;39.275;26.26);47007.84;57223.9,(30.065;13.5;39.275;26.26);47007.84;57223.9
4应急装备产业组团,(7.110001;27.625;19.93;34.035);32870.48;40000,(7.110001;27.625;19.93;34.035);32870.48;40000,(7.110001;27.625;19.93;34.035);32870.48;40000,(7.110001;27.625;19.93;34.035);32870.48;40000,(7.110001;27.625;19.93;34.035);32870.48;40000
5无人机实训基地,(7.015;13.5;19.925;20.5);36148;44000,(7.015;13.5;19.925;20.5);36148;44000,(7.015;13.5;19.925;20.5);36148;44000,(7.015;13.5;19.925;20.5);36148;44000,(7.015;13.5;19.925;20.5);36148;44000
6特色街区,(20.48;13.5;27.52;20.5);19712;12000,(20.48;13.5;27.52;20.5);19712;12000,(20.48;13.5;27.52;20.5);19712;12000,(20.48;13.5;27.52;20.5);19712;12000,(20.48;13.5;27.52;20.5);19712;12000
7展示中心,(23.92;25.36;29.4;28.36);6576;4000,(23.92;25.36;29.4;28.36);6576;4000,(23.92;25.36;29.4;28.36);6576;4000,(23.92;25.36;29.4;28.36);6576;4000,(23.92;25.36;29.4;28.36);6576;4000
8产教创新融合中心,(23.92;28.86;29.82;33.5);10950.4;20000,(23.92;28.86;29.82;33.5);10950.4;20000,(23.92;28.86;29.82;33.5);10950.4;20000,(23.92;28.86;29.82;33.5);10950.4;20000,(23.92;28.86;29.82;33.5);10950.4;20000
9书吧,(20.42;25.58;23.42;29);4104;2500,(20.42;25.58;23.42;29);4104;2500,(20.42;25.58;23.42;29);4104;2500,(20.42;25.58;23.42;29);4104;2500,(20.42;25.58;23.42;29);4104;2500
10人才公寓,(27.845;2.42;35.135;12.5);29393.28;92000,(27.845;2.42;35.135;12.5);29393.28;92000,(27.845;2.42;35.135;12.5);29393.28;92000,(27.845;2.42;35.135;12.5);29393.28;92000,(27.845;2.42;35.135;12.5);29393.28;92000
11康养组团,(35.635;2.42;39.265;9.68);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000
12体育馆及其配套,(20.225;2.42;27.355;12.5);28748.16;30000,(20.225;2.42;27.355;12.5);28748.16;30000,(20.225;2.42;27.355;12.5);28748.16;30000,(20.225;2.42;27.355;12.5);28748.16;30000,(20.225;2.42;27.355;12.5);28748.16;30000
13食堂,(7.02;2.405;10.3;8.975);8619.84;12000,(7.02;2.405;10.3;8.975);8619.84;12000,(7.02;2.405;10.3;8.975);8619.84;12000,(7.02;2.405;10.3;8.975);8619.84;12000,(7.02;2.405;10.3;8.975);8619.84;12000
14户外体育区,(10.8;2.415;19.72;12.505);36001.12;0,(10.8;2.415;19.72;12.505);36001.12;0,(10.8;2.415;19.72;12.505);36001.12;0,(10.8;2.415;19.72;12.505);36001.12;0,(10.8;2.415;19.72;12.505);36001.12;0
