Districts ,0,1,2,3,4
0创研中心1,(13.81;13.495;16.81;17.785);5148;9000,(13.81;13.495;16.81;17.785);5148;9000,(13.81;13.495;16.81;17.785);5148;9000,(13.81;13.495;16.81;17.785);5148;9000,(13.81;13.495;16.81;17.785);5148;9000
1创研中心2,(23.77;14.79;26.77;17.79);3600;9449.28,(23.77;14.79;26.77;17.79);3600;9449.28,(23.77;14.79;26.77;17.79);3600;9449.28,(23.77;14.79;26.77;17.79);3600;9449.28,(23.77;14.79;26.77;17.79);3600;9449.28
1创研中心2,(6.775;27.155;13.225;30.485);8591.4;22550.72,(6.775;27.155;13.225;30.485);8591.4;22550.72,(6.775;27.155;13.225;30.485);8591.4;22550.72,(6.775;27.155;13.225;30.485);8591.4;22550.72,(6.775;27.155;13.225;30.485);8591.4;22550.72
2创研中心3,(17.31;15.03;20.31;21.03);7200;12596.69,(17.31;15.03;20.31;21.03);7200;12596.69,(17.31;15.03;20.31;21.03);7200;12596.69,(17.31;15.03;20.31;21.03);7200;12596.69,(17.31;15.03;20.31;21.03);7200;12596.69
2创研中心3,(6.78;30.985;9.78;34.035);3660;6403.31,(6.78;30.985;9.78;34.035);3660;6403.31,(6.78;30.985;9.78;34.035);3660;6403.31,(6.78;30.985;9.78;34.035);3660;6403.31,(6.78;30.985;9.78;34.035);3660;6403.31
3实训中心组团,(23.77;18.29;29.77;24.29);14400;17530.92,(23.77;18.29;29.77;24.29);14400;17530.92,(23.77;18.29;29.77;24.29);14400;17530.92,(23.77;18.29;29.77;24.29);14400;17530.92,(23.77;18.29;29.77;24.29);14400;17530.92
3实训中心组团,(13.73;28.03;23.21;34.03);22752;27698.86,(13.73;28.03;23.21;34.03);22752;27698.86,(13.73;28.03;23.21;34.03);22752;27698.86,(13.73;28.03;23.21;34.03);22752;27698.86,(13.73;28.03;23.21;34.03);22752;27698.86
3实训中心组团,(6.785;13.495;13.315;26.565);34138.84;41561.49,(6.785;13.495;13.315;26.565);34138.84;41561.49,(6.785;13.495;13.315;26.565);34138.84;41561.49,(6.785;13.495;13.315;26.565);34138.84;41561.49,(6.785;13.495;13.315;26.565);34138.84;41561.49
3实训中心组团,(14.295;21.53;23.265;27.53);21528;26208.73,(14.295;21.53;23.265;27.53);21528;26208.73,(14.295;21.53;23.265;27.53);21528;26208.73,(14.295;21.53;23.265;27.53);21528;26208.73,(14.295;21.53;23.265;27.53);21528;26208.73
4应急装备产业组团,(23.765;25.15;33.015;34.03);32856;40000,(23.765;25.15;33.015;34.03);32856;40000,(23.765;25.15;33.015;34.03);32856;40000,(23.765;25.15;33.015;34.03);32856;40000,(23.765;25.15;33.015;34.03);32856;40000
5无人机实训基地,(39.575;23.24;50.005;31.9);36129.52;44000,(39.575;23.24;50.005;31.9);36129.52;44000,(39.575;23.24;50.005;31.9);36129.52;44000,(39.575;23.24;50.005;31.9);36129.52;44000,(39.575;23.24;50.005;31.9);36129.52;44000
6特色街区,(33.515;24.785;39.065;33.655);19691.4;12000,(33.515;24.785;39.065;33.655);19691.4;12000,(33.515;24.785;39.065;33.655);19691.4;12000,(33.515;24.785;39.065;33.655);19691.4;12000,(33.515;24.785;39.065;33.655);19691.4;12000
7展示中心,(30.27;17.26;33.27;22.74);6576;4000,(30.27;17.26;33.27;22.74);6576;4000,(30.27;17.26;33.27;22.74);6576;4000,(30.27;17.26;33.27;22.74);6576;4000,(30.27;17.26;33.27;22.74);6576;4000
8产教创新融合中心,(33.77;15.34;37.47;22.74);10952;20000,(33.77;15.34;37.47;22.74);10952;20000,(33.77;15.34;37.47;22.74);10952;20000,(33.77;15.34;37.47;22.74);10952;20000,(33.77;15.34;37.47;22.74);10952;20000
9书吧,(50.5;27.82;53.5;31.24);4104;2500,(50.5;27.82;53.5;31.24);4104;2500,(50.5;27.82;53.5;31.24);4104;2500,(50.5;27.82;53.5;31.24);4104;2500,(50.5;27.82;53.5;31.24);4104;2500
10人才公寓,(6.775;2.41;14.065;12.49);29393.28;92000,(6.775;2.41;14.065;12.49);29393.28;92000,(6.775;2.41;14.065;12.49);29393.28;92000,(6.775;2.41;14.065;12.49);29393.28;92000,(6.775;2.41;14.065;12.49);29393.28;92000
11康养组团,(14.565;2.415;21.215;6.385);10560.2;33000,(14.565;2.415;21.215;6.385);10560.2;33000,(14.565;2.415;21.215;6.385);10560.2;33000,(14.565;2.415;21.215;6.385);10560.2;33000,(14.565;2.415;21.215;6.385);10560.2;33000
12体育馆及其配套,(32.135;2.425;39.265;12.495);28719.64;30000,(32.135;2.425;39.265;12.495);28719.64;30000,(32.135;2.425;39.265;12.495);28719.64;30000,(32.135;2.425;39.265;12.495);28719.64;30000,(32.13;2.425;39.27;12.495);28759.92;30000
13食堂,(17.365;6.9;21.215;12.5);8624;12000,(17.365;6.9;21.215;12.5);8624;12000,(17.365;6.9;21.215;12.5);8624;12000,(17.365;6.9;21.215;12.5);8624;12000,(17.365;6.9;21.215;12.5);8624;12000
14户外体育区,(21.72;2.42;31.64;12.5);39997.44;0,(21.72;2.42;31.64;12.5);39997.44;0,(21.72;2.42;31.64;12.5);39997.44;0,(21.72;2.42;31.64;12.5);39997.44;0,(21.71;2.42;31.63;12.5);39997.44;0
