Districts ,0,1,2,3,4
0创研中心1,(49.54;23.26;53.5;26.5);5132.16;9000,(49.54;23.26;53.5;26.5);5132.16;9000,(49.54;23.26;53.5;26.5);5132.16;9000,(49.54;23.26;53.5;26.5);5132.16;9000,(49.54;23.26;53.5;26.5);5132.16;9000
1创研中心2,(46.73;27.5;49.73;31.24);4488;11785.1,(46.73;27.5;49.73;31.24);4488;11785.1,(46.73;27.5;49.73;31.24);4488;11785.1,(46.75;27.5;49.75;31.24);4488;11785.1,(46.75;27.5;49.75;31.24);4488;11785.1
1创研中心2,(43.1;23.26;49.04;26.5);7698.24;20214.9,(43.1;23.26;49.04;26.5);7698.24;20214.9,(43.1;23.26;49.04;26.5);7698.24;20214.9,(43.1;23.26;49.04;26.5);7698.24;20214.9,(43.1;23.26;49.04;26.5);7698.24;20214.9
2创研中心3,(50.225;27;53.495;31.24);5545.92;9707.81,(50.225;27;53.495;31.24);5545.92;9707.81,(50.225;27;53.495;31.24);5545.92;9707.81,(50.245;27;53.495;31.24);5512;9648.44,(50.245;27;53.495;31.24);5512;9648.44
2创研中心3,(43.095;27;46.225;31.24);5308.48;9292.19,(43.095;27;46.225;31.24);5308.48;9292.19,(43.095;27;46.225;31.24);5308.48;9292.19,(43.095;27;46.245;31.24);5342.4;9351.56,(43.095;27;46.245;31.24);5342.4;9351.56
3实训中心组团,(6.78;13.43;12.78;19.43);14400;21455.7,(6.78;13.43;12.78;19.43);14400;21455.7,(6.78;13.43;12.78;19.43);14400;21455.7,(6.78;13.43;12.78;19.43);14400;21455.7,(6.78;13.48;12.78;19.48);14400;21489.7
3实训中心组团,(13.28;13.43;19.28;25.43);28800;42911.39,(13.28;13.43;19.28;25.43);28800;42911.39,(13.28;13.43;19.28;25.43);28800;42911.39,(13.28;13.43;19.28;25.43);28800;42911.39,(13.28;13.48;19.28;25.48);28800;42979.4
3实训中心组团,(6.78;19.93;12.78;25.93);14400;21455.7,(6.78;19.93;12.78;25.93);14400;21455.7,(6.78;19.93;12.78;25.93);14400;21455.7,(6.78;19.93;12.78;25.93);14400;21455.7,(6.78;19.98;12.78;25.98);14400;21489.7
3实训中心组团,(6.78;26.43;12.78;34.03);18240;27177.21,(6.78;26.43;12.78;34.03);18240;27177.21,(6.78;26.43;12.78;34.03);18240;27177.21,(6.78;26.43;12.78;34.03);18240;27177.21,(6.78;26.485;12.78;34.035);18120;27041.21
4应急装备产业组团,(29.28;13.425;38.38;22.455);32869.2;40000,(29.28;13.425;38.38;22.455);32869.2;40000,(29.28;13.425;38.38;22.455);32869.2;40000,(29.28;13.425;38.42;22.415);32867.44;40000,(29.275;13.48;38.405;22.48);32868;40000
5无人机实训基地,(30.17;22.96;38.89;33.32);36135.68;44000,(30.17;22.96;38.89;33.32);36135.68;44000,(30.17;22.96;38.89;33.32);36135.68;44000,(30.13;22.92;38.85;33.28);36135.68;44000,(30.14;22.98;38.86;33.34);36135.68;44000
6特色街区,(20.34;13.635;27.66;20.365);19705.44;12000,(20.34;13.635;27.66;20.365);19705.44;12000,(20.34;13.635;27.66;20.365);19705.44;12000,(20.34;13.645;27.66;20.375);19705.44;12000,(20.34;13.635;27.66;20.365);19705.44;12000
7展示中心,(20.71;28.16;23.71;33.64);6576;4000,(20.71;28.16;23.71;33.64);6576;4000,(20.71;28.16;23.71;33.64);6576;4000,(21.49;28.16;24.49;33.64);6576;4000,(20.73;27.35;23.73;32.83);6576;4000
8产教创新融合中心,(24.205;26.755;28.775;32.745);10949.72;20000,(24.205;26.755;28.775;32.745);10949.72;20000,(24.205;26.755;28.775;32.745);10949.72;20000,(24.985;26.42;28.775;33.64);10945.52;20000,(24.235;26.81;28.785;32.83);10956.4;20000
9书吧,(25.36;22.96;28.78;25.96);4104;2500,(25.36;22.96;28.78;25.96);4104;2500,(25.36;22.96;28.78;25.96);4104;2500,(23.97;22.92;27.39;25.92);4104;2500,(25.36;22.98;28.78;25.98);4104;2500
10人才公寓,(10.565;2.41;17.895;12.43);29378.64;92000,(10.565;2.41;17.895;12.43);29378.64;92000,(10.565;2.41;17.895;12.43);29378.64;92000,(10.565;2.41;17.895;12.43);29378.64;92000,(10.56;2.415;17.86;12.485);29404.4;92000
11康养组团,(35.565;5.17;39.195;12.43);10541.52;33000,(35.565;5.17;39.195;12.43);10541.52;33000,(35.565;5.17;39.195;12.43);10541.52;33000,(35.565;2.42;39.195;9.68);10541.52;33000,(35.455;5.22;39.085;12.48);10541.52;33000
12体育馆及其配套,(27.89;2.425;35.07;12.435);28748.72;30000,(27.89;2.425;35.07;12.435);28748.72;30000,(27.89;2.425;35.07;12.435);28748.72;30000,(27.89;2.425;35.07;12.435);28748.72;30000,(27.81;2.42;34.95;12.48);28731.36;30000
13食堂,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000
14户外体育区,(18.395;2.415;27.385;12.425);35995.96;0,(18.395;2.415;27.385;12.425);35995.96;0,(18.395;2.415;27.385;12.425);35995.96;0,(18.395;2.415;27.385;12.425);35995.96;0,(18.365;2.42;27.315;12.48);36014.8;0
