Districts ,0,1,2,3,4
0创研中心1,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000
1创研中心2,(13.78;13.505;17.06;20.055);8593.6;22552.42,(13.78;13.505;17.06;20.055);8593.6;22552.42,(13.78;13.505;17.06;20.055);8593.6;22552.42,(13.78;13.505;17.06;20.055);8593.6;22552.42,(13.78;13.505;17.06;20.055);8593.6;22552.42
1创研中心2,(40.49;22.81;43.49;25.81);3600;9447.58,(40.49;22.81;43.49;25.81);3600;9447.58,(40.49;22.81;43.49;25.81);3600;9447.58,(40.49;22.81;43.49;25.81);3600;9447.58,(40.49;22.68;43.49;25.68);3600;9447.58
2创研中心3,(36.98;30.78;39.98;33.78);3600;6305.26,(36.98;30.78;39.98;33.78);3600;6305.26,(36.98;30.78;39.98;33.78);3600;6305.26,(36.98;30.78;39.98;33.78);3600;6305.26,(36.98;30.78;39.98;33.78);3600;6305.26
2创研中心3,(36.985;22.68;39.995;28.7);7248.08;12694.74,(36.985;22.68;39.995;28.7);7248.08;12694.74,(36.985;22.68;39.995;28.7);7248.08;12694.74,(36.985;22.68;39.995;28.7);7248.08;12694.74,(36.985;22.68;39.995;28.7);7248.08;12694.74
3实训中心组团,(7.28;13.495;13.28;23.965);25128;30587.12,(7.28;13.495;13.28;23.965);25128;30587.12,(7.28;13.495;13.28;23.965);25128;30587.12,(7.28;13.495;13.28;23.965);25128;30587.12,(7.28;13.495;13.28;23.965);25128;30587.12
3实训中心组团,(29.47;13.5;39.27;19.5);23520;28629.78,(29.47;13.5;39.27;19.5);23520;28629.78,(29.47;13.5;39.27;19.5);23520;28629.78,(29.47;13.5;39.27;19.5);23520;28629.78,(29.47;13.5;39.27;19.5);23520;28629.78
3实训中心组团,(24.48;20;36.48;26);28800;35056.88,(24.48;20;36.48;26);28800;35056.88,(24.48;20;36.48;26);28800;35056.88,(24.48;20;36.48;26);28800;35056.88,(24.48;20;36.48;26);28800;35056.88
3实训中心组团,(13.78;20.555;19.78;26.965);15384;18726.21,(13.78;20.555;19.78;26.965);15384;18726.21,(13.78;20.555;19.78;26.965);15384;18726.21,(13.78;20.555;19.78;26.965);15384;18726.21,(13.78;20.555;19.78;26.965);15384;18726.21
4应急装备产业组团,(7.28;27.455;19.78;34.025);32850;40000,(7.28;27.455;19.78;34.025);32850;40000,(7.28;27.455;19.78;34.025);32850;40000,(7.28;27.455;19.78;34.025);32850;40000,(7.28;27.455;19.78;34.025);32850;40000
5无人机实训基地,(24.48;26.495;36.48;34.025);36144;44000,(24.48;26.495;36.48;34.025);36144;44000,(24.48;26.495;36.48;34.025);36144;44000,(24.48;26.495;36.48;34.025);36144;44000,(24.48;26.495;36.48;34.025);36144;44000
6特色街区,(19.035;14.52;28.965;19.48);19701.12;12000,(19.035;14.52;28.965;19.48);19701.12;12000,(19.035;14.52;28.965;19.48);19701.12;12000,(19.035;14.52;28.965;19.48);19701.12;12000,(19.035;14.52;28.965;19.48);19701.12;12000
7展示中心,(20.28;28.45;23.28;33.93);6576;4000,(20.28;28.45;23.28;33.93);6576;4000,(20.28;28.45;23.28;33.93);6576;4000,(20.28;28.45;23.28;33.93);6576;4000,(20.28;28.45;23.28;33.93);6576;4000
8产教创新融合中心,(20.28;20.55;23.98;27.95);10952;20000,(20.28;20.55;23.98;27.95);10952;20000,(20.28;20.55;23.98;27.95);10952;20000,(20.28;20.55;23.98;27.95);10952;20000,(20.28;20.55;23.98;27.95);10952;20000
9书吧,(40.48;30.04;43.9;33.04);4104;2500,(40.48;30.04;43.9;33.04);4104;2500,(40.48;30.04;43.9;33.04);4104;2500,(40.48;30.04;43.9;33.04);4104;2500,(40.48;30.04;43.9;33.04);4104;2500
10人才公寓,(31.975;2.42;39.265;12.5);29393.28;92000,(31.975;2.42;39.265;12.5);29393.28;92000,(31.975;2.42;39.265;12.5);29393.28;92000,(31.975;2.42;39.265;12.5);29393.28;92000,(31.975;2.42;39.265;12.5);29393.28;92000
11康养组团,(26.755;2.415;31.425;8.065);10554.2;33000,(26.755;2.415;31.425;8.065);10554.2;33000,(26.755;2.415;31.425;8.065);10554.2;33000,(26.755;2.415;31.425;8.065);10554.2;33000,(26.755;2.415;31.425;8.065);10554.2;33000
12体育馆及其配套,(17.765;2.42;24.895;12.5);28748.16;30000,(17.765;2.42;24.895;12.5);28748.16;30000,(17.765;2.42;24.895;12.5);28748.16;30000,(17.765;2.42;24.895;12.5);28748.16;30000,(17.765;2.42;24.895;12.5);28748.16;30000
13食堂,(26;8.565;31.48;12.495);8614.56;12000,(26;8.565;31.48;12.495);8614.56;12000,(26;8.565;31.48;12.495);8614.56;12000,(26;8.565;31.48;12.495);8614.56;12000,(26;8.565;31.48;12.495);8614.56;12000
14户外体育区,(7.275001;2.485;17.265;12.495);39999.96;0,(7.275001;2.485;17.265;12.495);39999.96;0,(7.275001;2.485;17.265;12.495);39999.96;0,(7.275001;2.485;17.265;12.495);39999.96;0,(7.275001;2.485;17.265;12.495);39999.96;0
