Districts ,0,1,2,3,4
0创研中心1,(51;27.505;54;31.075);4284;9000,(51;27.505;54;31.075);4284;9000,(51;27.505;54;31.075);4284;9000,(51;27.505;54;31.075);4284;9000,(51;27.505;54;31.075);4284;9000
1创研中心2,(44.8;27.495;50.5;31.045);8094;22148.79,(44.8;27.495;50.5;31.045);8094;22148.79,(44.8;27.495;50.5;31.045);8094;22148.79,(44.8;27.495;50.5;31.045);8094;22148.79,(44.8;27.495;50.5;31.045);8094;22148.79
1创研中心2,(44;23.5;47;26.5);3600;9851.21,(44;23.5;47;26.5);3600;9851.21,(44;23.5;47;26.5);3600;9851.21,(44;23.5;47;26.5);3600;9851.21,(44;23.5;47;26.5);3600;9851.21
2创研中心3,(47.5;23.235;50.5;27.005);4524;9500,(47.5;23.235;50.5;27.005);4524;9500,(47.5;23.235;50.5;27.005);4524;9500,(47.5;23.235;50.5;27.005);4524;9500,(47.5;23.235;50.5;27.005);4524;9500
2创研中心3,(51;23.235;54;27.005);4524;9500,(51;23.235;54;27.005);4524;9500,(51;23.235;54;27.005);4524;9500,(51;23.235;54;27.005);4524;9500,(51;23.235;54;27.005);4524;9500
3实训中心组团,(9.575;13.5;18.505;17.96);15931.12;19391.91,(9.575;13.5;18.505;17.96);15931.12;19391.91,(7.275;13.5;16.205;17.96);15931.12;19391.91,(9.575;13.5;18.505;17.96);15931.12;19391.91,(9.575;13.5;18.505;17.96);15931.12;19391.91
3实训中心组团,(40.5;24;43.5;30);7200;8764.09,(40.5;22.68;43.5;28.68);7200;8764.09,(40.5;27.12;43.5;33.12);7200;8764.09,(40.5;27.12;43.5;33.12);7200;8764.09,(40.5;27.12;43.5;33.12);7200;8764.09
3实训中心组团,(32.16;13.505;38.54;16.695);8140.88;9909.36,(32.16;13.505;38.54;16.695);8140.88;9909.36,(32.16;13.505;38.54;16.695);8140.88;9909.36,(32.89;13.505;39.27;16.695);8140.88;9909.36,(32.89;13.505;39.27;16.695);8140.88;9909.36
3实训中心组团,(7.28;19.265;17.7;34.035);61561.36;74934.63,(7.28;19.265;17.7;34.035);61561.36;74934.63,(7.28;19.265;17.7;34.035);61561.36;74934.63,(7.28;19.265;17.7;34.035);61561.36;74934.63,(7.28;19.265;17.7;34.035);61561.36;74934.63
4应急装备产业组团,(29.005;17.195;39.275;25.065);32329.96;40000,(29.005;17.195;39.275;25.065);32329.96;40000,(29.005;17.195;39.275;25.065);32329.96;40000,(29.005;17.195;39.275;25.065);32329.96;40000,(29.005;17.195;39.275;25.065);32329.96;40000
5无人机实训基地,(29;25.565;40;33.775);36124;44000,(29;25.565;40;33.775);36124;44000,(29;25.565;40;33.775);36124;44000,(29;25.565;40;33.775);36124;44000,(29;25.565;40;33.775);36124;44000
6特色街区,(19;13.495;28.5;18.245);18050;12000,(19;13.495;28.5;18.245);18050;12000,(19;13.495;28.5;18.245);18050;12000,(19;13.495;28.5;18.245);18050;12000,(19;13.495;28.5;18.245);18050;12000
7展示中心,(18.995;23.82;22.645;28.32);6570;4000,(18.995;23.82;22.645;28.32);6570;4000,(18.995;27.81;22.645;32.31);6570;4000,(18.995;23.82;22.645;28.32);6570;4000,(18.995;23.82;22.645;28.32);6570;4000
8产教创新融合中心,(19;18.75;25;23.31);10944;20000,(19;18.75;25;23.31);10944;20000,(19;18.75;25;23.31);10944;20000,(19;18.75;25;23.31);10944;20000,(19;18.75;25;23.31);10944;20000
9书吧,(25.5;18.75;28.5;22.17);4104;2500,(25.5;18.75;28.5;22.17);4104;2500,(25.5;23.81;28.5;27.23);4104;2500,(25.5;21.05;28.5;24.47);4104;2500,(25.5;18.75;28.5;22.17);4104;2500
10人才公寓,(14.905;2.415;21.235;12.505);25547.88;92000,(14.905;2.415;21.235;12.505);25547.88;92000,(14.905;2.415;21.235;12.505);25547.88;92000,(14.905;2.415;21.235;12.505);25547.88;92000,(14.905;2.415;21.235;12.505);25547.88;92000
11康养组团,(32.16;2.425;38.36;6.675);10540;33000,(32.16;2.425;38.36;6.675);10540;33000,(32.16;2.425;38.36;6.675);10540;33000,(32.16;2.425;38.36;6.675);10540;33000,(32.16;2.425;38.36;6.675);10540;33000
12体育馆及其配套,(7.28;2.405;14.4;12.495);28736.32;30000,(7.28;2.405;14.4;12.495);28736.32;30000,(7.28;2.405;14.4;12.495);28736.32;30000,(7.28;2.405;14.4;12.495);28736.32;30000,(7.28;2.405;14.4;12.495);28736.32;30000
13食堂,(32.155;7.21;37.825;11.01);8618.4;12000,(32.155;7.21;37.825;11.01);8618.4;12000,(32.155;7.21;37.825;11.01);8618.4;12000,(32.155;7.21;37.825;11.01);8618.4;12000,(32.155;7.21;37.825;11.01);8618.4;12000
14户外体育区,(21.74;2.42;31.66;12.5);39997.44;0,(21.74;2.42;31.66;12.5);39997.44;0,(21.74;2.42;31.66;12.5);39997.44;0,(21.74;2.42;31.66;12.5);39997.44;0,(21.74;2.42;31.66;12.5);39997.44;0
