Districts ,0,1,2,3,4
0创研中心1,(50.915;22.68;54.005;26.5);4721.52;9000,(50.915;22.68;54.005;26.5);4721.52;9000,(50.915;22.68;54.005;26.5);4721.52;9000,(50.915;22.68;54.005;26.5);4721.52;9000,(50.915;22.68;54.005;26.5);4721.52;9000
1创研中心2,(43.915;27.5;49.445;30.5);6636;18926.2,(48.505;27.5;53.995;30.5);6588;18870.03,(48.505;27.5;53.995;30.5);6588;18870.03,(48.505;27.5;53.995;30.5);6588;18870.03,(48.505;27.5;53.995;30.5);6588;18870.03
1创研中心2,(47.41;22.68;50.41;26.5);4584;13073.8,(43.91;22.68;46.91;26.5);4584;13129.97,(43.91;22.68;46.91;26.5);4584;13129.97,(43.91;22.68;46.91;26.5);4584;13129.97,(43.91;22.68;46.91;26.5);4584;13129.97
2创研中心3,(49.945;27;53.995;30.5);5670;9925.37,(47.41;22.68;50.41;26.5);4584;8447.72,(47.41;22.68;50.41;26.5);4584;8447.72,(47.41;22.68;50.41;26.5);4584;8447.72,(47.41;22.68;50.41;26.5);4584;8447.72
2创研中心3,(43.91;22.68;46.91;27);5184;9074.63,(43.915;27;48.005;30.5);5726;10552.28,(43.915;27;48.005;30.5);5726;10552.28,(43.915;27;48.005;30.5);5726;10552.28,(43.915;27;48.005;30.5);5726;10552.28
3实训中心组团,(7.28;13.5;13.1;20.1);15364.8;18702.83,(14.115;13.5;19.985;17.78);10049.44;12238.02,(14.115;13.5;19.985;17.78);10049.44;12238.02,(14.115;13.5;19.985;17.78);10049.44;12238.02,(14.115;13.5;19.985;17.78);10049.44;12238.02
3实训中心组团,(13.6;17;19.6;20);7200;8764.21,(13.985;18.29;19.995;21.29);7212;8782.64,(13.985;18.29;19.995;21.29);7212;8782.64,(13.985;18.29;19.995;21.29);7212;8782.64,(13.985;18.29;19.995;21.29);7212;8782.64
3实训中心组团,(13.6;13.5;19.6;16.5);7200;8764.21,(7.28;13.5;13.62;17.78);10854.08;13217.9,(7.28;13.5;13.62;17.78);10854.08;13217.9,(7.28;13.5;13.62;17.78);10854.08;13217.9,(7.28;13.5;13.62;17.78);10854.08;13217.9
3实训中心组团,(7.28;20.605;19.02;34.035);63067.28;76768.75,(7.275;21.79;20.485;34.03);64676.16;78761.44,(7.275;21.79;20.485;34.03);64676.16;78761.44,(7.275;21.79;20.485;34.03);64676.16;78761.44,(7.275;21.79;20.485;34.03);64676.16;78761.44
4应急装备产业组团,(29.6;26.905;42.42;33.315);32870.48;40000,(30.605;26.045;43.415;32.455);32844.84;40000,(30.605;26.045;43.415;32.455);32844.84;40000,(30.605;26.045;43.415;32.455);32844.84;40000,(30.605;26.045;43.415;32.455);32844.84;40000
5无人机实训基地,(32.27;13.495;39.27;26.405);36148;44000,(31.77;13.5;39.27;25.54);36120;44000,(31.77;13.5;39.27;25.54);36120;44000,(31.77;13.5;39.27;25.54);36120;44000,(31.77;13.5;39.27;25.54);36120;44000
6特色街区,(20.48;13.5;27.52;20.5);19712;12000,(20.49;13.495;27.53;20.505);19740.16;12000,(20.49;13.495;27.53;20.505);19740.16;12000,(20.49;13.495;27.53;20.505);19740.16;12000,(20.49;13.495;27.53;20.505);19740.16;12000
7展示中心,(24.94;21.005;29.6;24.535);6579.92;4000,(20.99;24.1;23.99;29.58);6576;4000,(20.99;24.1;23.99;29.58);6576;4000,(20.99;24.1;23.99;29.58);6576;4000,(20.99;24.1;23.99;29.58);6576;4000
8产教创新融合中心,(20.1;21;23.8;28.4);10952;20000,(24.49;21.01;28.19;28.41);10952;20000,(24.49;21.01;28.19;28.41);10952;20000,(24.49;21.01;28.19;28.41);10952;20000,(24.49;21.01;28.19;28.41);10952;20000
9书吧,(26.1;25.03;29.1;28.45);4104;2500,(20.99;30.08;23.99;33.5);4104;2500,(20.99;30.08;23.99;33.5);4104;2500,(20.99;30.08;23.99;33.5);4104;2500,(20.99;30.08;23.99;33.5);4104;2500
10人才公寓,(9.13;2.415;16.41;12.505);29382.08;92000,(7.28;2.405;14.56;12.495);29382.08;92000,(7.28;2.405;14.56;12.495);29382.08;92000,(7.28;2.405;14.56;12.495);29382.08;92000,(7.28;2.405;14.56;12.495);29382.08;92000
11康养组团,(34.265;7.24;39.275;12.5);10541.04;33000,(35.635;5.24;39.265;12.5);10541.52;33000,(35.635;5.24;39.265;12.5);10541.52;33000,(35.635;5.24;39.265;12.5);10541.52;33000,(35.635;5.24;39.265;12.5);10541.52;33000
12体育馆及其配套,(26.335;2.42;33.465;12.5);28748.16;30000,(28.265;2.42;35.135;12.5);27699.84;30000,(28.265;2.42;35.135;12.5);27699.84;30000,(28.265;2.42;35.135;12.5);27699.84;30000,(28.265;2.42;35.135;12.5);27699.84;30000
13食堂,(33.97;2.425;38.97;6.735);8620;12000,(15.06;5.935;18.34;12.505);8619.84;12000,(15.06;5.935;18.34;12.505);8619.84;12000,(15.06;5.935;18.34;12.505);8619.84;12000,(15.06;5.935;18.34;12.505);8619.84;12000
14户外体育区,(16.915;2.42;25.845;12.5);36005.76;0,(18.845;2.42;27.775;12.5);36005.76;0,(18.845;2.42;27.775;12.5);36005.76;0,(18.845;2.42;27.775;12.5);36005.76;0,(18.845;2.42;27.775;12.5);36005.76;0
