Districts ,0,1,2,3,4
0创研中心1,(50.855;22.68;53.945;26.5);4721.52;9000,(50.855;22.68;53.945;26.5);4721.52;9000,(50.855;22.68;53.945;26.5);4721.52;9000,(50.855;22.68;53.945;26.5);4721.52;9000,(50.855;22.68;53.945;26.5);4721.52;9000
1创研中心2,(43.57;27.495;47.29;30.585);4597.92;12060.79,(43.57;27.495;47.29;30.585);4597.92;12060.79,(43.57;27.495;47.29;30.585);4597.92;12060.79,(43.57;27.495;47.29;30.585);4597.92;12060.79,(43.57;27.495;47.29;30.585);4597.92;12060.79
1创研中心2,(47.795;27.495;53.945;30.585);7601.4;19939.21,(47.795;27.495;53.945;30.585);7601.4;19939.21,(47.795;27.495;53.945;30.585);7601.4;19939.21,(47.795;27.495;53.945;30.585);7601.4;19939.21,(47.795;27.495;53.945;30.585);7601.4;19939.21
2创研中心3,(43.57;22.68;46.57;27);5184;9076.43,(43.57;22.68;46.57;27);5184;9076.43,(43.57;22.68;46.57;27);5184;9076.43,(43.57;22.68;46.57;27);5184;9076.43,(43.57;22.68;46.57;27);5184;9076.43
2创研中心3,(47.07;22.68;50.35;27);5667.84;9923.57,(47.07;22.68;50.35;27);5667.84;9923.57,(47.07;22.68;50.35;27);5667.84;9923.57,(47.07;22.68;50.35;27);5667.84;9923.57,(47.07;22.68;50.35;27);5667.84;9923.57
3实训中心组团,(7.22;13.505;13.68;20.715);18630.64;22672.94,(7.22;13.505;13.68;20.715);18630.64;22672.94,(7.22;13.505;13.68;20.715);18630.64;22672.94,(7.22;13.505;13.68;20.715);18630.64;22672.94,(7.22;13.505;13.68;20.715);18630.64;22672.94
3实训中心组团,(14.325;13.5;19.735;24.32);23414.48;28494.73,(14.325;13.5;19.735;24.32);23414.48;28494.73,(14.455;13.89;19.865;24.71);23414.48;28494.73,(14.455;13.89;19.865;24.71);23414.48;28494.73,(14.455;13.89;19.865;24.71);23414.48;28494.73
3实训中心组团,(14.18;27.105;19.86;34.035);15744.96;19161.15,(14.18;27.105;19.86;34.035);15744.96;19161.15,(14.18;25.205;19.86;32.135);15744.96;19161.15,(14.18;25.205;19.86;32.135);15744.96;19161.15,(14.18;25.205;19.86;32.135);15744.96;19161.15
3实训中心组团,(31.24;13.495;39.26;24.425);35063.44;42671.18,(31.24;13.775;39.26;24.705);35063.44;42671.18,(31.24;13.775;39.26;24.705);35063.44;42671.18,(31.24;13.775;39.26;24.705);35063.44;42671.18,(31.24;13.775;39.26;24.705);35063.44;42671.18
4应急装备产业组团,(7.275;21.21;13.685;34.03);32870.48;40000,(7.275;21.21;13.685;34.03);32870.48;40000,(7.275;21.21;13.685;34.03);32870.48;40000,(7.275;21.21;13.685;34.03);32870.48;40000,(7.275;21.21;13.685;34.03);32870.48;40000
5无人机实训基地,(30.31;25.68;42.01;33.4);36129.6;44000,(30.31;25.68;42.01;33.4);36129.6;44000,(30.31;25.68;42.01;33.4);36129.6;44000,(30.31;25.68;42.01;33.4);36129.6;44000,(30.31;25.68;42.01;33.4);36129.6;44000
6特色街区,(20.75;13.5;27.25;21.08);19708;12000,(20.75;13.5;27.25;21.08);19708;12000,(20.75;13.5;27.25;21.08);19708;12000,(20.75;13.5;27.25;21.08);19708;12000,(20.75;13.5;27.25;21.08);19708;12000
7展示中心,(26.81;21.58;29.81;27.06);6576;4000,(26.81;23.1;29.81;28.58);6576;4000,(26.81;21.58;29.81;27.06);6576;4000,(26.81;21.58;29.81;27.06);6576;4000,(26.81;21.58;29.81;27.06);6576;4000
8产教创新融合中心,(20.365;21.58;26.315;26.18);10948;20000,(20.365;22.4;26.315;27);10948;20000,(20.365;21.58;26.315;26.18);10948;20000,(20.365;21.58;26.315;26.18);10948;20000,(20.365;21.58;26.315;26.18);10948;20000
9书吧,(20.75;29.08;23.75;32.5);4104;2500,(20.75;30.08;23.75;33.5);4104;2500,(26.81;27.56;29.81;30.98);4104;2500,(26.81;27.56;29.81;30.98);4104;2500,(26.81;27.56;29.81;30.98);4104;2500
10人才公寓,(7.219999;2.405;14.5;12.495);29382.08;92000,(7.219999;2.405;14.5;12.495);29382.08;92000,(7.219999;2.405;14.5;12.495);29382.08;92000,(7.219999;2.405;14.5;12.495);29382.08;92000,(7.219999;2.405;14.5;12.495);29382.08;92000
11康养组团,(15;2.415;20;7.685);10540;33000,(15;2.415;20;7.685);10540;33000,(15;2.415;20;7.685);10540;33000,(15;2.415;20;7.685);10540;33000,(15;2.415;20;7.685);10540;33000
12体育馆及其配套,(30.275;2.42;37.405;12.5);28748.16;30000,(30.275;2.42;37.405;12.5);28748.16;30000,(30.275;2.42;37.405;12.5);28748.16;30000,(30.275;2.42;37.405;12.5);28748.16;30000,(30.275;2.42;37.405;12.5);28748.16;30000
13食堂,(15;8.185;20;12.495);8620;12000,(15;8.185;20;12.495);8620;12000,(15;8.185;20;12.495);8620;12000,(15;8.185;20;12.495);8620;12000,(15;8.185;20;12.495);8620;12000
14户外体育区,(20.505;2.465;29.775;12.495);37191.24;0,(20.505;2.465;29.775;12.495);37191.24;0,(20.505;2.465;29.775;12.495);37191.24;0,(20.505;2.465;29.775;12.495);37191.24;0,(20.505;2.465;29.775;12.495);37191.24;0
