Zones ,0,1,2,3,4
公共教学区,(21.275;103.205;27.625;115.895);32232.6;53770;10754;5,(21.275;103.205;27.625;115.895);32232.6;53770;10754;5,(21.275;103.205;27.625;115.895);32232.6;53770;10754;5,(21.275;103.205;27.625;115.895);32232.6;53770;10754;5,(21.245;103.265;27.595;115.955);32232.6;53770;10754;5
专业教学区,(14.32;130.765;22;145.115);44083.2;54221.25;12196.59;4;1086.98;5,(14.32;130.765;22;145.115);44083.2;54221.25;12196.59;4;1086.98;5,(14.32;130.765;22;145.115);44083.2;54221.25;12196.59;4;1086.98;5,(14.32;130.765;22;145.115);44083.2;54221.25;12196.59;4;1086.98;5,(14.315;130.755;22.225;144.825);44517.48;55130.42;12401.1;4;1105.2;5
专业教学区,(31.185;135.225;40.135;145.115);35406.2;43548.75;9795.91;4;873.02;5,(31.185;135.225;40.135;145.115);35406.2;43548.75;9795.91;4;873.02;5,(31.185;135.225;40.135;145.115);35406.2;43548.75;9795.91;4;873.02;5,(31.185;135.225;40.135;145.115);35406.2;43548.75;9795.91;4;873.02;5,(31.22;135.175;40.14;144.825);34431.2;42639.58;9591.4;4;854.8;5
图书馆,(16.655;122.95;27.025;128.13);21486.64;43060;6612;5;2000;5,(16.655;122.95;27.025;128.13);21486.64;43060;6612;5;2000;5,(16.655;122.95;27.025;128.13);21486.64;43060;6612;5;2000;5,(16.655;122.95;27.025;128.13);21486.64;43060;6612;5;2000;5,(16.625;122.95;27.015;128.15);21611.2;43060;6612;5;2000;5
室内体育区,(38.71;125.46;49.99;132.88);33479.04;26030;13015;2,(38.71;125.46;49.99;132.88);33479.04;26030;13015;2,(38.71;125.46;49.99;132.88);33479.04;26030;13015;2,(38.71;125.46;49.99;132.88);33479.04;26030;13015;2,(38.71;125.46;50.23;132.72);33454.08;26030;13015;2
校级行政区,(24.49;116.3;27.63;121.06);5978.56;13300;2660;5,(24.49;116.3;27.63;121.06);5978.56;13300;2660;5,(24.49;116.3;27.63;121.06);5978.56;13300;2660;5,(24.49;116.3;27.63;121.06);5978.56;13300;2660;5,(24.485;116.355;27.595;121.165);5983.64;13300;2660;5
院系办公区,(18.775;151.335;23.545;157.025);10856.52;24130;4826;5,(18.775;151.335;23.545;157.025);10856.52;24130;4826;5,(18.775;151.335;23.545;157.025);10856.52;24130;4826;5,(18.775;151.335;23.545;157.025);10856.52;24130;4826;5,(18.77;151.35;23.55;157.03);10860.16;24130;4826;5
学生活动区,(23.945;149.485;27.715;157.035);11385.4;6650;3325;2,(23.945;149.485;27.715;157.035);11385.4;6650;3325;2,(23.945;149.485;27.715;157.035);11385.4;6650;3325;2,(23.945;149.485;27.715;157.035);11385.4;6650;3325;2,(23.945;149.485;27.715;157.035);11385.4;6650;3325;2
会堂,(22.4;128.535;27.02;133.685);9517.2;5700;2850;2,(22.4;128.535;27.02;133.685);9517.2;5700;2850;2,(22.4;128.535;27.02;133.685);9517.2;5700;2850;2,(22.4;128.535;27.02;133.685);9517.2;5700;2850;2,(22.625;128.545;27.015;133.975);9535.08;5700;2850;2
学生宿舍区,(40.535;144.235;52.505;153.825);45916.92;77019.16;8410.14;6;4426.39;6,(40.535;144.235;52.505;153.825);45916.92;77019.16;8410.14;6;4426.39;6,(40.535;144.235;52.505;153.825);45916.92;77019.16;8410.14;6;4426.39;6,(40.535;144.235;52.505;153.825);45916.92;77019.16;8410.14;6;4426.39;6,(40.545;144.21;52.535;153.79);45945.68;78742.02;8598.27;6;4525.4;6
学生宿舍区,(50.395;122.95;70.145;132.83);78052;130921.22;14296;6;7524.21;6,(50.435;122.95;70.185;132.83);78052;130921.22;14296;6;7524.21;6,(50.435;122.95;70.185;132.83);78052;130921.22;14296;6;7524.21;6,(50.435;122.95;70.185;132.83);78052;130921.22;14296;6;7524.21;6,(50.63;122.955;69.75;132.725);74720.97;128057.31;13983.27;6;7359.62;6
学生宿舍区,(28.02;100.78;43.66;108.6);48921.92;82059.62;8960.53;6;4716.07;6,(28.02;100.78;43.66;108.6);48921.92;82059.62;8960.53;6;4716.07;6,(28.02;100.78;43.66;108.6);48921.92;82059.62;8960.53;6;4716.07;6,(28.02;100.78;43.66;108.6);48921.92;82059.62;8960.53;6;4716.07;6,(28;100.775;43.58;108.565);48547.28;83200.67;9085.13;6;4781.65;6
食堂,(28.03;122.955;33.37;130.365);15827.76;10551.77;5275.88;2,(28.03;122.955;33.37;130.365);15827.76;10551.77;5275.88;2,(28.03;122.955;33.37;130.365);15827.76;10551.77;5275.88;2,(28.03;122.955;33.37;130.365);15827.76;10551.77;5275.88;2,(28.02;122.955;33.38;130.345);15844.16;10566.1;5283.05;2
食堂,(58.925;133.235;66.895;139.445);19797.48;13198.23;6599.12;2,(58.925;133.235;66.895;139.445);19797.48;13198.23;6599.12;2,(58.925;133.235;66.895;139.445);19797.48;13198.23;6599.12;2,(58.925;133.235;66.895;139.445);19797.48;13198.23;6599.12;2,(58.635;133.125;67.445;138.735);19769.64;13183.9;6591.95;2
教师公寓区,(44.06;101.98;47.06;105.78);4560;7600;950;8,(44.06;108.78;47.06;112.58);4560;7600;950;8,(44.06;108.78;47.06;112.58);4560;7600;950;8,(44.06;108.78;47.06;112.58);4560;7600;950;8,(43.98;108.89;46.98;112.69);4560;7600;950;8
后勤区,(28.12;145.51;40.14;157.03);55388.17;33630;16815;2,(28.12;145.51;40.14;157.03);55388.17;33630;16815;2,(28.12;145.51;40.14;157.03);55388.17;33630;16815;2,(28.12;145.51;40.14;157.03);55388.17;33630;16815;2,(28.12;145.23;40.14;157.03);56734.41;33630;16815;2
国际学生区,(12.195;145.515;16.925;151.705);11711.48;15000;3000;5,(12.195;145.515;16.925;151.705);11711.48;15000;3000;5,(12.195;145.515;16.925;151.705);11711.48;15000;3000;5,(12.195;145.515;16.925;151.705);11711.48;15000;3000;5,(12.215;145.33;17.085;151.49);11999.68;15000;3000;5
培训教育区,(16.395;116.295;24.085;121.545);16149;26000;1200;5;4000;5,(16.395;116.295;24.085;121.545);16149;26000;1200;5;4000;5,(16.395;116.295;24.085;121.545);16149;26000;1200;5;4000;5,(16.395;116.295;24.085;121.545);16149;26000;1200;5;4000;5,(16.39;116.35;24.09;121.55);16016;26000;1200;5;4000;5
学术交流区,(70.54;122.945;74.54;130.115);11472;30000;3000;10,(70.59;122.945;74.59;130.055);11376;30000;3000;10,(70.59;122.945;74.59;130.055);11376;30000;3000;10,(70.59;122.945;74.59;130.055);11376;30000;3000;10,(70.155;123.145;74.245;130.475);11991.88;30000;3000;10
产学融合区,(27.42;92.6;36.66;100.38);28754.88;88557.83;4331.63;8;3850.34;8;2887.76;8,(27.42;92.6;36.66;100.38);28754.88;88557.83;4331.63;8;3850.34;8;2887.76;8,(27.42;92.6;36.66;100.38);28754.88;88557.83;4331.63;8;3850.34;8;2887.76;8,(27.42;92.6;36.66;100.38);28754.88;88557.83;4331.63;8;3850.34;8;2887.76;8,(27.415;92.605;36.665;100.375);28749;88546.69;4331.09;8;3849.86;8;2887.39;8
产学融合区,(47.885;113.555;62.255;121.545);45926.52;141442.17;6918.37;8;6149.66;8;4612.24;8,(47.885;113.555;62.255;121.545);45926.52;141442.17;6918.37;8;6149.66;8;4612.24;8,(47.885;113.555;62.255;121.545);45926.52;141442.17;6918.37;8;6149.66;8;4612.24;8,(47.885;113.555;62.255;121.545);45926.52;141442.17;6918.37;8;6149.66;8;4612.24;8,(47.885;113.555;62.255;121.545);45926.52;141453.31;6918.91;8;6150.14;8;4612.61;8
户外体育区,(28.025;109.005;40.135;121.555);60792.2;0,(28.025;109.005;40.135;121.555);60792.2;0,(28.025;109.005;40.135;121.555);60792.2;0,(28.025;109.005;40.135;121.555);60792.2;0,(28;108.965;40.14;121.555);61137.04;0
户外体育区,(40.535;133.28;58.525;143.84);75989.76;0,(40.535;133.28;58.525;143.84);75989.76;0,(40.535;133.28;58.525;143.84);75989.76;0,(40.535;133.28;58.525;143.84);75989.76;0,(40.545;133.125;58.235;143.815);75642.44;0
Rectangle
Roads
0.025,(28;122;28;157),(28;122;28;157),(28;122;28;157),(28;122;28;157),(28;122;28;157)
Axis
