学校类型：理工类
学生人数：24000
用地面积：1371300
总建筑面积：目标1028475,配置1047600
校舍用地：目标792000，最低789147.3
体育用地：192000
容积率：目标0.75，配置0.76
实际建筑密度：0.18
分区面积上浮范围：0
 
 ,名称,面积,容积率,密度,总建筑面积
0,公共教学区,47200,1.5,0.3,70800
1,专业教学区,83222.86,1.75,0.35,145640,2
2,图书馆,47777.78,0.9,0.3,43000,2
3,室内体育区,36000,0.7,0.35,25200
4,行政办公区,29280,1.5,0.3,43920
5,学生活动区,10285.71,0.7,0.35,7200
6,会堂,8228.57,0.7,0.35,5760
7,学生宿舍区,260000,1.15,0.29,300000,3
8,食堂,41142.86,0.7,0.35,28800,2
9,教师公寓区,4800,2,0.25,9600
10,后勤区,53828.57,0.7,0.35,37680
11,学术交流区,8333.33,3.6,0.3,30000
12,产学融合区,71428.57,2.8,0.35,200000,2
13,培训教育区,11428.57,1.75,0.35,20000
14,共享生活区,76190.48,1.05,0.35,80000,2
15,户外体育区,192000,0,0,0,3
