Zones ,0,1,2,3,4
公共教学区,(68.715;0.1949999;83.285;7.485);42486.12;70800;14160;5,(76.005;0.9350004;83.295;15.505);42486.12;70800;14160;5,(76.005;0.9350004;83.295;15.505);42486.12;70800;14160;5,(76.005;0.9350004;83.295;15.505);42486.12;70800;14160;5,(76.005;0.9350004;83.295;15.505);42486.12;70800;14160;5
专业教学区,(57.025;7.82;68.31499;15.5);34682.88;67429.36;12356.19;5;1129.69;5,(58.555;6.98;75.605;15.5);58106.4;92616.48;16971.63;5;1551.66;5,(58.555;6.98;75.605;15.5);58106.4;92616.48;16971.63;5;1551.66;5,(58.555;6.98;75.605;15.5);58106.4;92616.48;16971.63;5;1551.66;5,(58.555;6.98;75.605;15.5);58106.4;92616.48;16971.63;5;1551.66;5
专业教学区,(30.2;7.48;42.74;15.5);40228.32;78210.64;14331.81;5;1310.31;5,(30.205;3.775001;37.295;15.505);33266.28;53023.52;9716.37;5;888.34;5,(30.205;3.775001;37.295;15.505);33266.28;53023.52;9716.37;5;888.34;5,(30.205;3.775001;37.295;15.505);33266.28;53023.52;9716.37;5;888.34;5,(30.205;3.775001;37.295;15.505);33266.28;53023.52;9716.37;5;888.34;5
图书馆,(60.045;0.2;68.315;7.42);23883.76;23876.3;6663.15;3;1295.61;3,(51.735;0.2;62.665;5.66);23871.12;23862.55;6659.32;3;1294.87;3,(51.735;0.2;62.665;5.66);23871.12;23862.55;6659.32;3;1294.87;3,(51.735;0.2;62.665;5.66);23871.12;23862.55;6659.32;3;1294.87;3,(51.735;0.2;62.665;5.66);23871.12;23862.55;6659.32;3;1294.87;3
图书馆,(51.735;0.2000003;56.625;9.98);19129.68;19123.7;5336.85;3;1037.72;3,(51.735;6.06;56.805;15.5);19144.32;19137.45;5340.68;3;1038.47;3,(51.735;6.06;56.805;15.5);19144.32;19137.45;5340.68;3;1038.47;3,(51.735;6.06;56.805;15.5);19144.32;19137.45;5340.68;3;1038.47;3,(51.735;6.06;56.805;15.5);19144.32;19137.45;5340.68;3;1038.47;3
室内体育区,(30.205;20.505;42.715;26.975);32375.88;25200;12600;2,(30.2;24.155;36.56;36.885);32385.12;25200;12600;2,(30.2;24.155;36.56;36.885);32385.12;25200;12600;2,(30.2;24.155;36.56;36.885);32385.12;25200;12600;2,(30.2;24.155;36.56;36.885);32385.12;25200;12600;2
行政办公区,(62.4;16.5;70.34;24.8);26360.8;43920;2880;5;5904;5,(52.2;16.5;60.14;24.8);26360.8;43920;2880;5;5904;5,(52.2;16.5;60.14;24.8);26360.8;43920;2880;5;5904;5,(52.2;16.5;60.14;24.8);26360.8;43920;2880;5;5904;5,(52.2;16.5;60.14;24.8);26360.8;43920;2880;5;5904;5
学生活动区,(70.745;17.38;74.555;24.8);11308.08;7200;3600;2,(73.2;16.5;76.92;22.72);9255.36;7200;3600;2,(73.2;16.5;76.92;22.72);9255.36;7200;3600;2,(73.2;16.5;76.92;22.72);9255.36;7200;3600;2,(73.2;16.5;76.92;22.72);9255.36;7200;3600;2
会堂,(52.715;48.62;58.805;51.66);7405.44;5760;2880;2,(51.74;49.215;54.78;55.305);7405.44;5760;2880;2,(51.74;49.215;54.78;55.305);7405.44;5760;2880;2,(51.74;49.215;54.78;55.305);7405.44;5760;2880;2,(51.74;49.215;54.78;55.305);7405.44;5760;2880;2
学生宿舍区,(66.61;34.265;85.23;43.575);69340.89;88890.43;17778.09;4;4444.52;4,(62.2;36.085;80.82;45.395);69340.89;88888.15;17777.63;4;4444.41;4,(62.2;36.085;80.82;45.395);69340.89;88888.15;17777.63;4;4444.41;4,(62.2;36.085;80.82;45.395);69340.89;88888.15;17777.63;4;4444.41;4,(62.2;36.085;80.82;45.395);69340.89;88902.59;17780.52;4;4445.13;4
学生宿舍区,(30.2;36.285;42.74;55.295);95354.16;122237.72;24447.54;4;6111.89;4,(30.205;37.28;43.015;55.3);92334.48;118363.66;23672.73;4;5918.18;4,(30.205;37.28;43.015;55.3);92334.48;118363.66;23672.73;4;5918.18;4,(30.205;37.28;43.015;55.3);92334.48;118363.66;23672.73;4;5918.18;4,(30.205;37.28;43.015;55.3);92334.48;118382.9;23676.58;4;5919.14;4
学生宿舍区,(80.03;44.185;95.63;55.295);69326.4;88871.85;17774.37;4;4443.59;4,(62.63;45.795;81.65;55.305);72352.08;92748.2;18549.64;4;4637.41;4,(62.63;45.795;81.65;55.305);72352.08;92748.2;18549.64;4;4637.41;4,(62.63;45.795;81.65;55.305);72352.08;92748.2;18549.64;4;4637.41;4,(62.635;45.795;81.645;55.305);72314.04;92714.51;18542.9;4;4635.73;4
食堂,(62.405;25.2;74.555;32.82);37033.2;28800;14400;2,(81.695;23.075;91.325;32.685);37017.72;28800;14400;2,(81.68501;23.07;91.335;32.67);37056;28800;14400;2,(81.675;23.075;91.325;32.665);37017.4;28800;14400;2,(81.68501;23.07;91.335;32.67);37056;28800;14400;2
教师公寓区,(30.2;16.5;33.2;20.1);4320;9600;1200;8,(32.19;16.5;36.59;19.5);5280;9600;1200;8,(32.19;16.5;36.59;19.5);5280;9600;1200;8,(32.19;16.5;36.59;19.5);5280;9600;1200;8,(32.19;16.5;36.59;19.5);5280;9600;1200;8
后勤区,(30.2;27.38;45.76;35.16);48422.72;37680;18840;2,(36.98;22.305;48.52;35.135);59223.28;37680;18840;2,(36.98;22.305;48.52;35.135);59223.28;37680;18840;2,(36.98;22.305;48.52;35.135);59223.28;37680;18840;2,(36.98;22.305;48.52;35.135);59223.28;37680;18840;2
学术交流区,(43.14;49.18;46.2;55.3);7490.88;30000;2500;12,(43.41;52.24;49.53;55.3);7490.88;30000;2500;12,(43.41;52.24;49.53;55.3);7490.88;30000;2500;12,(43.41;52.24;49.53;55.3);7490.88;30000;2500;12,(43.41;52.24;49.53;55.3);7490.88;30000;2500;12
产学融合区,(85.63;34.92;95.63;42.92);32000;99532.2;5598.69;8;3732.46;8;3110.38;8,(82.27;48.62;95.63;55.3);35697.92;111102.56;6249.52;8;4166.35;8;3471.96;8,(82.27;48.62;95.63;55.3);35697.92;111102.56;6249.52;8;4166.35;8;3471.96;8,(82.27;48.62;95.63;55.3);35697.92;111102.56;6249.52;8;4166.35;8;3471.96;8,(82.27;48.62;95.63;55.3);35697.92;111102.56;6249.52;8;4166.35;8;3471.96;8
产学融合区,(52.2;16.56;62;24.8);32300.8;100467.8;5651.31;8;3767.54;8;3139.62;8,(77.325;16.54;88.955;22.68);28563.28;88897.44;5000.48;8;3333.65;8;2778.04;8,(77.325;16.54;88.955;22.68);28563.28;88897.44;5000.48;8;3333.65;8;2778.04;8,(77.325;16.54;88.955;22.68);28563.28;88897.44;5000.48;8;3333.65;8;2778.04;8,(77.325;16.54;88.955;22.68);28563.28;88897.44;5000.48;8;3333.65;8;2778.04;8
培训教育区,(43.105;17.625;46.695;24.795);10296.12;20000;4000;5,(40.44;16.5;46.26;21.9);12571.2;20000;4000;5,(40.44;16.5;46.26;21.9);12571.2;20000;4000;5,(40.44;16.5;46.26;21.9);12571.2;20000;4000;5,(40.44;16.5;46.26;21.9);12571.2;20000;4000;5
