Zones ,0,1,2,3,4
公共教学区,(63.235;0.2049999;71.72501;15.495);51924.84;70800;14160;5,(61.41;0.1999998;69.89;15.5);51897.6;70800;14160;5,(61.41;0.1999998;69.89;15.5);51897.6;70800;14160;5,(61.41;0.1999998;69.89;15.5);51897.6;70800;14160;5,(61.41;0.1999998;69.89;15.5);51897.6;70800;14160;5
专业教学区,(51.745;2.375;62.835;15.505);58244.68;92680.69;16983.4;5;1552.74;5,(51.735;0.1999998;61.005;15.5);56732.4;90255.05;16538.91;5;1512.1;5,(51.735;0.1999998;61.005;15.08);55175.04;87784.71;16086.23;5;1470.71;5,(51.735;0.1999998;61.005;15.08);55175.04;87784.71;16086.23;5;1470.71;5,(51.735;0.1999998;61.005;15.08);55175.04;87784.71;16086.23;5;1470.71;5
专业教学区,(77.445;2.6;83.895;15.5);33282;52959.31;9704.6;5;887.26;5,(75.585;6.285;85.035;15.495);34813.8;55384.95;10149.09;5;927.9;5,(70.295;3.98;79.745;13.6);36363.6;57855.29;10601.77;5;969.29;5,(70.295;3.98;79.745;13.6);36363.6;57855.29;10601.77;5;969.29;5,(70.295;3.98;79.745;13.6);36363.6;57855.29;10601.77;5;969.29;5
图书馆,(30.2;0.1999998;36.64;13.08);33178.88;27152.33;7577.39;3;1473.38;3,(30.195;2.445;36.665;15.375);33462.84;27369.62;7638.03;3;1485.17;3,(34.035;1.775;40.505;14.705);33462.84;27369.62;7638.03;3;1485.17;3,(34.035;1.775;40.505;14.705);33462.84;27369.62;7638.03;3;1485.17;3,(30.195;1.775;36.665;14.705);33462.84;27369.62;7638.03;3;1485.17;3
图书馆,(72.12;0.1999998;77.04;10.04);19365.12;15847.67;4422.61;3;859.95;3,(70.295;5.724999;75.185;15.495);19110.12;15630.38;4361.97;3;848.16;3,(80.145;5.724999;85.035;15.495);19110.12;15630.38;4361.97;3;848.16;3,(80.145;5.724999;85.035;15.495);19110.12;15630.38;4361.97;3;848.16;3,(80.145;5.724999;85.035;15.495);19110.12;15630.38;4361.97;3;848.16;3
室内体育区,(43.56;33.195;50.34;46.705);36639.12;25200;12600;2,(42.04;34.795;50.34;46.725);39607.6;25200;12600;2,(42.04;34.795;50.34;46.725);39607.6;25200;12600;2,(42.04;34.795;50.34;46.725);39607.6;25200;12600;2,(42.04;34.795;50.34;46.725);39607.6;25200;12600;2
行政办公区,(52.2;16.5;60.14;24.8);26360.8;43920;2880;5;5904;5,(52.205;16.5;60.375;24.8);27124.4;43920;2880;5;5904;5,(52.205;16.5;60.375;24.8);27124.4;43920;2880;5;5904;5,(52.205;16.5;60.375;24.8);27124.4;43920;2880;5;5904;5,(52.205;16.5;60.375;24.8);27124.4;43920;2880;5;5904;5
学生活动区,(67.68999;25.76;75.21;29.52);11310.08;7200;3600;2,(67.68999;25.76;75.21;29.52);11310.08;7200;3600;2,(67.99;26.04;75.51;29.8);11310.08;7200;3600;2,(67.99;26.04;75.51;29.8);11310.08;7200;3600;2,(67.68999;26.04;75.21;29.8);11310.08;7200;3600;2
会堂,(61.195;25.76;67.285;28.8);7405.44;5760;2880;2,(61.195;25.76;67.285;28.8);7405.44;5760;2880;2,(61.195;25.76;67.285;28.8);7405.44;5760;2880;2,(61.195;25.76;67.285;28.8);7405.44;5760;2880;2,(61.195;25.76;67.285;28.8);7405.44;5760;2880;2
学生宿舍区,(81.325;32.965;94.915;45.715);69309;85606.73;17121.35;4;4280.34;4,(81.25999;32.205;94.64;45.155);69308.4;87693.36;17538.67;4;4384.67;4,(81.25999;32.205;94.64;45.155);69308.4;87693.36;17538.67;4;4384.67;4,(81.25999;32.205;94.64;45.155);69308.4;87693.36;17538.67;4;4384.67;4,(81.25999;32.205;94.64;45.155);69308.4;87693.36;17538.67;4;4384.67;4
学生宿舍区,(65.05;30.2;80.93;45.66);98201.92;121293.7;24258.74;4;6064.69;4,(65.055;31.205;80.865;45.155);88219.8;111621.26;22324.25;4;5581.06;4,(65.055;31.205;80.865;45.155);88219.8;111621.26;22324.25;4;5581.06;4,(65.055;31.205;80.865;45.155);88219.8;111621.26;22324.25;4;5581.06;4,(65.055;31.205;80.865;45.155);88219.8;111621.26;22324.25;4;5581.06;4
学生宿舍区,(30.2;32.17;43.16;46.71);75375.36;93099.57;18619.91;4;4654.98;4,(30.2;29.335;41.64;46.725);79576.64;100685.38;20137.08;4;5034.27;4,(30.2;29.335;41.64;46.725);79576.64;100685.38;20137.08;4;5034.27;4,(30.2;29.335;41.64;46.725);79576.64;100685.38;20137.08;4;5034.27;4,(30.2;29.335;41.64;46.725);79576.64;100685.38;20137.08;4;5034.27;4
食堂,(82.475;27.355;92.885;32.565);21694.44;13797.87;6898.93;2,(81.26;26.2;92.46;31.8);25088;15968.88;7984.44;2,(81.26;26.2;92.46;31.8);25088;15968.88;7984.44;2,(81.26;26.2;92.46;31.8);25088;15968.88;7984.44;2,(81.26;26.2;92.46;31.8);25088;15968.88;7984.44;2
食堂,(51.735;44.44;57.165;55.3);23587.92;15002.13;7501.07;2,(51.74;45.55;57.6;54.15);20158.4;12831.12;6415.56;2,(51.74;46.59;57.6;55.19);20158.4;12831.12;6415.56;2,(51.74;46.59;57.6;55.19);20158.4;12831.12;6415.56;2,(51.74;46.59;57.6;55.19);20158.4;12831.12;6415.56;2
教师公寓区,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8
后勤区,(62.635;46.06;78.425;55.3);58359.84;37680;18840;2,(62.635;45.555;77.825;55.305);59241;37680;18840;2,(62.635;45.555;77.825;55.305);59241;37680;18840;2,(62.635;45.555;77.825;55.305);59241;37680;18840;2,(62.635;45.555;77.825;55.305);59241;37680;18840;2
学术交流区,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12,(46.955;47.675;50.345;54.445);9180.12;30000;2500;12,(46.955;47.185;50.345;53.955);9180.12;30000;2500;12,(46.955;47.185;50.345;53.955);9180.12;30000;2500;12,(46.955;47.245;50.345;54.015);9180.12;30000;2500;12
产学融合区,(77.16;16.5;88.94;26.96);49287.52;126586.12;7120.47;8;4746.98;8;3955.82;8,(75.695;16.5;88.945;25.8);49290;126588.46;7120.6;8;4747.07;8;3955.89;8,(75.695;16.5;88.945;25.64);48442;125780.25;7075.14;8;4716.76;8;3930.63;8,(75.695;16.5;88.945;25.64);48442;125780.25;7075.14;8;4716.76;8;3930.63;8,(75.695;16.5;88.945;25.64);48442;125780.25;7075.14;8;4716.76;8;3930.63;8
产学融合区,(58.67;33.205;64.65;45.155);28584.4;73413.88;4129.53;8;2753.02;8;2294.18;8,(58.67;33.205;64.65;45.155);28584.4;73411.54;4129.4;8;2752.93;8;2294.11;8,(58.67;33.205;64.65;45.155);28584.4;74219.75;4174.86;8;2783.24;8;2319.37;8,(58.67;33.205;64.65;45.155);28584.4;74219.75;4174.86;8;2783.24;8;2319.37;8,(58.67;33.205;64.65;45.155);28584.4;74219.75;4174.86;8;2783.24;8;2319.37;8
培训教育区,(30.205;16.5;34.495;23.2);11497.2;20000;4000;5,(30.195;16.5;38.125;20.46);12561.12;20000;4000;5,(30.195;16.5;38.125;20.46);12561.12;20000;4000;5,(30.195;16.5;38.125;20.46);12561.12;20000;4000;5,(30.195;16.5;38.125;20.46);12561.12;20000;4000;5
共享生活区,(34.885;16.5;46.255;23.2);30471.6;29099.31;9699.77;3,(30.2;20.865;41.64;28.935);36928.32;43093.71;14364.57;3,(30.2;20.865;41.64;28.935);36928.32;43093.71;14364.57;3,(30.2;20.865;41.64;28.935);36928.32;43093.71;14364.57;3,(30.2;20.865;41.64;28.935);36928.32;43093.71;14364.57;3
共享生活区,(32.705;23.61;49.035;31.77);53301.12;50900.69;16966.9;3,(42.045;21.815;48.335;34.385);31626.12;36906.29;12302.1;3,(42.045;21.815;48.335;34.385);31626.12;36906.29;12302.1;3,(42.045;21.815;48.335;34.385);31626.12;36906.29;12302.1;3,(42.045;21.815;48.335;34.385);31626.12;36906.29;12302.1;3
户外体育区,(30.205;47.105;46.555;55.295);53562.6;0,(30.205;47.12;46.555;55.3);53497.2;0,(30.205;47.12;46.555;55.3);53497.2;0,(30.205;47.12;46.555;55.3);53497.2;0,(30.205;47.12;46.555;55.3);53497.2;0
户外体育区,(78.83;46.12;95.63;55.3);61689.6;0,(78.225;45.555;95.635;55.305);67899;0,(78.225;45.555;95.635;55.305);67899;0,(78.225;45.555;95.635;55.305);67899;0,(78.225;45.555;95.635;55.305);67899;0
户外体育区,(60.535;16.5;76.765;25.36);57519.12;0,(60.77;16.5;75.29;25.36);51458.88;0,(60.77;16.5;75.29;25.36);51458.88;0,(60.77;16.5;75.29;25.36);51458.88;0,(60.77;16.5;75.29;25.36);51458.88;0
Rectangle
Roads
0.5,(30;16;89;16),(30;16;89;16),(30;16;89;16),(30;16;89;16),(30;16;89;16)
Axis
