Zones ,0,1,2,3,4
公共教学区,(65.665;99.675;72.415;113.185);36477;54720;10944;5,(65.665;99.675;72.415;113.185);36477;54720;10944;5,(65.665;99.675;72.415;113.185);36477;54720;10944;5,(65.665;99.675;72.415;113.185);36477;54720;10944;5,(65.665;99.675;72.415;113.185);36477;54720;10944;5
专业教学区,(65.66;85.505;71.6;97.375);28203.12;43297.08;7863.23;5;796.19;5,(65.66;85.505;71.6;97.375);28203.12;43297.08;7863.23;5;796.19;5,(65.66;85.505;71.6;97.375);28203.12;43297.08;7863.23;5;796.19;5,(65.66;85.505;71.6;97.375);28203.12;43297.08;7863.23;5;796.19;5,(65.66;85.505;71.6;97.375);28203.12;43297.08;7863.23;5;796.19;5
专业教学区,(81.745;77.08;95.635;84.5);41225.52;63288.92;11493.97;5;1163.81;5,(81.745;77.08;95.635;84.5);41225.52;63288.92;11493.97;5;1163.81;5,(81.745;77.08;95.635;84.5);41225.52;63288.92;11493.97;5;1163.81;5,(81.745;77.08;95.635;84.5);41225.52;63288.92;11493.97;5;1163.81;5,(81.745;77.08;95.635;84.5);41225.52;63288.92;11493.97;5;1163.81;5
图书馆,(56.54;98.325;61.92;106.895);18442.64;36899;5779.8;5;1600;5,(55.05;97.185;60.43;105.755);18442.64;36899;5779.8;5;1600;5,(55.05;97.185;60.43;105.755);18442.64;36899;5779.8;5;1600;5,(56.64;98.395;62.02;106.965);18442.64;36899;5779.8;5;1600;5,(56.54;98.325;61.92;106.895);18442.64;36899;5779.8;5;1600;5
室内体育区,(89.57;85.5;95.63;97.62);29378.88;20558;10279;2,(89.57;85.5;95.63;97.62);29378.88;20558;10279;2,(89.57;85.5;95.63;97.62);29378.88;20558;10279;2,(89.57;85.5;95.63;97.62);29378.88;20558;10279;2,(89.57;85.5;95.63;97.62);29378.88;20558;10279;2
校级行政区,(47.435;96.01;52.265;99.01);5796;11590;2318;5,(47.435;94.87;52.265;97.87);5796;11590;2318;5,(47.435;94.87;52.265;97.87);5796;11590;2318;5,(46.785;96.45;51.615;99.45);5796;11590;2318;5,(47.435;96.01;52.265;99.01);5796;11590;2318;5
院系办公区,(65.655;59.31;69.485;66.97);11735.12;23446;4689.2;5,(65.655;68.50999;69.485;76.17);11735.12;23446;4689.2;5,(65.655;55.7;69.485;63.36);11735.12;23446;4689.2;5,(65.655;59.31;69.485;66.97);11735.12;23446;4689.2;5,(65.655;59.31;69.485;66.97);11735.12;23446;4689.2;5
学生活动区,(52.665;55.7;59.095;58.92);8281.84;5795;2897.5;2,(56.825;55.7;63.255;58.92);8281.84;5795;2897.5;2,(56.825;55.7;63.255;58.92);8281.84;5795;2897.5;2,(56.825;55.7;63.255;58.92);8281.84;5795;2897.5;2,(56.825;55.7;63.255;58.92);8281.84;5795;2897.5;2
会堂,(51.92;99.41;56.14;103.37);6684.48;4674;2337;2,(50.43;98.27;54.65;102.23);6684.48;4674;2337;2,(50.43;98.27;54.65;102.23);6684.48;4674;2337;2,(52.02;99.48;56.24;103.44);6684.48;4674;2337;2,(51.92;99.41;56.14;103.37);6684.48;4674;2337;2
学生宿舍区,(65.66;76.565;81.34;84.495);49736.96;71832.86;10109.81;5;4256.76;5,(65.66;76.565;81.34;84.495);49736.96;71783.56;10102.87;5;4253.84;5,(65.66;76.565;81.34;84.495);49736.96;71783.56;10102.87;5;4253.84;5,(65.66;76.565;81.34;84.495);49736.96;71783.56;10102.87;5;4253.84;5,(65.66;76.565;81.34;84.495);49736.96;71783.56;10102.87;5;4253.84;5
学生宿舍区,(70.64;55.73;81.34;76.17);87483.2;126348.07;17782.32;5;7487.29;5,(70.64;55.695;81.34;76.165);87611.6;126446.67;17796.2;5;7493.14;5,(70.64;55.695;81.34;76.165);87611.6;126446.67;17796.2;5;7493.14;5,(70.64;55.695;81.34;76.165);87611.6;126446.67;17796.2;5;7493.14;5,(70.64;55.695;81.34;76.165);87611.6;126446.67;17796.2;5;7493.14;5
学生宿舍区,(71.995;85.505;82.045;97.875);49727.4;71819.06;10107.87;5;4255.94;5,(71.995;85.505;82.045;97.875);49727.4;71769.77;10100.93;5;4253.02;5,(71.995;85.505;82.045;97.875);49727.4;71769.77;10100.93;5;4253.02;5,(71.995;85.505;82.045;97.875);49727.4;71769.77;10100.93;5;4253.02;5,(71.995;85.505;82.045;97.875);49727.4;71769.77;10100.93;5;4253.02;5
食堂,(72.81;98.275;82.05;103.585);19625.76;13734.18;6867.09;2,(72.81;98.275;82.05;103.585);19625.76;13734.18;6867.09;2,(72.81;98.275;82.05;103.585);19625.76;13734.18;6867.09;2,(72.81;98.275;82.05;103.585);19625.76;13734.18;6867.09;2,(72.81;98.275;82.05;103.585);19625.76;13734.18;6867.09;2
食堂,(82.45;85.495;89.17;90.365);13090.56;9160.82;4580.41;2,(82.45;86.735;89.17;91.605);13090.56;9160.82;4580.41;2,(82.45;86.735;89.17;91.605);13090.56;9160.82;4580.41;2,(82.45;93.925;89.17;98.795);13090.56;9160.82;4580.41;2,(82.45;93.925;89.17;98.795);13090.56;9160.82;4580.41;2
教师公寓区,(81.74;55.7;87.74;58.7);7200;15200;1900;8,(81.74;55.7;87.74;58.7);7200;15200;1900;8,(82.45;73.68;88.45;76.68);7200;15200;1900;8,(89.63;73.68;95.63;76.68);7200;15200;1900;8,(81.74;65.98;87.74;68.98);7200;15200;1900;8
后勤区,(82.45;104.995;89.17;113.025);21584.64;15105;7552.5;2,(82.45;92.005;89.17;100.035);21584.64;15105;7552.5;2,(82.45;92.005;89.17;100.035);21584.64;15105;7552.5;2,(82.45;85.495;89.17;93.525);21584.64;15105;7552.5;2,(82.45;85.495;89.17;93.525);21584.64;15105;7552.5;2
国际学生区,(89.57;98.015;95.09;105.865);17332.8;26000;5200;5,(90.11;98.015;95.63;105.865);17332.8;26000;5200;5,(82.45;100.435;87.97;108.285);17332.8;26000;5200;5,(90.11;98.015;95.63;105.865);17332.8;26000;5200;5,(89.57;98.015;95.09;105.865);17332.8;26000;5200;5
