Zones ,0,1,2,3,4
公共教学区,(65.315;0.2550001;73.825;15.505);51911;70800;14160;5,(65.315;0.2550001;73.825;15.505);51911;70800;14160;5,(67.285;0.2550001;75.795;15.505);51911;70800;14160;5,(67.285;0.2550001;75.795;15.505);51911;70800;14160;5,(73.17;2.44;83.11;15.5);51926.56;70800;14160;5
专业教学区,(76.18999;0.1950002;83.29;11.925);33313.2;52979.67;9708.33;5;887.6;5,(76.18999;0.1950002;83.29;11.925);33313.2;52979.67;9708.33;5;887.6;5,(76.18999;0.1950002;83.29;11.925);33313.2;52979.67;9708.33;5;887.6;5,(76.18999;0.1950002;83.29;11.925);33313.2;52979.67;9708.33;5;887.6;5,(61.58;1.405;72.78;14.415);58284.8;92681.3;16983.51;5;1552.75;5
专业教学区,(51.735;4.44;64.905;15.5);58264.08;92660.33;16979.67;5;1552.4;5,(51.735;4.44;64.905;15.5);58264.08;92660.33;16979.67;5;1552.4;5,(51.735;4.44;64.905;15.5);58264.08;92660.33;16979.67;5;1552.4;5,(51.735;4.44;64.905;15.5);58264.08;92660.33;16979.67;5;1552.4;5,(51.74;4.64;61.18;13.46);33304.32;52958.7;9704.49;5;887.25;5
图书馆,(44.455;0.1950002;50.345;8.725);20096.68;16447.77;4590.07;3;892.51;3,(44.455;0.1950002;50.345;8.725);20096.68;16447.77;4590.07;3;892.51;3,(44.455;0.1950002;50.345;8.725);20096.68;16447.77;4590.07;3;892.51;3,(44.455;0.1950002;50.345;8.725);20096.68;16447.77;4590.07;3;892.51;3,(45.455;1.51;50.345;11.29);19129.68;15640.56;4364.81;3;848.71;3
图书馆,(30.205;3.69;41.255;11.03);32442.8;26552.23;7409.93;3;1440.82;3,(30.205;3.69;41.255;11.03);32442.8;26552.23;7409.93;3;1440.82;3,(30.205;3.69;41.255;11.03);32442.8;26552.23;7409.93;3;1440.82;3,(30.205;3.69;41.255;11.03);32442.8;26552.23;7409.93;3;1440.82;3,(30.205;8.495;43.135;14.965);33462.84;27359.44;7635.19;3;1484.62;3
室内体育区,(43.17;24.885;49.53;37.615);32385.12;25200;12600;2,(43.17;24.885;49.53;37.615);32385.12;25200;12600;2,(43.17;24.885;49.53;37.615);32385.12;25200;12600;2,(43.17;24.885;49.53;37.615);32385.12;25200;12600;2,(42.37;22.855;48.73;35.585);32385.12;25200;12600;2
行政办公区,(52.2;16.505;64.88;22.855);32207.2;43920;2880;5;5904;5,(52.2;16.505;64.88;22.855);32207.2;43920;2880;5;5904;5,(52.2;16.505;64.88;22.855);32207.2;43920;2880;5;5904;5,(52.2;16.505;64.88;22.855);32207.2;43920;2880;5;5904;5,(52.195;16.495;64.885;22.845);32232.6;43920;2880;5;5904;5
学生活动区,(58.04;35.2;61.8;42.72);11310.08;7200;3600;2,(58.04;35.2;61.8;42.72);11310.08;7200;3600;2,(58.04;35.2;61.8;42.72);11310.08;7200;3600;2,(58.04;35.2;61.8;42.72);11310.08;7200;3600;2,(57.2;35.205;61.78;41.375);11303.44;7200;3600;2
会堂,(59.2;23.25;64.88;26.51);7406.72;5760;2880;2,(59.2;23.25;64.88;26.51);7406.72;5760;2880;2,(59.2;23.25;64.88;26.51);7406.72;5760;2880;2,(59.2;23.25;64.88;26.51);7406.72;5760;2880;2,(59.195;23.245;64.885;26.495);7397;5760;2880;2
学生宿舍区,(30.195;16.505;42.765;37.615);106141.08;118612.23;23722.45;4;5930.61;4,(30.195;16.505;42.765;37.615);106141.08;118612.23;23722.45;4;5930.61;4,(30.195;16.505;42.765;37.615);106141.08;118612.23;23722.45;4;5930.61;4,(30.195;16.505;42.765;37.615);106141.08;118612.23;23722.45;4;5930.61;4,(30.205;16.5;41.975;35.58);89828.64;103884.67;20776.93;4;5194.23;4
