Zones ,0,1,2,3,4
公共教学区,(71.955;69.245;78.705;82.755);36477;54720;10944;5,(71.955;69.245;78.705;82.755);36477;54720;10944;5,(73.265;69.245;80.015;82.755);36477;54720;10944;5,(74.67;73.89;84.97;82.75);36503.2;54720;10944;5,(74.635;73.835;84.865;82.745);36459.72;54720;10944;5
专业教学区,(79.1;68.315;86.32;82.745);41673.84;63978.2;11619.15;5;1176.49;5,(79.1;68.315;86.32;82.745);41673.84;63978.2;11619.15;5;1176.49;5,(80.415;70.92999;86.325;82.75);27942.48;42905.7;7792.15;5;788.99;5,(69.065;83.255;76.995;94.445);35494.68;54530.77;9903.39;5;1002.76;5,(69.05499;83.25;77.125;94.50999);36347.28;55817.59;10137.09;5;1026.42;5
专业教学区,(65.665;70.97;71.555;82.75);27753.68;42607.8;7738.05;5;783.51;5,(65.665;70.97;71.555;82.75);27753.68;42607.8;7738.05;5;783.51;5,(65.66;68.35001;72.86;82.75);41472;63680.3;11565.05;5;1171.01;5,(77.395;83.255;84.965;94.445);33883.32;52055.23;9453.81;5;957.24;5,(77.53;83.25;84.87;94.50999);33059.36;50768.41;9220.11;5;933.58;5
图书馆,(86.725;77.57001;95.635;82.75);18461.52;36899;5779.8;5;1600;5,(86.725;77.57001;95.635;82.75);18461.52;36899;5779.8;5;1600;5,(86.725;77.57001;95.635;82.75);18461.52;36899;5779.8;5;1600;5,(69.055;73.89;74.26501;82.75);18464.24;36899;5779.8;5;1600;5,(69.06001;73.835;74.24;82.745);18461.52;36899;5779.8;5;1600;5
室内体育区,(52.46;86.87;63.26;93.67);29376;20558;10279;2,(52.46;86.87;63.26;93.67);29376;20558;10279;2,(52.46;86.87;63.26;93.67);29376;20558;10279;2,(85.37;88.845;95.63;95.995);29343.6;20558;10279;2,(85.27;88.905;95.63;95.995);29380.96;20558;10279;2
校级行政区,(65.66;83.245;68.66;88.075);5796;11590;2318;5,(65.655;83.25;70.485;86.25);5796;11590;2318;5,(67.025;83.25;71.855;86.25);5796;11590;2318;5,(65.66;77.925;68.66;82.755);5796;11590;2318;5,(65.66;77.925;68.66;82.755);5796;11590;2318;5
院系办公区,(72.265;111.23;76.095;118.89);11735.12;23446;4689.2;5,(70.885;110.18;74.715;117.84);11735.12;23446;4689.2;5,(72.255;111.22;76.085;118.88);11735.12;23446;4689.2;5,(65.66;106.29;71.82;111.05);11728.64;23446;4689.2;5,(65.66;106.235;73.32;110.065);11735.12;23446;4689.2;5
学生活动区,(76.495;104.965;80.625;109.975);8276.52;5795;2897.5;2,(76.8;115.915;80.02;122.345);8281.84;5795;2897.5;2,(76.84;104.245;80.2;110.415);8292.48;5795;2897.5;2,(55.27;83.45;59.13;88.81);8275.84;5795;2897.5;2,(57.96;79.90501;61.18;86.335);8281.84;5795;2897.5;2
会堂,(86.72;83.25;90.38;87.81);6675.84;4674;2337;2,(86.72;83.255;91.10001;87.065);6675.12;4674;2337;2,(86.72;83.25;91.16;87.00999);6677.76;4674;2337;2,(65.66;83.25;68.66;88.81);6672;4674;2337;2,(65.66;83.25;68.66;88.81);6672;4674;2337;2
学生宿舍区,(76.495;91.91;86.325;104.57);49779.12;72026.81;10137.11;5;4268.26;5,(76.495;91.16;86.325;103.82);49779.12;72026.81;10137.11;5;4268.26;5,(76.48;91.155;86.32;103.845);49947.84;72272.55;10171.69;5;4282.82;5,(65.655;94.845;84.965;105.895);85350.2;123491.65;17380.31;5;7318.02;5,(65.655;94.92;84.86501;105.84);83909.28;121419.01;17088.6;5;7195.2;5
