Zones ,0,1,2,3,4
学生宿舍区,(86.725;91.91;95.635;105.87);49753.44;71989.66;10131.88;5;4266.05;5,(86.725;91.17;95.635;105.13);49753.44;71989.66;10131.88;5;4266.05;5,(86.725;91.155;95.635;105.125);49789.08;72042.83;10139.36;5;4269.21;5,(87.745;57.72;95.635;73.5);49801.68;72057.14;10141.38;5;4270.05;5,(87.745;57.665;95.635;73.43501);49770.12;72018.72;10135.97;5;4267.78;5
学生宿舍区,(65.66499;89.72501;76.095;110.595);87069.65;125983.53;17731.02;5;7465.69;5,(65.66499;87.465;76.095;108.335);87069.65;125983.53;17731.02;5;7465.69;5,(65.66;89.57;76.08;110.41);86861.12;125684.61;17688.95;5;7447.98;5,(65.66;57.45;73.68;73.49001);51456.32;74451.21;10478.32;5;4411.92;5,(65.665;57.165;73.79501;73.43501);52910.04;76562.27;10775.43;5;4537.02;5
食堂,(77.82999;88.21;84.43;91.51);8712;6100.05;3050.02;2,(79.71999;87.46;86.32;90.76);8712;6103.49;3051.75;2,(79.8;87.41;86.32;90.75);8710.72;6098.85;3049.43;2,(91.255;96.39999;95.625;105.14);15277.52;10694.1;5347.05;2,(91.255;97.1;95.625;105.84);15277.52;10693.36;5346.68;2
食堂,(84.83;106.27;91.83;109.77);9800;6861.85;3430.93;2,(86.715;105.53;91.765;109.85);8726.4;6113.58;3056.79;2,(86.725;105.52;91.775;109.84);8726.4;6109.83;3054.91;2,(85.365;96.405;90.855;100.375);8718.12;6102.59;3051.3;2,(85.265;96.39;90.855;100.29);8720.4;6103.76;3051.88;2
食堂,(79.795;110.99;84.425;118.65);14186.32;9933.1;4966.55;2,(79.8;108.73;85.42;115.51);15241.44;10677.92;5338.96;2,(79.795;110.81;85.325;117.71);15262.8;10686.32;5343.16;2,(72.21999;106.29;78.82;109.59);8712;6098.31;3049.15;2,(73.71999;106.24;80.32;109.54);8712;6097.88;3048.94;2
教师公寓区,(89.63;88.48;95.63;91.48);7200;15200;1900;8,(89.63;87.46;95.63;90.46);7200;15200;1900;8,(88.605;87.41;93.995;90.75);7201.04;15200;1900;8,(87.85;104.96;90.85;110.96);7200;15200;1900;8,(85.445;107.625;90.855;110.955);7206.12;15200;1900;8
后勤区,(89.75;55.705;95.63;64.875);21567.84;15105;7552.5;2,(89.845;55.7;95.63499;65.02);21585.12;15105;7552.5;2,(89.845;55.7;95.63499;65.02);21585.12;15105;7552.5;2,(70.925;111.455;79.335;117.865);21563.24;15105;7552.5;2,(69.81499;110.605;78.225;117.015);21563.24;15105;7552.5;2
国际学生区,(65.665;55.695;70.31499;65.005);17316.6;26000;5200;5,(65.665;55.695;70.31499;65.005);17316.6;26000;5200;5,(65.66;55.7;70.4;64.84);17329.44;26000;5200;5,(79.735;109.99;85.685;117.27);17326.4;26000;5200;5,(78.63;111.305;85.05;118.055);17334;26000;5200;5
培训教育区,(51.8;94.145;56.36;103.275);16653.12;30000;2000;5;4000;5,(51.8;94.145;56.36;103.275);16653.12;30000;2000;5;4000;5,(51.8;94.075;56.36;103.205);16653.12;30000;2000;5;4000;5,(54.135;100.49;63.265;105.05);16653.12;30000;2000;5;4000;5,(57.14;99.655;63.26;106.465);16670.88;30000;2000;5;4000;5
学术交流区,(47.86;93.20499;51.4;100.275);10011.12;30000;3000;10,(47.86;93.20499;51.4;100.275);10011.12;30000;3000;10,(47.86;93.20499;51.4;100.275);10011.12;30000;3000;10,(52.665;55.7;59.735;59.24);10011.12;30000;3000;10,(52.665;55.7;59.735;59.24);10011.12;30000;3000;10
产学融合区,(56.76;94.075;63.26;107.065);33774;81054.42;4886.26;6;4311.41;6;4311.41;6,(56.76;94.075;63.26;107.065);33774;81054.42;4886.26;6;4311.41;6;4311.41;6,(56.76;94.075;63.26;107.065);33774;81054.42;4886.26;6;4311.41;6;4311.41;6,(52.66;59.635;58.92;72.145);31325.04;75186.52;4532.52;6;3999.28;6;3999.28;6,(52.66;62.16;63.08;73.44);47015.04;112790.32;6799.42;6;5999.49;6;5999.49;6
产学融合区,(52.66;75.965;63.26;86.475);44562.4;106945.58;6447.07;6;5688.59;6;5688.59;6,(52.66;75.965;63.26;86.475);44562.4;106945.58;6447.07;6;5688.59;6;5688.59;6,(52.66;75.965;63.26;86.475);44562.4;106945.58;6447.07;6;5688.59;6;5688.59;6,(52.46;89.21;63.26;100.09);47001.6;112813.48;6800.81;6;6000.72;6;6000.72;6,(57;86.74;63.26;99.26);31350.08;75209.68;4533.92;6;4000.51;6;4000.51;6
户外体育区,(52.66;65.78;63.26;75.56);41467.2;0,(52.66;65.66;63.26;75.56);41976;0,(52.66;66;63.26;75.56);40534.4;0,(74.08;63.905;87.34;73.495);50865.36;0,(74.195;65.725;87.34499;73.43501);40554.6;0
户外体育区,(70.715;55.7;89.345;65.02);69452.64;0,(70.72;55.7;89.36;65.02);69489.92;0,(70.8;55.7;89.44;65.02);69489.92;0,(74.08;55.7;87.34;63.5);41371.2;0,(74.195;55.705;87.34499;65.335);50653.8;0
户外体育区,(52.66;55.7;63.26;65.38);41043.2;0,(52.66;55.7;63.26;65.26);40534.4;0,(52.66;55.7;63.26;65.6);41976;0,(85.365;73.895;95.635;88.445);59771.41;0,(85.27;73.835;95.63;88.505);60792.48;0
Rectangle
Rectangle,(65.665;65.03;95.635;88.21001),(65.665;65.02;95.635;87.46),(65.665;65.025;95.635;87.415),(65.66;73.495;85.36;94.845),(65.655;73.44;85.265;94.92)
Roads
Axis
10,(52; 83 ; 96 ; 83)
