Zones ,0,1,2,3,4
公共教学区,(30.195;0.2049999;39.845;13.655);51917;70800;14160;5,(30.195;0.2049999;39.845;13.655);51917;70800;14160;5,(30.195;0.2049999;39.845;13.655);51917;70800;14160;5,(30.195;0.2049999;39.845;13.655);51917;70800;14160;5,(30.195;0.2049999;39.845;13.655);51917;70800;14160;5
专业教学区,(51.74;9.045;64.64;15.495);33282;52964.99;9705.64;5;887.36;5,(51.74;9.045;64.64;15.495);33282;52964.99;9705.64;5;887.36;5,(51.74;9.045;64.64;15.495);33282;52964.99;9705.64;5;887.36;5,(51.74;9.045;64.64;15.495);33282;52964.99;9705.64;5;887.36;5,(51.74;9.045;64.64;15.495);33282;52964.99;9705.64;5;887.36;5
专业教学区,(73.13;1.42;83.47;15.5);58234.88;92675.01;16982.36;5;1552.64;5,(73.13;1.42;83.47;15.5);58234.88;92675.01;16982.36;5;1552.64;5,(73.13;1.42;83.47;15.5);58234.88;92675.01;16982.36;5;1552.64;5,(73.13;1.42;83.47;15.5);58234.88;92675.01;16982.36;5;1552.64;5,(73.13;1.42;83.47;15.5);58234.88;92675.01;16982.36;5;1552.64;5
图书馆,(63.72;0.2049999;72.72;5.535);19188;15709.61;4384.08;3;852.46;3,(63.72;0.2049999;72.72;5.535);19188;15709.61;4384.08;3;852.46;3,(63.72;0.2049999;72.72;5.535);19188;15709.61;4384.08;3;852.46;3,(63.72;0.2049999;72.72;5.535);19188;15709.61;4384.08;3;852.46;3,(63.72;0.2049999;72.72;5.535);19188;15709.61;4384.08;3;852.46;3
图书馆,(51.745;1.41;63.255;8.65);33332.96;27290.39;7615.92;3;1480.87;3,(51.745;1.41;63.255;8.65);33332.96;27290.39;7615.92;3;1480.87;3,(51.745;1.41;63.255;8.65);33332.96;27290.39;7615.92;3;1480.87;3,(51.745;1.41;63.255;8.65);33332.96;27290.39;7615.92;3;1480.87;3,(51.745;1.41;63.255;8.65);33332.96;27290.39;7615.92;3;1480.87;3
室内体育区,(62.635;46.415;71.745;55.305);32395.16;25200;12600;2,(62.635;46.415;71.745;55.305);32395.16;25200;12600;2,(62.635;46.415;71.745;55.305);32395.16;25200;12600;2,(62.635;46.415;71.745;55.305);32395.16;25200;12600;2,(62.635;46.415;71.745;55.305);32395.16;25200;12600;2
行政办公区,(43.66;25.11;49.62;37.03);28417.28;43920;2880;5;5904;5,(43.66;25.11;49.62;37.03);28417.28;43920;2880;5;5904;5,(43.66;25.11;49.62;37.03);28417.28;43920;2880;5;5904;5,(43.66;25.11;49.62;37.03);28417.28;43920;2880;5;5904;5,(43.66;25.11;49.62;37.03);28417.28;43920;2880;5;5904;5
学生活动区,(81.42;16.5;88.94;20.26);11310.08;7200;3600;2,(81.42;16.5;88.94;20.26);11310.08;7200;3600;2,(81.42;16.5;88.94;20.26);11310.08;7200;3600;2,(81.42;16.5;88.94;20.26);11310.08;7200;3600;2,(81.42;16.5;88.94;20.26);11310.08;7200;3600;2
会堂,(59.2;18.72;62.24;24.8);7393.28;5760;2880;2,(59.2;18.72;62.24;24.8);7393.28;5760;2880;2,(59.2;18.72;62.24;24.8);7393.28;5760;2880;2,(59.2;18.72;62.24;24.8);7393.28;5760;2880;2,(59.2;18.72;62.24;24.8);7393.28;5760;2880;2
学生宿舍区,(59.195;32.205;71.745;46.015);69326.2;85106.11;17021.22;4;4255.31;4,(59.195;32.205;71.745;46.015);69326.2;85106.11;17021.22;4;4255.31;4,(59.195;32.205;71.745;46.015);69326.2;85106.11;17021.22;4;4255.31;4,(59.195;32.205;71.745;46.015);69326.2;85106.11;17021.22;4;4255.31;4,(59.195;32.205;71.745;46.015);69326.2;85106.11;17021.22;4;4255.31;4
学生宿舍区,(30.2;24.805;43.26;39.615);77367.44;94977.68;18995.54;4;4748.88;4,(30.2;24.805;43.26;39.615);77367.44;94977.68;18995.54;4;4748.88;4,(30.2;24.805;43.26;39.615);77367.44;94977.68;18995.54;4;4748.88;4,(30.2;24.805;43.26;39.615);77367.44;94977.68;18995.54;4;4748.88;4,(30.2;24.805;43.26;39.615);77367.44;94977.68;18995.54;4;4748.88;4
学生宿舍区,(72.145;33.2;83.195;55.3);97682;119916.21;23983.24;4;5995.81;4,(72.145;33.2;83.195;55.3);97682;119916.21;23983.24;4;5995.81;4,(72.145;33.2;83.195;55.3);97682;119916.21;23983.24;4;5995.81;4,(72.145;33.2;83.195;55.3);97682;119916.21;23983.24;4;5995.81;4,(72.145;33.2;83.195;55.3);97682;119916.21;23983.24;4;5995.81;4
食堂,(52.2;16.5;58.8;24.72);21700.8;13806.59;6903.3;2,(52.2;16.5;58.8;24.72);21700.8;13806.59;6903.3;2,(52.2;16.5;58.8;24.72);21700.8;13806.59;6903.3;2,(52.2;16.5;58.8;24.72);21700.8;13806.59;6903.3;2,(52.2;16.5;58.8;24.72);21700.8;13806.59;6903.3;2
食堂,(51.735;44.445;57.165;55.295);23566.2;14993.41;7496.7;2,(51.735;44.445;57.165;55.295);23566.2;14993.41;7496.7;2,(51.735;44.445;57.165;55.295);23566.2;14993.41;7496.7;2,(51.735;44.445;57.165;55.295);23566.2;14993.41;7496.7;2,(51.735;44.445;57.165;55.295);23566.2;14993.41;7496.7;2
教师公寓区,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8,(51.74;38.23;54.74;42.63);5280;9600;1200;8
后勤区,(62.64;16.5;75.24001;27.8);56952;37680;18840;2,(62.64;16.5;75.24001;27.8);56952;37680;18840;2,(62.64;16.5;75.24001;27.8);56952;37680;18840;2,(62.64;16.5;75.24001;27.8);56952;37680;18840;2,(62.64;16.5;75.24001;27.8);56952;37680;18840;2
学术交流区,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12,(46.955;48.525;50.345;55.295);9180.12;30000;2500;12
产学融合区,(43.66;37.43;50.34;48.13);28590.4;72736.86;4091.45;8;2727.63;8;2273.03;8,(43.66;37.43;50.34;48.13);28590.4;72736.86;4091.45;8;2727.63;8;2273.03;8,(43.66;37.43;50.34;48.13);28590.4;72736.86;4091.45;8;2727.63;8;2273.03;8,(43.66;37.43;50.34;48.13);28590.4;72736.86;4091.45;8;2727.63;8;2273.03;8,(43.66;37.43;50.34;48.13);28590.4;72736.86;4091.45;8;2727.63;8;2273.03;8
产学融合区,(30.445;16.495;46.255;24.405);50022.84;127263.14;7158.55;8;4772.37;8;3976.97;8,(30.445;16.495;46.255;24.405);50022.84;127263.14;7158.55;8;4772.37;8;3976.97;8,(30.445;16.495;46.255;24.405);50022.84;127263.14;7158.55;8;4772.37;8;3976.97;8,(30.445;16.495;46.255;24.405);50022.84;127263.14;7158.55;8;4772.37;8;3976.97;8,(30.445;16.495;46.255;24.405);50022.84;127263.14;7158.55;8;4772.37;8;3976.97;8
培训教育区,(42.35;48.525;46.55;55.295);11373.6;20000;4000;5,(42.35;48.525;46.55;55.295);11373.6;20000;4000;5,(42.35;48.525;46.55;55.295);11373.6;20000;4000;5,(42.35;48.525;46.55;55.295);11373.6;20000;4000;5,(42.35;48.525;46.55;55.295);11373.6;20000;4000;5
共享生活区,(30.205;48.525;41.955;55.295);31819;34288.69;11429.56;3,(30.205;48.525;41.955;55.295);31819;34288.69;11429.56;3,(30.205;48.525;41.955;55.295);31819;34288.69;11429.56;3,(30.205;48.525;41.955;55.295);31819;34288.69;11429.56;3,(30.205;48.525;41.955;55.295);31819;34288.69;11429.56;3
