Zones ,0,1,2,3,4
公共教学区,(28.025;93.49;35.915;106.79);41974.8;53770;10754;5,(28.025;93.49;35.915;106.79);41974.8;53770;10754;5,(28.025;93.49;35.915;106.79);41974.8;53770;10754;5,(28.025;93.49;35.915;106.79);41974.8;53770;10754;5,(28.025;93.49;35.915;106.79);41974.8;53770;10754;5
专业教学区,(47.58;113.95;62.78;121.55);46208;58279.25;13109.4;4;1168.33;5,(47.58;113.95;62.78;121.55);46208;58279.25;13109.4;4;1168.33;5,(47.58;113.95;62.78;121.55);46208;58279.25;13109.4;4;1168.33;5,(47.58;113.95;62.78;121.55);46208;58279.25;13109.4;4;1168.33;5,(47.58;113.95;62.78;121.55);46208;58279.25;13109.4;4;1168.33;5
专业教学区,(40.64;122.945;49.86;131.435);31311.12;39490.75;8883.1;4;791.67;5,(40.64;122.945;49.86;131.435);31311.12;39490.75;8883.1;4;791.67;5,(40.64;122.945;49.86;131.435);31311.12;39490.75;8883.1;4;791.67;5,(40.64;122.945;49.86;131.435);31311.12;39490.75;8883.1;4;791.67;5,(40.64;122.945;49.86;131.435);31311.12;39490.75;8883.1;4;791.67;5
图书馆,(28.02;107.195;35.92;114.005);21519.6;43060;6612;5;2000;5,(28.02;107.195;35.92;114.005);21519.6;43060;6612;5;2000;5,(28.02;107.195;35.92;114.005);21519.6;43060;6612;5;2000;5,(28.02;107.195;35.92;114.005);21519.6;43060;6612;5;2000;5,(28.02;107.195;35.92;114.005);21519.6;43060;6612;5;2000;5
室内体育区,(50.265;122.95;57.335;134.79);33483.52;26030;13015;2,(50.265;122.95;57.335;134.79);33483.52;26030;13015;2,(50.265;122.95;57.335;134.79);33483.52;26030;13015;2,(50.265;122.95;57.335;134.79);33483.52;26030;13015;2,(50.265;122.95;57.335;134.79);33483.52;26030;13015;2
校级行政区,(33.6;132.095;36.6;137.085);5988;13300;2660;5,(33.6;132.095;36.6;137.085);5988;13300;2660;5,(33.6;132.095;36.6;137.085);5988;13300;2660;5,(33.47;132.265;36.47;137.255);5988;13300;2660;5,(33.47;132.265;36.47;137.255);5988;13300;2660;5
院系办公区,(49.04;149.815;53.96;155.325);10843.68;24130;4826;5,(49.04;149.815;53.96;155.325);10843.68;24130;4826;5,(49.04;149.815;53.96;155.325);10843.68;24130;4826;5,(49.04;149.815;53.96;155.325);10843.68;24130;4826;5,(49.04;149.815;53.96;155.325);10843.68;24130;4826;5
学生活动区,(62.46;134.685;66.68;139.755);8558.16;6650;3325;2,(62.46;134.685;66.68;139.755);8558.16;6650;3325;2,(62.46;134.685;66.68;139.755);8558.16;6650;3325;2,(62.46;134.685;66.68;139.755);8558.16;6650;3325;2,(62.46;134.685;66.68;139.755);8558.16;6650;3325;2
会堂,(36.32;114.7;40.56;120.32);9531.52;5700;2850;2,(36.32;114.7;40.56;120.32);9531.52;5700;2850;2,(36.32;114.7;40.56;120.32);9531.52;5700;2850;2,(36.32;114.7;40.56;120.32);9531.52;5700;2850;2,(36.32;114.7;40.56;120.32);9531.52;5700;2850;2
学生宿舍区,(36.315;100.945;45.705;114.295);50142.6;93774.47;10239.74;6;5389.34;6,(36.315;100.945;45.705;114.295);50142.6;93774.47;10239.74;6;5389.34;6,(36.315;100.945;45.705;114.295);50142.6;93774.47;10239.74;6;5389.34;6,(36.315;100.945;45.705;114.295);50142.6;93774.47;10239.74;6;5389.34;6,(36.315;100.945;45.705;114.295);50142.6;93774.47;10239.74;6;5389.34;6
学生宿舍区,(49.655;135.19;62.065;144.47);46065.92;86150.43;9407.23;6;4951.17;6,(49.655;135.19;62.065;144.47);46065.92;86150.43;9407.23;6;4951.17;6,(49.655;135.19;62.065;144.47);46065.92;86150.43;9407.23;6;4951.17;6,(49.655;135.19;62.065;144.47);46065.92;86150.43;9407.23;6;4951.17;6,(49.655;135.19;62.065;144.47);46065.92;86150.43;9407.23;6;4951.17;6
学生宿舍区,(28.02;139.875;36.6;157.025);58858.8;110075.1;12019.7;6;6326.16;6,(28.02;139.875;36.6;157.025);58858.8;110075.1;12019.7;6;6326.16;6,(28.02;139.875;36.6;157.025);58858.8;110075.1;12019.7;6;6326.16;6,(28.02;139.875;36.6;157.025);58858.8;110075.1;12019.7;6;6326.16;6,(28.02;139.875;36.6;157.025);58858.8;110075.1;12019.7;6;6326.16;6
食堂,(28.825;114.4;35.915;121.38);19795.28;13201.43;6600.72;2,(28.825;114.4;35.915;121.38);19795.28;13201.43;6600.72;2,(28.825;114.4;35.915;121.38);19795.28;13201.43;6600.72;2,(28.825;114.4;35.915;121.38);19795.28;13201.43;6600.72;2,(28.825;114.4;35.915;121.38);19795.28;13201.43;6600.72;2
食堂,(50.085;144.87;58.795;149.41);15817.36;10548.57;5274.28;2,(50.085;144.87;58.795;149.41);15817.36;10548.57;5274.28;2,(50.085;144.87;58.795;149.41);15817.36;10548.57;5274.28;2,(50.085;144.87;58.795;149.41);15817.36;10548.57;5274.28;2,(50.085;144.87;58.795;149.41);15817.36;10548.57;5274.28;2
教师公寓区,(37;96.75;40;100.55);4560;7600;950;8,(37;96.75;40;100.55);4560;7600;950;8,(37;96.75;40;100.55);4560;7600;950;8,(36.87;96.75;39.87;100.55);4560;7600;950;8,(36.87;96.75;39.87;100.55);4560;7600;950;8
后勤区,(37;147.745;48.64;157.035);43254.24;33630;16815;2,(37;147.745;48.64;157.035);43254.24;33630;16815;2,(37;147.745;48.64;157.035);43254.24;33630;16815;2,(37;147.745;48.64;157.035);43254.24;33630;16815;2,(37;147.745;48.64;157.035);43254.24;33630;16815;2
国际学生区,(50.605;110.025;57.335;113.555);9502.76;15000;3000;5,(50.605;110.025;57.335;113.555);9502.76;15000;3000;5,(50.605;110.025;57.335;113.555);9502.76;15000;3000;5,(50.605;110.025;57.335;113.555);9502.76;15000;3000;5,(50.605;110.025;57.335;113.555);9502.76;15000;3000;5
培训教育区,(16.92;122.955;23.82;129.045);16808.4;26000;1200;5;4000;5,(16.92;122.955;23.82;129.045);16808.4;26000;1200;5;4000;5,(16.92;122.955;23.82;129.045);16808.4;26000;1200;5;4000;5,(16.92;122.955;23.82;129.045);16808.4;26000;1200;5;4000;5,(16.92;122.955;23.82;129.045);16808.4;26000;1200;5;4000;5
学术交流区,(12.725;141.805;20.475;145.675);11997;30000;3000;10,(12.725;141.805;20.475;145.675);11997;30000;3000;10,(13.815;141.805;21.565;145.675);11997;30000;3000;10,(12.725;141.805;20.475;145.675);11997;30000;3000;10,(12.725;141.805;20.475;145.675);11997;30000;3000;10
产学融合区,(20.47;104.92;27.63;119.24);41012.48;109353.83;5348.83;8;4754.51;8;3565.89;8,(20.47;104.92;27.63;119.24);41012.48;109353.83;5348.83;8;4754.51;8;3565.89;8,(20.47;104.92;27.63;119.24);41012.48;109353.83;5348.83;8;4754.51;8;3565.89;8,(20.47;104.92;27.63;119.24);41012.48;109353.83;5348.83;8;4754.51;8;3565.89;8,(20.47;104.92;27.63;119.24);41012.48;109353.83;5348.83;8;4754.51;8;3565.89;8
产学融合区,(14.505;129.44;27.215;138.34);45247.6;120646.17;5901.17;8;5245.49;8;3934.11;8,(14.505;129.44;27.215;138.34);45247.6;120646.17;5901.17;8;5245.49;8;3934.11;8,(14.505;129.44;27.215;138.34);45247.6;120646.17;5901.17;8;5245.49;8;3934.11;8,(14.505;129.44;27.215;138.34);45247.6;120646.17;5901.17;8;5245.49;8;3934.11;8,(14.505;129.44;27.215;138.34);45247.6;120646.17;5901.17;8;5245.49;8;3934.11;8
户外体育区,(37.005;131.835;49.255;147.345);75999;0,(37.005;131.835;49.255;147.345);75999;0,(37.005;131.835;49.255;147.345);75999;0,(37.005;131.835;49.255;147.345);75999;0,(37.005;131.835;49.255;147.345);75999;0
户外体育区,(57.735;122.95;71.145;134.29);60827.76;0,(57.735;122.95;71.145;134.29);60827.76;0,(57.735;122.95;71.145;134.29);60827.76;0,(57.735;122.95;71.145;134.29);60827.76;0,(57.735;122.95;71.145;134.29);60827.76;0
Rectangle
Roads
0.025,(28;122;28;157),(28;122;28;157),(28;122;28;157),(28;122;28;157),(28;122;28;157)
Axis
