Zones ,0,1,2,3,4
公共教学区,(30.2;0.4650002;38.84;15.495);51943.68;70800;14160;5,(30.945;2.105;40.635;15.495);51899.64;70800;14160;5,(30.205;0.2049999;39.895;13.595);51899.64;70800;14160;5,(30.205;0.2049999;39.895;13.595);51899.64;70800;14160;5,(30.205;0.2049999;39.895;13.595);51899.64;70800;14160;5
专业教学区,(59.305;2.395;70.415;15.505);58260.83;92674.36;16982.24;5;1552.63;5,(59.12;0.1999998;68.56;15.5);57772.8;91900.37;16840.41;5;1539.67;5,(59.12;1.565;68.56;15.495);52599.68;83678.62;15333.8;5;1401.92;5,(59.12;0.1999998;68.56;15.5);57772.8;91900.37;16840.41;5;1539.67;5,(59.12;1.565;68.56;15.495);52599.68;83678.62;15333.8;5;1401.92;5
专业教学区,(51.735;0.2050004;58.905;11.815);33297.48;52965.64;9705.76;5;887.37;5,(51.74;0.1999998;58.72;12.3);33783.2;53739.63;9847.59;5;900.33;5,(51.74;1.545001;58.72;15.495);38948.4;61961.38;11354.2;5;1038.08;5,(51.74;2.38;58.72;14.48);33783.2;53739.63;9847.59;5;900.33;5,(51.74;1.545001;58.72;15.495);38948.4;61961.38;11354.2;5;1038.08;5
图书馆,(70.815;2.565;77.285;15.495);33462.84;27365.06;7636.76;3;1484.93;3,(68.96;4.309999;77.6;13.99);33454.08;27367.77;7637.52;3;1485.07;3,(69.32;4.309999;77.96;13.99);33454.08;27367.77;7637.52;3;1485.07;3,(69.32;4.309999;77.96;13.99);33454.08;27367.77;7637.52;3;1485.07;3,(69.32;4.309999;77.96;13.99);33454.08;27367.77;7637.52;3;1485.07;3
图书馆,(77.685;1.34;83.295;9.860001);19118.88;15634.94;4363.24;3;848.41;3,(78.355;1.795;83.285;11.485);19108.68;15632.23;4362.48;3;848.26;3,(78.355;1.795;83.285;11.485);19108.68;15632.23;4362.48;3;848.26;3,(78.355;1.795;83.285;11.485);19108.68;15632.23;4362.48;3;848.26;3,(78.355;4.395;83.285;14.085);19108.68;15632.23;4362.48;3;848.26;3
室内体育区,(83.255;38.595;95.625;45.145);32409.4;25200;12600;2,(83.07;38.375;95.63;44.825);32404.8;25200;12600;2,(83.07;38.375;95.63;44.825);32404.8;25200;12600;2,(83.07;38.375;95.63;44.825);32404.8;25200;12600;2,(83.07;38.375;95.63;44.825);32404.8;25200;12600;2
行政办公区,(57.2;16.5;65.14;24.8);26360.8;43920;2880;5;5904;5,(57.2;16.5;65.14;24.8);26360.8;43920;2880;5;5904;5,(57.2;16.5;65.14;24.8);26360.8;43920;2880;5;5904;5,(57.2;16.5;65.14;24.8);26360.8;43920;2880;5;5904;5,(57.2;16.5;65.14;24.8);26360.8;43920;2880;5;5904;5
学生活动区,(30.195;24.075;33.785;30.865);9750.44;7200;3600;2,(30.2;24.215;33.84;30.945);9798.88;7200;3600;2,(30.2;24.215;33.84;30.945);9798.88;7200;3600;2,(30.2;24.215;33.84;30.945);9798.88;7200;3600;2,(30.2;24.215;33.84;30.945);9798.88;7200;3600;2
会堂,(53.76;18.715;56.8;24.805);7405.44;5760;2880;2,(53.76;18.715;56.8;24.805);7405.44;5760;2880;2,(53.76;18.715;56.8;24.805);7405.44;5760;2880;2,(53.76;18.715;56.8;24.805);7405.44;5760;2880;2,(53.76;18.715;56.8;24.805);7405.44;5760;2880;2
学生宿舍区,(30.205;39.305;50.275;55.295);128367.71;144215.65;28843.13;4;7210.78;4,(30.2;39.915;50.34;55.305);123981.84;141225.47;28245.09;4;7061.27;4,(30.2;39.915;50.34;55.305);123981.84;141225.47;28245.09;4;7061.27;4,(30.2;39.915;50.34;55.305);123981.84;141225.47;28245.09;4;7061.27;4,(30.2;39.915;50.34;55.305);123981.84;141225.47;28245.09;4;7061.27;4
